,announcements,as_path_max,dups,imp_wd,nlri_ann,origin_0,origin_1,timestamp,timestamp2,wd_dups,withdrawals
79,2609,13,115,1800,701,695,0,2001-09-21 06:45:22,1001054722,63,727
80,2199,15,168,1151,521,625,0,2001-09-21 06:50:22,1001055022,117,796
81,1800,17,60,914,523,544,0,2001-09-21 06:55:22,1001055322,106,506
82,1187,13,18,594,412,474,0,2001-09-21 07:00:22,1001055622,7,395
83,1408,16,78,817,254,454,0,2001-09-21 07:05:22,1001055922,117,499
84,1504,19,78,912,354,562,6,2001-09-21 07:10:22,1001056222,102,376
85,1516,21,77,968,365,479,4,2001-09-21 07:15:22,1001056522,101,390
86,2108,17,129,1460,400,582,0,2001-09-21 07:20:22,1001056822,84,537
87,1399,13,238,856,338,548,10,2001-09-21 07:25:22,1001057122,30,240
88,2091,21,134,1442,555,666,0,2001-09-21 07:30:22,1001057422,55,412
89,1654,15,55,1014,406,538,1,2001-09-21 07:35:22,1001057722,39,445
90,6036,15,164,3624,2448,1537,3,2001-09-21 07:40:22,1001058022,111,470
91,1673,14,133,1084,437,557,0,2001-09-21 07:45:22,1001058322,37,218
92,1387,12,100,811,365,510,0,2001-09-21 07:50:22,1001058622,97,387
93,1192,14,45,787,409,430,1,2001-09-21 07:55:22,1001058922,18,187
94,1887,12,154,1351,461,525,8,2001-09-21 08:00:22,1001059222,32,258
95,1819,14,75,1207,457,587,0,2001-09-21 08:05:22,1001059522,40,349
96,1875,17,160,1313,461,517,11,2001-09-21 08:10:22,1001059822,10,255
97,1017,12,78,718,296,401,0,2001-09-21 08:15:22,1001060122,39,177
98,806,14,52,453,221,288,4,2001-09-21 08:20:22,1001060422,83,348
99,1707,17,78,1136,447,544,0,2001-09-21 08:25:22,1001060722,153,562
100,1685,15,35,1043,493,460,0,2001-09-21 08:30:22,1001061022,31,305
101,2841,15,357,1602,812,915,0,2001-09-21 08:35:22,1001061322,119,415
102,1408,11,130,838,410,512,0,2001-09-21 08:40:22,1001061622,128,538
103,1451,14,76,810,327,520,0,2001-09-21 08:45:22,1001061922,111,510
104,1365,12,84,878,389,491,0,2001-09-21 08:50:22,1001062222,25,200
105,1389,18,27,997,359,433,0,2001-09-21 08:55:22,1001062522,220,608
106,2427,18,129,1662,734,755,2,2001-09-21 09:00:22,1001062822,21,441
107,1510,11,145,832,428,484,0,2001-09-21 09:05:22,1001063122,37,372
108,1269,18,102,834,296,523,0,2001-09-21 09:10:22,1001063422,19,328
109,2865,25,99,1618,941,1158,1,2001-09-21 09:15:22,1001063722,157,667
110,1918,18,81,1083,704,576,1,2001-09-21 09:20:22,1001064022,18,385
111,1374,17,75,995,429,501,0,2001-09-21 09:25:22,1001064322,37,372
112,1499,17,74,1049,424,438,0,2001-09-21 09:30:22,1001064622,26,333
113,1022,18,48,546,278,382,0,2001-09-21 09:35:22,1001064922,80,296
114,1788,18,194,1120,354,534,0,2001-09-21 09:40:22,1001065222,54,297
115,1071,21,40,713,321,408,0,2001-09-21 09:45:22,1001065522,23,335
116,1518,15,131,880,312,601,4,2001-09-21 09:50:22,1001065822,137,481
117,2213,20,141,929,631,595,0,2001-09-21 09:55:22,1001066122,142,620
118,9752,16,109,6122,5940,2754,4,2001-09-21 10:00:22,1001066422,126,878
119,2780,17,208,1810,736,738,2,2001-09-21 10:05:22,1001066722,23,250
120,1845,16,72,1273,556,664,2,2001-09-21 10:10:22,1001067022,39,355
121,1429,21,120,933,307,539,0,2001-09-21 10:15:22,1001067322,65,345
122,871,23,40,521,234,380,0,2001-09-21 10:20:22,1001067622,67,317
123,1293,15,58,917,471,439,2,2001-09-21 10:25:22,1001067922,3,183
124,1474,14,81,990,483,591,0,2001-09-21 10:30:22,1001068222,404,1301
125,1964,15,91,1226,669,717,0,2001-09-21 10:35:22,1001068522,59,349
126,1363,12,96,872,358,464,0,2001-09-21 10:40:22,1001068822,32,305
127,1491,13,39,1090,452,486,0,2001-09-21 10:45:22,1001069122,31,386
128,4224,15,163,1728,1124,747,5,2001-09-21 10:50:22,1001069422,26,477
129,1002,10,40,705,224,416,0,2001-09-21 10:55:22,1001069722,77,363
130,1435,14,73,977,523,499,2,2001-09-21 11:00:22,1001070022,13,218
131,1093,14,118,763,308,464,0,2001-09-21 11:05:22,1001070322,47,267
132,1655,15,117,1083,659,557,0,2001-09-21 11:10:22,1001070622,50,502
133,3537,17,111,2019,983,648,0,2001-09-21 11:15:22,1001070922,80,295
134,1703,15,94,1034,582,707,0,2001-09-21 11:20:22,1001071222,110,594
135,1432,13,64,999,335,488,0,2001-09-21 11:25:22,1001071522,37,272
136,1074,15,126,547,292,459,0,2001-09-21 11:30:22,1001071822,9,186
137,1046,15,41,542,512,413,0,2001-09-21 11:35:22,1001072122,14,212
138,1528,13,44,1118,596,523,0,2001-09-21 11:40:22,1001072422,15,154
139,1224,14,90,698,337,352,0,2001-09-21 11:45:22,1001072722,41,225
140,1053,13,129,660,268,444,0,2001-09-21 11:50:22,1001073022,15,190
141,1052,12,131,629,276,538,0,2001-09-21 11:55:22,1001073322,23,220
142,1460,15,150,971,402,561,0,2001-09-21 12:00:22,1001073622,8,235
143,1421,14,167,869,317,465,0,2001-09-21 12:05:22,1001073922,24,247
144,1517,12,213,793,403,486,0,2001-09-21 12:10:22,1001074222,49,343
145,843,14,47,558,301,347,0,2001-09-21 12:15:22,1001074522,14,109
146,735,15,57,468,246,347,0,2001-09-21 12:20:22,1001074822,10,167
147,1448,16,71,770,452,548,5,2001-09-21 12:25:22,1001075122,15,165
148,1031,14,118,653,263,428,0,2001-09-21 12:30:22,1001075422,22,253
149,949,17,55,695,295,404,2,2001-09-21 12:35:22,1001075722,5,125
150,1494,14,36,825,462,468,6,2001-09-21 12:40:22,1001076022,27,174
151,1116,15,58,718,395,376,0,2001-09-21 12:45:22,1001076322,23,236
152,1326,16,87,763,441,500,0,2001-09-21 12:50:22,1001076622,31,283
153,1050,12,77,667,319,450,2,2001-09-21 12:55:22,1001076922,39,262
154,986,14,66,625,281,422,0,2001-09-21 13:00:22,1001077222,27,230
155,1627,13,94,1212,339,563,2,2001-09-21 13:05:22,1001077522,78,506
156,1385,14,110,923,363,613,0,2001-09-21 13:10:22,1001077822,51,336
157,1178,12,67,776,315,511,0,2001-09-21 13:15:22,1001078122,21,196
158,1644,12,82,1061,450,475,0,2001-09-21 13:20:22,1001078422,33,430
159,1160,15,90,827,356,404,0,2001-09-21 13:25:22,1001078722,21,201
160,3134,17,190,2085,669,533,0,2001-09-21 13:30:22,1001079022,181,743
161,884,13,54,582,237,449,0,2001-09-21 13:35:22,1001079322,41,227
162,1337,16,82,827,367,580,0,2001-09-21 13:40:22,1001079622,19,194
163,1740,12,127,1265,522,570,2,2001-09-21 13:45:22,1001079922,50,289
164,1266,14,47,627,580,469,1,2001-09-21 13:50:22,1001080222,30,201
165,1783,15,68,1319,631,611,0,2001-09-21 13:55:22,1001080522,43,279
166,1655,15,118,1119,459,616,0,2001-09-21 14:00:22,1001080822,74,424
167,3303,16,121,2303,727,730,0,2001-09-21 14:05:22,1001081122,36,666
168,1382,15,121,917,429,537,0,2001-09-21 14:10:22,1001081422,21,349
169,2218,14,179,1352,607,782,2,2001-09-21 14:15:22,1001081722,39,442
170,1467,21,78,864,447,470,6,2001-09-21 14:20:22,1001082022,42,324
171,2304,21,158,1448,672,632,3,2001-09-21 14:25:22,1001082322,26,350
172,2555,16,97,1769,574,618,0,2001-09-21 14:30:22,1001082622,76,370
173,1389,12,61,830,403,529,0,2001-09-21 14:35:22,1001082922,36,217
174,1150,14,77,765,347,422,2,2001-09-21 14:40:22,1001083222,34,202
175,1224,15,96,770,391,460,0,2001-09-21 14:45:22,1001083522,23,231
176,1150,14,51,624,506,502,0,2001-09-21 14:50:22,1001083822,9,312
177,1134,17,121,603,374,472,0,2001-09-21 14:55:22,1001084122,27,250
178,814,14,69,454,226,366,0,2001-09-21 15:00:22,1001084422,34,169
179,1641,14,50,1015,435,585,0,2001-09-21 15:05:22,1001084722,36,534
180,1631,15,54,985,411,516,3,2001-09-21 15:10:22,1001085022,27,225
181,1296,14,76,797,511,522,3,2001-09-21 15:15:22,1001085322,155,513
182,1320,13,90,811,449,381,0,2001-09-21 15:20:22,1001085622,32,222
183,1007,14,70,557,409,441,0,2001-09-21 15:25:22,1001085922,33,347
184,955,12,47,674,327,354,0,2001-09-21 15:30:22,1001086222,10,284
185,2846,13,59,1990,806,584,0,2001-09-21 15:35:22,1001086522,58,828
186,1528,14,60,1080,557,577,3,2001-09-21 15:40:22,1001086822,15,638
187,1253,11,107,769,396,507,5,2001-09-21 15:45:22,1001087122,27,353
188,1397,16,44,472,507,387,5,2001-09-21 15:50:22,1001087422,19,287
189,1060,11,51,601,420,373,8,2001-09-21 15:55:22,1001087722,39,539
190,1696,13,128,855,557,514,1,2001-09-21 16:00:22,1001088022,35,363
191,1005,15,65,603,389,377,0,2001-09-21 16:05:22,1001088322,23,304
192,1876,15,100,1281,446,505,0,2001-09-21 16:10:22,1001088622,41,490
193,1189,15,49,695,392,541,0,2001-09-21 16:15:22,1001088922,33,396
194,1745,15,219,997,446,580,1,2001-09-21 16:20:22,1001089222,41,414
195,1828,15,180,1105,485,651,2,2001-09-21 16:25:22,1001089522,61,352
196,1277,13,38,789,483,492,5,2001-09-21 16:30:22,1001089822,14,297
197,2065,12,61,1444,778,448,0,2001-09-21 16:35:22,1001090122,47,688
198,1489,13,75,868,549,558,0,2001-09-21 16:40:22,1001090422,18,335
199,1437,12,34,896,498,413,5,2001-09-21 16:45:22,1001090722,53,455
200,1629,14,95,1101,502,599,2,2001-09-21 16:50:22,1001091022,119,750
201,873,11,30,503,377,354,0,2001-09-21 16:55:22,1001091322,6,246
202,1143,19,27,586,473,403,0,2001-09-21 17:00:22,1001091622,15,247
203,2190,14,105,1479,476,820,2,2001-09-21 17:05:22,1001091922,64,570
204,1162,13,78,606,398,413,0,2001-09-21 17:10:22,1001092222,19,317
205,1058,13,76,667,375,368,0,2001-09-21 17:15:22,1001092522,29,366
206,1440,12,138,855,534,503,0,2001-09-21 17:20:22,1001092822,18,496
207,1513,14,153,817,458,480,1,2001-09-21 17:25:22,1001093122,60,424
