dataset_nimda_513_5_rrc04.csv_recall,dataset_nimda_513_5_rrc04.csv_f1,dataset_nimda_513_5_rrc04.csv_precision,all_files_precision,all_files_recall,all_files_f1
"[1.0, 1.0, 0.5131578947368421, 0.19736842105263158, 0.14473684210526316, 0.13157894736842105, 0.13157894736842105, 0.13157894736842105, 0.13157894736842105, 0.14473684210526316]","[0.2733812949640288, 0.2733812949640288, 0.6610169491525424, 0.32258064516129026, 0.24719101123595508, 0.23255813953488372, 0.23255813953488372, 0.23255813953488372, 0.23255813953488372, 0.2528735632183908]","[0.15833333333333333, 0.15833333333333333, 0.9285714285714286, 0.8823529411764706, 0.8461538461538461, 1.0, 1.0, 1.0, 1.0, 1.0]",0.9999999999999998,0.005649717514124294,0.011235955056179763
"[0.14473684210526316, 0.15789473684210525, 0.15789473684210525, 0.17105263157894737, 0.18421052631578946, 0.19736842105263158, 0.19736842105263158, 0.19736842105263158, 0.2236842105263158, 0.25]","[0.2528735632183908, 0.2727272727272727, 0.2727272727272727, 0.29213483146067415, 0.3111111111111111, 0.32967032967032966, 0.32967032967032966, 0.32967032967032966, 0.3655913978494624, 0.4]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.9999999999999998,0.011299435028248588,0.02234636871508378
"[0.2894736842105263, 0.3026315789473684, 0.3157894736842105, 0.3157894736842105, 0.3684210526315789, 0.4605263157894737, 0.5131578947368421, 0.5657894736842105, 0.5921052631578947, 0.6052631578947368]","[0.4489795918367347, 0.46464646464646464, 0.4799999999999999, 0.47524752475247517, 0.5333333333333333, 0.625, 0.6724137931034483, 0.7166666666666667, 0.7317073170731707, 0.7419354838709677]","[1.0, 1.0, 1.0, 0.96, 0.9655172413793104, 0.9722222222222222, 0.975, 0.9772727272727273, 0.9574468085106383, 0.9583333333333334]",0.95,0.10734463276836158,0.19289340101522823
"[0.537577365163572, 0.7046861184792219, 0.8346595932802829, 0.9566755083996463, 0.982316534040672, 0.9876215738284704, 0.9858532272325375, 0.9858532272325375, 0.9876215738284704, 0.986737400530504]","[0.6901248581157774, 0.8074974670719351, 0.883068288119738, 0.9359861591695502, 0.9399323181049068, 0.9490229396771453, 0.9579037800687284, 0.9612068965517241, 0.9654278305963698, 0.9674902470741221]","[0.9635499207606973, 0.9454329774614472, 0.9374379344587885, 0.9161727349703641, 0.9010543390105434, 0.9133278822567457, 0.9314954051796157, 0.9377628259041211, 0.9442096365173288, 0.9489795918367347]",0.9934640522875817,0.6440677966101694,0.7814910025706935
"[0.783625730994152, 0.783625730994152, 0.783625730994152, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.8128654970760234, 0.8245614035087719, 0.8304093567251462, 0.8421052631578947]","[0.5381526104417671, 0.6132723112128147, 0.6504854368932039, 0.675, 0.6923076923076923, 0.706806282722513, 0.7277486910994765, 0.7401574803149606, 0.7493403693931399, 0.7639257294429708]","[0.40978593272171254, 0.5037593984962406, 0.5560165975103735, 0.5895196506550219, 0.6164383561643836, 0.6398104265402843, 0.6587677725118484, 0.6714285714285714, 0.6826923076923077, 0.6990291262135923]",0.9629629629629629,0.03672316384180791,0.07074829931972781
"[0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571]","[0.7317073170731707, 0.7407407407407407, 0.75, 0.759493670886076, 0.759493670886076, 0.759493670886076, 0.759493670886076, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693]","[0.6382978723404256, 0.6521739130434783, 0.6666666666666666, 0.6818181818181818, 0.6818181818181818, 0.6818181818181818, 0.6818181818181818, 0.6976744186046512, 0.6976744186046512, 0.6976744186046512]",0.9473684210526315,0.025423728813559324,0.04951856946354878
"[0.8293545534924845, 0.9840848806366048, 0.9964633068081344, 0.9964633068081344, 0.9964633068081344, 0.9964633068081344, 0.9964633068081344, 0.9964633068081344, 0.995579133510168, 0.995579133510168]","[0.8653136531365313, 0.8932584269662922, 0.8649270913277053, 0.8888012618296529, 0.9099717400080742, 0.9287185826122786, 0.9419139155871292, 0.9474569146700295, 0.9582978723404255, 0.9607508532423208]","[0.9045323047251688, 0.8177810433504776, 0.7640677966101694, 0.8021352313167259, 0.837295690936107, 0.8695987654320988, 0.893026941362916, 0.9030448717948718, 0.9237079573420837, 0.9282769991755977]",0.98014440433213,0.7669491525423728,0.8605388272583195
"[0.986784140969163, 0.986784140969163, 0.9823788546255506, 0.9823788546255506, 0.9823788546255506, 0.9823788546255506, 0.9823788546255506, 0.9823788546255506, 0.9823788546255506, 0.9823788546255506]","[0.896, 0.9333333333333335, 0.9389473684210526, 0.9429175475687103, 0.9449152542372881, 0.9449152542372881, 0.9449152542372881, 0.9449152542372881, 0.9449152542372881, 0.948936170212766]","[0.8205128205128205, 0.8853754940711462, 0.8991935483870968, 0.9065040650406504, 0.9102040816326531, 0.9102040816326531, 0.9102040816326531, 0.9102040816326531, 0.9102040816326531, 0.9176954732510288]",0.9972067039106145,0.5042372881355932,0.6697936210131327
"[0.8857142857142857, 0.8857142857142857, 0.8857142857142857, 0.8857142857142857, 0.8857142857142857, 0.8857142857142857, 0.8857142857142857, 0.8857142857142857, 0.8857142857142857, 0.8857142857142857]","[0.6666666666666667, 0.7469879518072288, 0.7948717948717948, 0.8378378378378378, 0.8611111111111112, 0.8611111111111112, 0.8857142857142857, 0.8985507246376812, 0.8985507246376812, 0.8985507246376812]","[0.5344827586206896, 0.6458333333333334, 0.7209302325581395, 0.7948717948717948, 0.8378378378378378, 0.8378378378378378, 0.8857142857142857, 0.9117647058823529, 0.9117647058823529, 0.9117647058823529]",0.9948453608247423,0.2725988700564972,0.42793791574279344
"[0.9473684210526315, 0.9473684210526315, 0.9473684210526315, 0.9473684210526315, 0.9473684210526315, 0.9532163742690059, 0.9532163742690059, 0.9532163742690059, 0.9532163742690059, 0.9590643274853801]","[0.9, 0.9101123595505618, 0.9101123595505618, 0.9152542372881356, 0.9257142857142858, 0.9314285714285714, 0.9367816091954022, 0.9394812680115273, 0.9367816091954022, 0.9398280802292264]","[0.8571428571428571, 0.8756756756756757, 0.8756756756756757, 0.8852459016393442, 0.9050279329608939, 0.9106145251396648, 0.9209039548022598, 0.9261363636363636, 0.9209039548022598, 0.9213483146067416]",0.9791666666666666,0.19915254237288135,0.3309859154929574
