dataset_nimda_513_5_rrc04.csv_recall,dataset_nimda_513_5_rrc04.csv_f1,dataset_nimda_513_5_rrc04.csv_precision,all_files_precision,all_files_recall,all_files_f1
[0.9342105263157895],[0.8606060606060606],[0.797752808988764],0.9963768115942029,0.3884180790960452,0.5589430894308939
[0.8571428571428571],[0.4580152671755725],[0.3125],0.9957264957264957,0.3290960451977401,0.49469214437367265
[0.9605263157894737],[0.9419354838709677],[0.9240506329113924],0.99581589958159,0.3361581920903955,0.5026399155227028
[0.8863636363636364],[0.7799999999999999],[0.6964285714285714],0.9956331877729258,0.3220338983050847,0.4866595517609388
[0.9473684210526315],[0.8663101604278075],[0.7980295566502463],0.9948717948717949,0.2740112994350282,0.42967884828349906
[0.8527131782945736],[0.8270676691729323],[0.8029197080291971],0.9955555555555555,0.3163841807909605,0.4801714898177917
[0.9619805481874447],[0.9355116079105762],[0.9104602510460251],0.9165154264972777,0.713276836158192,0.8022239872915007
[0.9849690539345711],[0.9640848117697965],[0.9440677966101695],0.9967213114754099,0.4293785310734463,0.6001974333662384
[0.9282371294851794],[0.8981132075471697],[0.8698830409356725],0.9967105263157895,0.4279661016949153,0.5988142292490114
[0.8682170542635659],[0.7832167832167831],[0.7133757961783439],0.9964539007092199,0.3968926553672316,0.5676767676767672
[0.973568281938326],[0.878727634194831],[0.8007246376811594],0.9962406015037594,0.3742937853107345,0.5441478439425047
[0.8571428571428571],[0.48],[0.3333333333333333],0.9954954954954955,0.3121468926553672,0.47526881720430064
[0.9964633068081344],[0.8965791567223549],[0.8148951554591468],0.9232053422370617,0.7810734463276836,0.8462127008416214
[0.9590643274853801],[0.7922705314009661],[0.6748971193415638],0.9943019943019943,0.4929378531073446,0.6591123701605283
[0.9],[0.8357142857142857],[0.78],0.9968652037617555,0.4491525423728814,0.6192794547224922
[0.8538011695906432],[0.6045548654244306],[0.46794871794871795],0.9947643979057592,0.268361581920904,0.422691879866518
[0.9691629955947136],[0.9503239740820735],[0.9322033898305084],0.9954128440366973,0.3064971751412429,0.4686825053995676
[0.9454828660436138],[0.832076764907471],[0.7429620563035496],0.986449864498645,0.5141242937853108,0.6759517177344472
[0.9779735682819384],[0.9426751592356688],[0.9098360655737705],0.9812834224598931,0.518361581920904,0.6783733826247684
[0.9318181818181818],[0.6776859504132231],[0.5324675324675324],0.9969879518072289,0.4675141242937853,0.636538461538461
[0.9069767441860465],[0.7722772277227723],[0.6724137931034483],0.9966777408637874,0.423728813559322,0.5946481665014861
