dataset,epoch,f1,precision,recall
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_15_rrc04.csv,28,0.989,0.988,0.991
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_1_rrc04.csv,26,0.993,0.991,0.995
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_5_rrc04.csv,29,0.938,0.932,0.944
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_15_rrc04.csv,21,0.86,0.816,0.909
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_1_rrc04.csv,1,0.973,0.986,0.961
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_5_rrc04.csv,28,0.951,0.925,0.978
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_15_rrc04.csv,29,0.953,0.959,0.947
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_1_rrc04.csv,26,0.959,0.941,0.978
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_5_rrc04.csv,28,0.914,0.86,0.974
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_15_rrc04.csv,29,0.949,0.971,0.928
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_1_rrc04.csv,9,0.907,0.859,0.961
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_5_rrc04.csv,29,0.957,0.943,0.971
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_15_rrc04.csv,14,0.986,0.984,0.988
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_1_rrc04.csv,28,0.972,0.957,0.987
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_5_rrc04.csv,29,0.919,0.88,0.962
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_1853_1_rrc05.csv,28,0.861,0.838,0.886
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_1853_5_rrc05.csv,27,0.956,0.915,1.0
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_12793_1_rrc05.csv,15,0.93,0.917,0.943
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_12793_5_rrc05.csv,26,0.931,0.917,0.946
