dataset,epoch,f1,precision,recall
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_12793_5_rrc05.csv,0,0.784,0.665,0.953
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_15_rrc04.csv,0,0.852,0.773,0.949
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_1_rrc04.csv,0,0.794,0.732,0.868
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_5_rrc04.csv,0,0.947,0.947,0.947
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_15_rrc04.csv,0,0.792,0.722,0.877
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_1_rrc04.csv,0,0.762,0.656,0.909
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_5_rrc04.csv,0,0.83,0.765,0.907
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_15_rrc04.csv,0,0.909,0.897,0.921
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_1_rrc04.csv,0,0.943,0.943,0.943
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_5_rrc04.csv,0,0.585,0.437,0.886
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_15_rrc04.csv,0,0.896,0.839,0.961
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_1_rrc04.csv,0,0.423,0.28,0.857
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_5_rrc04.csv,0,0.625,0.505,0.819
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_15_rrc04.csv,0,0.842,0.812,0.874
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_1_rrc04.csv,0,0.918,0.861,0.984
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_5_rrc04.csv,0,0.769,0.658,0.925
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_1853_1_rrc05.csv,0,0.803,0.694,0.953
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_1853_5_rrc05.csv,0,0.927,0.904,0.952
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_12793_1_rrc05.csv,0,0.948,0.928,0.969
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_12793_5_rrc05.csv,0,0.912,0.845,0.99
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_15_rrc04.csv,0,0.937,0.899,0.978
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_1_rrc04.csv,0,0.901,0.83,0.987
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_5_rrc04.csv,0,0.881,0.801,0.978
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_15_rrc04.csv,0,0.387,0.25,0.857
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_1_rrc04.csv,0,0.785,0.675,0.938
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_5_rrc04.csv,0,0.601,0.473,0.825
