dataset,epoch,f1,precision,recall
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_15_rrc04.csv,2,0.661,0.929,0.513
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_1_rrc04.csv,9,0.4,1.0,0.25
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_513_5_rrc04.csv,9,0.742,0.958,0.605
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_15_rrc04.csv,9,0.967,0.949,0.987
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_1_rrc04.csv,9,0.764,0.699,0.842
/home/pc/bgp-feature-extractor/datasets/dataset_code-red_6893_5_rrc04.csv,7,0.769,0.698,0.857
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_15_rrc04.csv,9,0.961,0.928,0.996
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_1_rrc04.csv,9,0.949,0.918,0.982
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_513_5_rrc04.csv,7,0.899,0.912,0.886
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_15_rrc04.csv,9,0.94,0.921,0.959
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_1_rrc04.csv,9,0.903,0.902,0.903
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_559_5_rrc04.csv,7,0.808,0.727,0.909
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_15_rrc04.csv,9,0.891,0.843,0.945
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_1_rrc04.csv,7,0.984,0.974,0.995
/home/pc/bgp-feature-extractor/datasets/dataset_slammer_6893_5_rrc04.csv,7,0.867,0.836,0.9
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_1853_1_rrc05.csv,0,0.967,0.965,0.969
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_1853_5_rrc05.csv,8,0.861,0.814,0.915
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_12793_1_rrc05.csv,9,0.924,0.884,0.969
/home/pc/bgp-feature-extractor/datasets/dataset_moscow_blackout_12793_5_rrc05.csv,3,0.909,0.889,0.93
