;ann_to_longer;ann_to_shorter;announcements;as_path_avg;as_path_max;class;dups;edit_distance_avg;edit_distance_dict_0_;edit_distance_dict_100_;edit_distance_dict_101_;edit_distance_dict_102_;edit_distance_dict_103_;edit_distance_dict_10_;edit_distance_dict_11_;edit_distance_dict_12_;edit_distance_dict_13_;edit_distance_dict_14_;edit_distance_dict_15_;edit_distance_dict_16_;edit_distance_dict_17_;edit_distance_dict_18_;edit_distance_dict_19_;edit_distance_dict_1_;edit_distance_dict_2_;edit_distance_dict_3_;edit_distance_dict_4_;edit_distance_dict_5_;edit_distance_dict_6_;edit_distance_dict_7_;edit_distance_dict_8_;edit_distance_dict_9_;edit_distance_max;edit_distance_unique_dict_0_;edit_distance_unique_dict_100_;edit_distance_unique_dict_101_;edit_distance_unique_dict_102_;edit_distance_unique_dict_103_;edit_distance_unique_dict_10_;edit_distance_unique_dict_11_;edit_distance_unique_dict_12_;edit_distance_unique_dict_13_;edit_distance_unique_dict_14_;edit_distance_unique_dict_15_;edit_distance_unique_dict_16_;edit_distance_unique_dict_17_;edit_distance_unique_dict_18_;edit_distance_unique_dict_19_;edit_distance_unique_dict_1_;edit_distance_unique_dict_2_;edit_distance_unique_dict_3_;edit_distance_unique_dict_4_;edit_distance_unique_dict_5_;edit_distance_unique_dict_6_;edit_distance_unique_dict_7_;edit_distance_unique_dict_8_;edit_distance_unique_dict_9_;flaps;imp_wd_dpath;imp_wd_spath;nadas;news;number_rare_ases;origin_0_;origin_1_;origin_2_;origin_changes;rare_ases_avg;rare_ases_max;timestamp;timestamp2;unique_as_path_avg;unique_as_path_max
54;2277;1037;15142;5;15;0;8006;0.6570181329751511;10296;0;0;0;0;3;1;0;0;0;0;0;0;0;0;1994;1139;783;388;206;32;39;7;2;11;10296;0;0;0;0;3;1;0;0;0;0;0;0;0;0;1994;1139;783;388;206;32;39;7;2;336;3917;1735;896;240;0;5078;0;275;164;0.0;0;2001-09-16 04:33:12;1000614792;5;13
55;1148;932;13271;3;15;0;8449;0.5726580350342727;10158;0;0;0;0;7;0;0;0;0;0;0;0;0;0;976;874;378;309;323;42;30;19;14;10;10158;0;0;0;0;7;0;0;0;0;0;0;0;0;0;976;874;378;309;323;42;30;19;14;198;2689;1424;370;122;0;5364;0;293;166;0.0;0;2001-09-16 04:38:12;1000615092;3;13
56;1831;1442;21797;5;16;0;13309;0.558412653312497;15543;0;0;0;0;5;1;1;1;0;0;0;0;0;0;2636;1418;646;325;335;152;24;29;1;13;15543;0;0;0;0;5;1;1;1;0;0;0;0;0;0;2636;1418;646;325;335;152;24;29;1;366;4716;1709;1017;619;2;7328;10;653;246;9.17473278590761e-05;1;2001-09-16 04:43:12;1000615392;5;9
57;1363;1465;31360;3;17;0;23838;0.3224439628683249;26789;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1457;1155;557;452;411;38;29;25;3;10;26789;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1457;1155;557;452;411;38;29;25;3;219;3250;2586;1024;387;3;11062;53;951;156;9.565411472116825e-05;1;2001-09-16 04:48:12;1000615692;3;10
58;1536;1505;64450;8;16;0;51966;0.19147095575277948;56681;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2947;1277;610;390;315;70;11;104;13;10;56681;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2947;1277;610;390;315;70;11;104;13;295;5270;4211;680;2003;233;20906;16;1567;155;0.003614756895963263;2;2001-09-16 04:53:12;1000615992;5;11
59;1054;1690;6991;4;15;0;232;1.4347122037391433;1564;0;0;0;0;1;2;1;0;0;0;0;0;0;0;2865;1267;502;294;213;47;24;11;2;12;1564;0;0;0;0;1;2;1;0;0;0;0;0;0;0;2865;1267;502;294;213;47;24;11;2;453;4852;722;534;182;0;2416;0;161;105;0.0;0;2001-09-16 04:58:12;1000616292;4;9
60;2147;1428;8824;7;16;0;257;1.6744502100321226;1859;0;0;0;0;6;3;1;1;0;0;0;0;0;0;2990;1314;681;759;290;81;78;23;8;13;1859;0;0;0;0;6;3;1;1;0;0;0;0;0;0;2990;1314;681;759;290;81;78;23;8;142;5826;1357;512;709;1;3153;0;117;204;0.00011332728921124207;1;2001-09-16 05:03:12;1000616592;6;9
61;1072;1324;5643;4;107;0;261;1.404988575780655;1842;0;0;0;0;6;3;4;7;5;0;0;0;0;0;1546;939;424;205;148;80;22;2;19;14;1842;0;0;0;0;6;3;4;7;5;0;0;0;0;0;1546;939;424;205;148;80;22;2;19;433;2843;898;817;275;0;2066;0;186;149;0.0;0;2001-09-16 05:08:12;1000616892;4;10
62;2194;5331;15778;4;108;0;341;1.5932904411764706;3585;0;0;0;0;33;14;7;0;0;0;0;0;0;0;5775;2766;1604;560;357;315;74;129;13;12;3585;0;0;0;0;33;14;7;0;0;0;0;0;0;0;5775;2766;1604;560;357;315;74;129;13;336;10040;2752;1763;382;1;3552;0;282;248;6.337537233031244e-05;1;2001-09-16 05:13:12;1000617192;4;10
63;3998;2180;11010;4;16;0;234;1.5207055938119045;2362;0;0;0;0;14;3;2;1;0;0;0;0;0;0;4040;2416;814;480;275;101;62;17;14;13;2362;0;0;0;0;14;3;2;1;0;0;0;0;0;0;4040;2416;814;480;275;101;62;17;14;403;7522;1433;1009;372;0;2711;2;319;308;0.0;0;2001-09-16 05:18:12;1000617492;4;10
64;1673;1211;5996;5;17;0;379;1.5919227392449518;1751;0;0;0;0;10;2;1;0;0;0;0;0;0;0;1437;1245;560;353;220;46;37;19;14;12;1751;0;0;0;0;10;2;1;0;0;0;0;0;0;0;1437;1245;560;353;220;46;37;19;14;214;3542;1003;557;256;0;2228;0;199;195;0.0;0;2001-09-16 05:23:12;1000617792;5;12
65;1275;1858;6107;6;15;0;359;1.7247863247863249;1827;0;0;0;0;11;3;5;0;0;0;0;0;0;0;1179;1393;593;347;331;80;43;23;15;12;1827;0;0;0;0;11;3;5;0;0;0;0;0;0;0;1179;1393;593;347;331;80;43;23;15;366;3411;930;784;244;0;2268;0;250;261;0.0;0;2001-09-16 05:28:12;1000618092;4;10
66;1947;1578;8486;4;17;0;435;1.626943649707675;2079;0;0;0;0;25;11;7;2;1;0;0;0;0;0;2650;1682;653;360;416;65;37;17;34;14;2079;0;0;0;0;25;11;7;2;1;0;0;0;0;0;2650;1682;653;360;416;65;37;17;34;522;5427;930;725;387;0;2729;0;282;222;0.0;0;2001-09-16 05:33:12;1000618392;4;11
67;1566;1205;7382;2;16;0;342;1.518385521401896;1442;0;0;0;0;3;4;0;0;0;0;0;0;0;0;2965;1348;531;313;213;95;32;12;4;11;1442;0;0;0;0;3;4;0;0;0;0;0;0;0;0;2965;1348;531;313;213;95;32;12;4;181;5224;846;369;409;0;2355;0;255;185;0.0;0;2001-09-16 05:38:12;1000618692;2;10
68;1078;2628;8899;4;16;0;383;1.7454331172657631;1906;0;0;0;0;20;17;4;5;2;0;0;0;0;0;2727;1453;1504;428;258;70;44;16;31;14;1906;0;0;0;0;20;17;4;5;2;0;0;0;0;0;2727;1453;1504;428;258;70;44;16;31;394;6131;945;632;391;0;3068;0;188;158;0.0;0;2001-09-16 05:43:12;1000618992;4;12
69;4758;3781;13289;8;16;0;452;1.527958488228005;2746;0;0;0;0;10;16;2;5;0;0;0;0;0;0;5132;2787;1253;431;236;132;112;31;19;13;2746;0;0;0;0;10;16;2;5;0;0;0;0;0;0;5132;2787;1253;431;236;132;112;31;19;425;9693;1726;616;339;0;2984;0;280;260;0.0;0;2001-09-16 05:48:12;1000619292;6;12
70;1620;3854;10297;4;17;0;335;1.4292532564383016;2432;0;0;0;0;6;1;1;1;0;0;0;0;0;0;4045;1751;1029;450;269;37;13;12;10;13;2432;0;0;0;0;6;1;1;1;0;0;0;0;0;0;4045;1751;1029;450;269;37;13;12;10;463;6806;1433;1020;209;0;2852;0;334;169;0.0;0;2001-09-16 05:53:12;1000619592;4;12
71;2729;800;5697;6;16;0;172;1.2558565153733527;1298;0;0;0;0;13;21;5;3;1;0;0;0;0;0;2834;780;245;137;98;8;6;4;11;14;1298;0;0;0;0;13;21;5;3;1;0;0;0;0;0;2834;780;245;137;98;8;6;4;11;387;3857;573;475;195;0;1709;0;209;154;0.0;0;2001-09-16 05:58:12;1000619892;5;12
72;1220;1644;6291;4;16;0;206;1.789857589440778;1754;0;0;0;0;11;11;6;10;2;0;0;0;0;0;1355;1145;698;260;182;202;56;42;24;14;1754;0;0;0;0;11;11;6;10;2;0;0;0;0;0;1355;1145;698;260;182;202;56;42;24;255;3545;1181;571;510;0;2181;0;181;131;0.0;0;2001-09-16 06:03:12;1000620192;4;12
73;1563;2111;8152;9;17;0;214;1.7306021104903786;1701;0;0;0;0;6;2;1;0;0;0;0;0;0;0;2551;1807;912;662;298;60;19;10;26;12;1701;0;0;0;0;6;2;1;0;0;0;0;0;0;0;2551;1807;912;662;298;60;19;10;26;468;5842;807;724;72;0;2755;0;290;207;0.0;0;2001-09-16 06:08:12;1000620492;6;11
74;1953;1545;7069;5;16;0;170;1.7460462287104623;1352;0;0;0;0;0;5;0;0;1;0;0;0;0;0;1963;1551;887;495;257;46;8;9;2;14;1352;0;0;0;0;0;5;0;0;1;0;0;0;0;0;1963;1551;887;495;257;46;8;9;2;174;4914;907;411;459;0;2668;0;222;236;0.0;0;2001-09-16 06:13:12;1000620792;5;10
75;5029;2900;30493;2;16;0;815;1.3420963447107237;6910;0;0;0;0;6;0;1;0;4;0;0;0;0;0;7360;2538;1100;2209;285;149;60;15;18;14;6910;0;0;0;0;6;0;1;0;4;0;0;0;0;0;7360;2538;1100;2209;285;149;60;15;18;1308;13156;4540;836;6802;0;4703;2;294;197;0.0;0;2001-09-16 06:18:12;1000621092;2;9
76;1290;1481;6010;7;15;0;278;1.561424847958297;1672;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1473;1478;477;343;221;44;15;13;14;10;1672;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1473;1478;477;343;221;44;15;13;14;356;3250;892;979;220;0;2058;0;161;158;0.0;0;2001-09-16 06:23:12;1000621392;7;10
77;930;1063;6080;5;17;0;298;1.4190528634361232;1391;0;0;0;0;4;2;0;1;0;0;0;0;0;0;2129;994;446;268;176;21;10;1;5;13;1391;0;0;0;0;4;2;0;1;0;0;0;0;0;0;2129;994;446;268;176;21;10;1;5;221;3555;765;609;566;0;1752;0;165;118;0.0;0;2001-09-16 06:28:12;1000621692;5;12
78;6627;6306;28072;4;16;0;891;1.4702626945053365;9318;0;0;0;0;4;2;1;1;0;0;0;0;0;0;6962;4554;4131;2330;229;209;58;14;14;13;9318;0;0;0;0;4;2;1;1;0;0;0;0;0;0;6962;4554;4131;2330;229;209;58;14;14;2854;14843;4780;4459;210;0;3532;0;236;181;0.0;0;2001-09-16 06:33:12;1000621992;4;10
79;1929;941;5901;4;16;0;313;1.8201746569238995;1697;0;0;0;0;9;4;1;1;0;0;0;0;0;0;1230;941;511;877;229;61;28;4;18;13;1697;0;0;0;0;9;4;1;1;0;0;0;0;0;0;1230;941;511;877;229;61;28;4;18;219;2858;1042;1179;257;0;1818;0;219;149;0.0;0;2001-09-16 06:38:12;1000622292;4;9
80;958;861;5033;5;16;0;232;1.6476259339599904;1251;0;0;0;0;9;1;0;1;0;0;0;0;0;0;1120;728;445;269;263;30;23;2;7;13;1251;0;0;0;0;9;1;0;1;0;0;0;0;0;0;1120;728;445;269;263;30;23;2;7;234;2465;649;569;877;1;1797;0;230;145;0.00019868865487780648;1;2001-09-16 06:43:12;1000622592;5;12
81;881;1076;6942;5;12;0;192;1.3436960276338514;1790;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2151;955;383;207;210;29;9;52;1;10;1790;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2151;955;383;207;210;29;9;52;1;404;3473;1020;701;296;0;2044;0;192;102;0.0;0;2001-09-16 06:48:12;1000622892;5;9
82;1249;2698;8518;3;17;0;339;1.9037446594621765;2670;0;0;0;0;35;10;2;2;0;0;0;0;0;0;1146;2030;812;532;295;98;30;67;229;13;2670;0;0;0;0;35;10;2;2;0;0;0;0;0;0;1146;2030;812;532;295;98;30;67;229;240;4674;1943;762;493;0;2738;0;248;190;0.0;0;2001-09-16 06:53:12;1000623192;3;12
83;2835;1665;10074;3;104;0;257;1.9446817833278562;2041;0;0;0;0;51;27;3;3;0;0;0;0;0;0;2584;2304;818;523;376;75;42;29;253;13;2041;0;0;0;0;51;27;3;3;0;0;0;0;0;0;2584;2304;818;523;376;75;42;29;253;380;6471;1180;841;718;1;3051;0;220;194;9.926543577526305e-05;1;2001-09-16 06:58:12;1000623492;3;12
84;1100;1329;6274;4;17;0;293;1.6279893711248892;1522;0;0;0;0;24;12;0;0;0;0;0;0;0;0;1890;1071;367;439;214;19;17;4;66;11;1522;0;0;0;0;24;12;0;0;0;0;0;0;0;0;1890;1071;367;439;214;19;17;4;66;266;3751;708;627;430;2;2070;0;248;139;0.000318775900541919;1;2001-09-16 07:03:12;1000623792;4;11
85;1610;1528;9484;5;16;0;363;1.500772430184195;2468;0;0;0;0;13;1;1;2;0;0;0;0;0;0;2640;1655;869;384;217;42;42;3;78;13;2468;0;0;0;0;13;1;1;2;0;0;0;0;0;0;2640;1655;869;384;217;42;42;3;78;382;5356;1640;674;775;5;3339;0;157;118;0.000527203711514129;1;2001-09-16 07:08:12;1000624092;5;11
86;1054;1623;8434;4;18;0;266;1.4299474605954465;2512;0;0;0;0;4;2;1;1;0;0;0;0;0;0;3014;914;573;402;355;145;47;15;9;13;2512;0;0;0;0;4;2;1;1;0;0;0;0;0;0;3014;914;573;402;355;145;47;15;9;605;4747;1433;943;431;0;2589;0;292;201;0.0;0;2001-09-16 07:13:12;1000624392;4;11
87;1882;1329;8289;4;16;0;456;1.662104583602324;1991;0;0;0;0;4;1;1;2;0;0;0;0;0;0;2722;1203;602;670;325;121;25;58;20;13;1991;0;0;0;0;4;1;1;2;0;0;0;0;0;0;2722;1203;602;670;325;121;25;58;20;292;4850;1091;1056;427;0;2718;0;208;224;0.0;0;2001-09-16 07:18:12;1000624692;4;10
88;1781;1656;9828;5;17;0;415;1.584849157054126;2564;0;0;0;0;17;2;3;0;0;0;0;0;0;0;3023;1459;653;695;412;63;61;60;4;12;2564;0;0;0;0;17;2;3;0;0;0;0;0;0;0;3023;1459;653;695;412;63;61;60;4;451;5682;1512;956;789;0;3173;0;319;182;0.0;0;2001-09-16 07:23:12;1000624992;5;11
89;1738;2825;9668;5;17;0;420;1.7290308561495003;3083;0;0;0;0;41;19;8;2;3;0;0;0;0;0;1919;2053;725;557;374;224;116;43;37;14;3083;0;0;0;0;41;19;8;2;3;0;0;0;0;0;1919;2053;725;557;374;224;116;43;37;416;5351;2056;961;301;0;2926;0;218;151;0.0;0;2001-09-16 07:28:12;1000625292;5;10
90;3149;1529;8692;3;17;0;499;1.9988126335787224;2208;0;0;0;0;7;5;1;0;0;0;0;0;0;0;1798;2058;743;514;433;352;239;28;36;12;2208;0;0;0;0;7;5;1;0;0;0;0;0;0;0;1798;2058;743;514;433;352;239;28;36;357;5720;1234;612;250;0;3082;0;356;195;0.0;0;2001-09-16 07:33:12;1000625592;3;10
91;1097;1468;5343;3;16;0;208;1.7342818688713708;1616;0;0;0;0;5;7;2;0;0;0;0;0;0;0;1021;1157;620;389;247;101;18;11;7;12;1616;0;0;0;0;5;7;2;0;0;0;0;0;0;0;1021;1157;620;389;247;101;18;11;7;335;3060;861;737;132;2;1997;0;156;146;0.0003743215422047539;1;2001-09-16 07:38:12;1000625892;3;11
92;1434;1097;6156;6;17;0;286;1.6266714209306472;1921;0;0;0;0;7;1;0;2;0;0;0;0;0;0;1311;1078;544;306;153;129;122;14;21;13;1921;0;0;0;0;7;1;0;2;0;0;0;0;0;0;1311;1078;544;306;153;129;122;14;21;216;3243;1234;630;429;0;1931;0;174;89;0.0;0;2001-09-16 07:43:12;1000626192;4;10
93;773;1333;6905;6;20;0;284;1.2895871842267406;2931;0;0;0;0;16;4;1;1;0;0;0;0;0;0;1292;1070;551;307;196;68;17;19;19;13;2931;0;0;0;0;16;4;1;1;0;0;0;0;0;0;1292;1070;551;307;196;68;17;19;19;527;2840;1898;943;408;0;2300;0;171;147;0.0;0;2001-09-16 07:48:12;1000626492;4;9
94;2551;3177;14501;8;16;0;285;1.6642998678996037;3749;0;0;0;0;4;2;0;1;0;0;0;0;0;0;2539;2098;2307;852;447;56;25;15;17;13;3749;0;0;0;0;4;2;0;1;0;0;0;0;0;0;2539;2098;2307;852;447;56;25;15;17;459;7887;2781;700;2274;1;3360;0;338;447;6.896076132680504e-05;1;2001-09-16 07:53:12;1000626792;5;9
95;1629;1748;9627;2;14;0;485;1.5588898916967509;2287;0;0;0;0;5;0;0;0;0;0;0;0;0;0;3022;1338;1382;392;327;65;37;9;0;10;2287;0;0;0;0;5;0;0;0;0;0;0;0;0;0;3022;1338;1382;392;327;65;37;9;0;367;6119;1372;521;644;0;2623;0;257;115;0.0;0;2001-09-16 07:58:12;1000627092;2;10
96;1125;1554;6652;4;16;0;481;1.7042108866826429;2043;0;0;0;0;3;1;0;0;0;0;0;0;0;0;952;1235;731;374;344;90;30;17;22;11;2043;0;0;0;0;3;1;0;0;0;0;0;0;0;0;952;1235;731;374;344;90;30;17;22;412;3293;972;684;793;2;2244;0;348;151;0.0003006614552014432;1;2001-09-16 08:03:12;1000627392;4;10
97;1261;1877;5605;3;16;0;259;1.8343514193316566;1207;0;0;0;0;20;3;0;0;0;0;0;0;0;0;1230;1671;807;308;208;83;20;7;2;11;1207;0;0;0;0;20;3;0;0;0;0;0;0;0;0;1230;1671;807;308;208;83;20;7;2;183;4024;696;404;28;0;2184;0;176;97;0.0;0;2001-09-16 08:08:12;1000627692;3;10
98;1951;1105;6060;6;16;0;296;1.6703722418729998;1738;0;0;0;0;4;1;4;1;0;0;0;0;0;0;1240;1646;656;267;193;81;72;24;10;13;1738;0;0;0;0;4;1;4;1;0;0;0;0;0;0;1240;1646;656;267;193;81;72;24;10;523;3871;790;457;101;0;2153;0;262;115;0.0;0;2001-09-16 08:13:12;1000627992;4;12
99;740;889;4232;4;17;0;323;1.435483870967742;1552;0;0;0;0;3;2;1;0;0;0;0;0;0;0;1084;614;451;181;151;70;30;10;5;12;1552;0;0;0;0;3;2;1;0;0;0;0;0;0;0;1084;614;451;181;151;70;30;10;5;329;2224;771;507;60;0;1595;0;124;136;0.0;0;2001-09-16 08:18:12;1000628292;2;10
100;973;1237;4575;3;16;0;158;1.5346929727333185;1445;0;0;0;0;5;6;0;2;0;0;0;0;0;0;1283;809;427;182;280;43;21;6;2;13;1445;0;0;0;0;5;6;0;2;0;0;0;0;0;0;1283;809;427;182;280;43;21;6;2;280;2735;940;398;31;2;1864;0;112;119;0.0004371584699453552;1;2001-09-16 08:23:12;1000628592;3;8
101;1502;1703;8973;3;16;0;432;1.7271362586605081;2236;0;0;0;0;6;12;1;0;0;0;0;0;0;0;3108;1070;931;423;494;163;169;34;13;12;2236;0;0;0;0;6;12;1;0;0;0;0;0;0;0;3108;1070;931;423;494;163;169;34;13;472;5923;1117;716;298;0;2682;0;280;147;0.0;0;2001-09-16 08:28:12;1000628892;3;10
102;954;670;4619;4;15;0;242;1.460741067490075;1038;0;0;0;0;2;4;0;1;0;0;0;0;0;0;1881;944;262;150;194;13;27;8;10;13;1038;0;0;0;0;2;4;0;1;0;0;0;0;0;0;1881;944;262;150;194;13;27;8;10;166;3235;581;310;53;0;1581;0;170;151;0.0;0;2001-09-16 08:33:12;1000629192;4;9
103;1711;1323;7600;4;15;0;559;1.4328228835596648;2666;0;0;0;0;11;0;0;0;0;0;0;0;0;0;1384;1497;590;421;220;90;16;19;8;10;2666;0;0;0;0;11;0;0;0;0;0;0;0;0;0;1384;1497;590;421;220;90;16;19;8;515;3430;1421;997;613;0;2025;0;346;235;0.0;0;2001-09-16 08:38:12;1000629492;4;10
104;1364;1923;7236;3;20;0;251;1.6160926365795725;1877;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1436;2054;789;254;160;94;19;20;31;13;1877;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1436;2054;789;254;160;94;19;20;31;288;4517;1165;515;498;2;2308;0;249;108;0.0002763957987838585;1;2001-09-16 08:43:12;1000629792;3;9
105;1260;1846;6786;7;16;0;536;1.66722998924566;1956;0;0;0;0;4;1;0;1;0;0;0;0;0;0;1297;1635;723;580;207;65;17;19;4;13;1956;0;0;0;0;4;1;0;1;0;0;0;0;0;0;1297;1635;723;580;207;65;17;19;4;234;3864;1052;823;135;2;2154;0;284;109;0.0002947244326554671;1;2001-09-16 08:48:12;1000630092;3;9
106;2552;1630;9481;4;16;0;309;1.6223595505617978;2454;0;0;0;0;5;7;0;1;0;0;0;0;0;0;2217;2093;1193;555;231;107;6;21;10;13;2454;0;0;0;0;5;7;0;1;0;0;0;0;0;0;2217;2093;1193;555;231;107;6;21;10;394;5823;1553;821;522;0;2396;0;422;221;0.0;0;2001-09-16 08:53:12;1000630392;4;10
107;1123;1386;6892;8;17;0;587;1.4811097992916176;2057;0;0;0;0;11;0;3;0;0;0;0;0;0;0;2279;1109;604;313;197;114;57;27;5;12;2057;0;0;0;0;11;0;3;0;0;0;0;0;0;0;2279;1109;604;313;197;114;57;27;5;185;4227;1210;567;110;0;2065;0;314;145;0.0;0;2001-09-16 08:58:12;1000630692;8;10
108;1825;3137;10224;4;15;0;558;1.7869556327949294;2741;0;0;0;0;44;5;0;0;0;0;0;0;0;0;2760;1893;988;574;310;77;31;281;78;11;2741;0;0;0;0;44;5;0;0;0;0;0;0;0;0;2760;1893;988;574;310;77;31;281;78;532;5861;1474;1357;418;2;2257;0;405;174;0.00019561815336463224;1;2001-09-16 09:03:12;1000630992;4;10
109;2198;1576;7040;4;15;0;268;2.0729811429393985;1844;0;0;0;0;9;32;0;0;0;0;0;0;0;0;1365;1830;729;352;281;108;74;139;184;11;1844;0;0;0;0;9;32;0;0;0;0;0;0;0;0;1365;1830;729;352;281;108;74;139;184;403;3978;938;1360;85;0;1782;0;317;289;0.0;0;2001-09-16 09:08:12;1000631292;4;11
110;1533;1275;41718;5;16;0;34579;0.2572437653164192;37698;0;0;0;0;4;2;1;1;0;0;0;0;0;0;1398;1088;491;285;209;87;14;328;16;13;37698;0;0;0;0;4;2;1;1;0;0;0;0;0;0;1398;1088;491;285;209;87;14;328;16;210;3524;2821;488;74;3;14903;38;1274;106;7.189589474441009e-05;1;2001-09-16 09:13:12;1000631592;4;10
111;1741;1395;21606;4;17;0;14429;0.5090774016808284;17200;0;0;0;0;16;1;2;1;0;0;0;0;0;0;1462;1461;612;272;197;71;8;125;109;13;17200;0;0;0;0;16;1;2;1;0;0;0;0;0;0;1462;1461;612;272;197;71;8;125;109;394;3713;2170;831;53;0;7709;16;551;140;0.0;0;2001-09-16 09:18:12;1000631892;4;10
112;1190;607;34195;4;15;0;28700;0.19121021356710008;31044;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1172;941;361;168;180;114;8;5;0;11;31044;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1172;941;361;168;180;114;8;5;0;125;2624;2145;400;201;3;11924;36;1037;147;8.77141687620607e-05;1;2001-09-16 09:23:12;1000632192;2;11
113;950;1874;46907;2;17;0;38771;0.20983571580968638;42485;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1373;1723;583;397;236;42;16;4;7;10;42485;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1373;1723;583;397;236;42;16;4;7;381;3991;3126;601;29;193;16996;41;1428;196;0.004113647505168702;1;2001-09-16 09:28:12;1000632492;2;10
114;1505;1544;64147;6;16;0;52831;0.20482704402515722;57922;0;0;0;0;36;6;3;0;6;0;0;0;0;0;2499;1840;512;235;176;24;17;233;91;14;57922;0;0;0;0;36;6;3;0;6;0;0;0;0;0;2499;1840;512;235;176;24;17;233;91;470;5236;4409;654;505;1067;19792;33;1684;119;0.01663159535499961;1;2001-09-16 09:33:12;1000632792;6;11
115;1614;1461;16351;4;17;0;9021;0.7040835469951848;11196;0;0;0;0;33;13;4;0;2;0;0;0;0;0;1982;1361;648;215;300;110;14;73;40;14;11196;0;0;0;0;33;13;4;0;2;0;0;0;0;0;1982;1361;648;215;300;110;14;73;40;207;4436;1890;437;331;535;5619;3;597;123;0.03271570965572066;2;2001-09-16 09:38:12;1000633092;4;10
116;1501;1808;7656;4;20;0;349;1.7202413603949533;2125;0;0;0;0;9;6;1;1;0;0;1;1;0;0;1794;1576;603;532;467;136;30;4;6;17;2125;0;0;0;0;9;6;1;1;0;0;1;1;0;0;1794;1576;603;532;467;136;30;4;6;380;4606;1193;764;322;1;1890;0;522;194;0.00013061650992685477;1;2001-09-16 09:43:12;1000633392;4;11
117;1639;1643;7694;4;15;0;333;1.732419816292727;1720;0;0;0;0;3;1;0;1;0;0;0;0;0;0;1788;1516;644;415;370;115;53;7;8;13;1720;0;0;0;0;3;1;0;1;0;0;0;0;0;0;1788;1516;644;415;370;115;53;7;8;266;4475;1014;553;838;3;2665;0;363;176;0.0003899142188718482;1;2001-09-16 09:48:12;1000633692;4;13
118;1549;2134;7742;6;13;0;337;1.7039136302294198;2112;0;0;0;0;4;0;0;1;0;0;0;0;0;0;1888;1611;721;386;422;226;24;13;2;13;2112;0;0;0;0;4;0;0;1;0;0;0;0;0;0;1888;1611;721;386;422;226;24;13;2;444;4795;1096;738;310;2;2444;0;219;137;0.00025826446280991736;1;2001-09-16 09:53:12;1000633992;6;10
119;2331;2598;10062;4;16;0;752;1.560734463276836;2857;0;0;0;0;0;5;10;0;0;0;0;0;0;0;2011;3318;884;358;297;147;11;6;8;12;2857;0;0;0;0;0;5;10;0;0;0;0;0;0;0;2011;3318;884;358;297;147;11;6;8;499;6331;1336;994;106;3;2490;0;300;179;0.0002981514609421586;1;2001-09-16 09:58:12;1000634292;4;9
120;2202;1286;62957;3;17;0;52562;0.1996405452260907;57112;0;0;0;0;8;9;3;2;0;0;0;0;0;0;2425;1642;746;499;291;65;54;8;9;13;57112;0;0;0;0;8;9;3;2;0;0;0;0;0;0;2425;1642;746;499;291;65;54;8;9;244;5391;4218;458;81;411;21335;63;1913;127;0.006527228548287198;1;2001-09-16 10:03:12;1000634592;3;11
121;1015;971;51649;5;19;0;42839;0.17123540496959572;47136;0;0;0;0;15;27;2;2;0;2;0;0;0;0;2446;814;461;248;184;85;20;11;20;15;47136;0;0;0;0;15;27;2;2;0;2;0;0;0;0;2446;814;461;248;184;85;20;11;20;403;3825;3679;727;148;1018;16565;12;1412;114;0.019706912906285692;1;2001-09-16 10:08:12;1000634892;5;11
122;1040;1327;12160;4;22;0;5374;0.768958543983822;7132;0;0;0;0;10;5;1;1;1;0;0;0;0;0;2617;1037;447;276;289;26;17;5;4;14;7132;0;0;0;0;10;5;1;1;1;0;0;0;0;0;2617;1037;447;276;289;26;17;5;4;270;4174;1341;709;214;288;4100;2;412;104;0.02368421052631579;2;2001-09-16 10:13:12;1000635192;4;12
123;1346;1549;6685;2;13;0;309;1.4792662247572068;2081;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1847;1357;401;340;349;77;25;4;2;10;2081;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1847;1357;401;340;349;77;25;4;2;403;3997;1140;638;180;0;2085;0;264;208;0.0;0;2001-09-16 10:18:12;1000635492;2;10
124;1320;1122;5922;3;15;0;363;1.403030303030303;2067;0;0;0;0;1;6;0;0;0;0;0;0;0;0;1376;1133;466;207;248;74;19;7;6;11;2067;0;0;0;0;1;6;0;0;0;0;0;0;0;0;1376;1133;466;207;248;74;19;7;6;326;3022;1157;742;308;1;2199;0;247;181;0.00016886187098953058;1;2001-09-16 10:23:12;1000635792;3;11
