;ann_to_longer;ann_to_shorter;announcements;as_path_avg;as_path_max;class;dups;edit_distance_avg;edit_distance_dict_0_;edit_distance_dict_100_;edit_distance_dict_101_;edit_distance_dict_102_;edit_distance_dict_103_;edit_distance_dict_10_;edit_distance_dict_11_;edit_distance_dict_12_;edit_distance_dict_13_;edit_distance_dict_14_;edit_distance_dict_15_;edit_distance_dict_16_;edit_distance_dict_17_;edit_distance_dict_18_;edit_distance_dict_19_;edit_distance_dict_1_;edit_distance_dict_2_;edit_distance_dict_3_;edit_distance_dict_4_;edit_distance_dict_5_;edit_distance_dict_6_;edit_distance_dict_7_;edit_distance_dict_8_;edit_distance_dict_9_;edit_distance_max;edit_distance_unique_dict_0_;edit_distance_unique_dict_100_;edit_distance_unique_dict_101_;edit_distance_unique_dict_102_;edit_distance_unique_dict_103_;edit_distance_unique_dict_10_;edit_distance_unique_dict_11_;edit_distance_unique_dict_12_;edit_distance_unique_dict_13_;edit_distance_unique_dict_14_;edit_distance_unique_dict_15_;edit_distance_unique_dict_16_;edit_distance_unique_dict_17_;edit_distance_unique_dict_18_;edit_distance_unique_dict_19_;edit_distance_unique_dict_1_;edit_distance_unique_dict_2_;edit_distance_unique_dict_3_;edit_distance_unique_dict_4_;edit_distance_unique_dict_5_;edit_distance_unique_dict_6_;edit_distance_unique_dict_7_;edit_distance_unique_dict_8_;edit_distance_unique_dict_9_;flaps;imp_wd_dpath;imp_wd_spath;nadas;news;number_rare_ases;origin_0_;origin_1_;origin_2_;origin_changes;rare_ases_avg;rare_ases_max;timestamp;timestamp2;unique_as_path_avg;unique_as_path_max
13;500;469;2461;3;13;0;175;1.8012704174228675;836;0;0;0;0;5;3;0;0;0;0;0;0;0;0;541;181;231;28;111;256;8;4;0;11;836;0;0;0;0;5;3;0;0;0;0;0;0;0;0;541;181;231;28;111;256;8;4;0;112;1111;515;291;244;70;829;0;112;14;0.028443722064201545;3;2001-09-16 01:08:12;1000602492;3;10
14;317;201;1477;3;13;0;70;1.4618410700236035;547;0;0;0;0;0;0;0;0;0;0;0;0;0;0;298;177;83;31;39;36;58;2;0;8;547;0;0;0;0;0;0;0;0;0;0;0;0;0;0;298;177;83;31;39;36;58;2;0;108;617;340;136;201;75;752;7;166;16;0.05077860528097495;3;2001-09-16 01:13:12;1000602792;3;10
15;592;620;2602;6;13;0;84;2.082219522073714;738;0;0;0;0;0;0;0;0;0;0;0;0;0;0;624;246;298;37;206;289;29;2;0;8;738;0;0;0;0;0;0;0;0;0;0;0;0;0;0;624;246;298;37;206;289;29;2;0;138;1469;460;318;110;29;815;0;193;40;0.011145272867025366;2;2001-09-16 01:18:12;1000603092;5;10
16;268;371;1681;6;12;0;75;1.8132956152758133;583;0;0;0;0;2;2;0;0;0;0;0;0;0;0;256;186;114;66;44;74;75;9;3;11;583;0;0;0;0;2;2;0;0;0;0;0;0;0;0;256;186;114;66;44;74;75;9;3;127;738;336;138;262;95;942;0;110;18;0.05651397977394408;2;2001-09-16 01:23:12;1000603392;6;8
17;549;671;2756;3;13;0;104;1.6868178001679262;800;0;0;0;0;4;0;0;0;0;0;0;0;0;0;669;253;298;39;196;96;21;4;2;10;800;0;0;0;0;4;0;0;0;0;0;0;0;0;0;669;253;298;39;196;96;21;4;2;119;1385;515;259;233;52;997;0;102;32;0.01885424220449601;2;2001-09-16 01:28:12;1000603692;3;10
18;372;541;2476;4;13;0;105;1.2441913439635535;968;0;0;0;0;0;0;0;0;0;0;0;0;0;0;559;233;264;54;49;35;22;10;1;9;968;0;0;0;0;0;0;0;0;0;0;0;0;0;0;559;233;264;54;49;35;22;10;1;160;1068;647;215;262;45;877;0;143;111;0.018174474959612278;2;2001-09-16 01:33:12;1000603992;4;10
19;196;226;1508;2;13;0;136;0.8679098679098679;655;0;0;0;0;0;0;0;0;0;0;0;0;0;0;324;209;60;14;18;3;1;3;0;8;655;0;0;0;0;0;0;0;0;0;0;0;0;0;0;324;209;60;14;18;3;1;3;0;158;504;292;197;165;43;678;0;150;26;0.028514588859416445;3;2001-09-16 01:38:12;1000604292;2;9
20;472;479;3147;5;14;0;132;1.1716718960107575;916;0;0;0;0;0;1;0;0;0;0;0;0;0;0;622;334;217;89;34;6;2;4;6;11;916;0;0;0;0;0;1;0;0;0;0;0;0;0;0;622;334;217;89;34;6;2;4;6;152;1063;490;394;830;116;1041;0;54;21;0.03686050206545917;3;2001-09-16 01:43:12;1000604592;5;10
21;570;436;2732;7;14;0;110;1.3276150627615062;978;0;0;0;0;3;5;0;0;0;0;0;0;0;0;530;444;209;144;40;10;15;6;6;11;978;0;0;0;0;3;5;0;0;0;0;0;0;0;0;530;444;209;144;40;10;15;6;6;260;1142;509;369;229;59;1197;0;133;56;0.021595900439238654;2;2001-09-16 01:48:12;1000604892;7;11
22;866;769;3957;5;14;0;209;1.528225806451613;1277;0;0;0;0;24;7;0;0;0;0;0;0;0;0;981;548;270;74;30;226;5;5;25;11;1277;0;0;0;0;24;7;0;0;0;0;0;0;0;0;981;548;270;74;30;226;5;5;25;192;1758;766;547;380;73;1367;0;165;60;0.018448319433914583;3;2001-09-16 01:53:12;1000605192;5;11
