,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,dups,edit_distance_avg,edit_distance_dict_0_,edit_distance_dict_10_,edit_distance_dict_11_,edit_distance_dict_12_,edit_distance_dict_13_,edit_distance_dict_14_,edit_distance_dict_15_,edit_distance_dict_16_,edit_distance_dict_17_,edit_distance_dict_18_,edit_distance_dict_19_,edit_distance_dict_1_,edit_distance_dict_2_,edit_distance_dict_3_,edit_distance_dict_4_,edit_distance_dict_5_,edit_distance_dict_6_,edit_distance_dict_7_,edit_distance_dict_8_,edit_distance_dict_9_,edit_distance_max,edit_distance_unique_dict_0_,edit_distance_unique_dict_10_,edit_distance_unique_dict_11_,edit_distance_unique_dict_12_,edit_distance_unique_dict_13_,edit_distance_unique_dict_14_,edit_distance_unique_dict_15_,edit_distance_unique_dict_16_,edit_distance_unique_dict_17_,edit_distance_unique_dict_18_,edit_distance_unique_dict_19_,edit_distance_unique_dict_1_,edit_distance_unique_dict_2_,edit_distance_unique_dict_3_,edit_distance_unique_dict_4_,edit_distance_unique_dict_5_,edit_distance_unique_dict_6_,edit_distance_unique_dict_7_,edit_distance_unique_dict_8_,edit_distance_unique_dict_9_,flaps,imp_wd_dpath,imp_wd_spath,nadas,news,number_rare_ases,origin_0_,origin_1_,origin_2_,origin_changes,rare_ases_avg,rare_ases_max,timestamp,unique_as_path_avg,unique_as_path_max,class
0,165,172,1825,4,16,79,1.3028785982,363,0,3,0,0,0,0,0,0,0,0,159,106,90,52,11,3,11,0,1,11,363,0,3,0,0,0,0,0,0,0,0,159,106,90,52,11,3,11,0,1,22,400,239,59,922,30,774,0,212,46,0.0363196126,2,2001-07-22 00:11:57,4,10,0
1,256,316,3104,6,17,301,0.8762626263,1248,0,3,0,0,0,0,0,0,0,0,245,225,147,63,17,4,21,5,2,11,1248,0,3,0,0,0,0,0,0,0,0,245,225,147,63,17,4,21,5,2,121,614,799,145,975,94,1018,0,142,62,0.0302835052,7,2001-07-22 00:16:57,6,13,0
2,288,238,2278,6,16,201,1.0736160188,949,0,6,3,2,0,0,0,0,0,0,303,165,129,84,31,4,17,4,1,13,949,0,6,3,2,0,0,0,0,0,0,303,165,129,84,31,4,17,4,1,175,682,541,99,523,132,1017,0,132,48,0.0579455663,5,2001-07-22 00:21:57,6,14,0
3,656,411,3590,6,16,248,1.5961468557,1119,5,9,4,1,0,0,0,0,0,0,619,274,287,214,142,20,14,18,25,13,1119,5,9,4,1,0,0,0,0,0,0,619,274,287,214,142,20,14,18,25,173,1380,640,310,684,93,1211,0,108,80,0.0259052925,3,2001-07-22 00:26:57,6,12,0
4,385,851,3920,5,15,348,1.2509386733,1670,4,4,0,0,0,0,0,0,0,0,366,345,486,252,41,11,15,2,0,11,1670,4,4,0,0,0,0,0,0,0,0,366,345,486,252,41,11,15,2,0,301,1402,986,159,679,90,830,1,89,107,0.0229591837,4,2001-07-22 00:31:57,5,12,0
5,1371,1196,6410,6,18,597,1.8212725546,2063,11,7,6,8,0,3,0,0,0,0,801,662,563,658,302,100,31,42,8,15,2063,11,7,6,8,0,3,0,0,0,0,801,662,563,658,302,100,31,42,8,384,2443,949,892,1065,126,1232,17,158,59,0.0196567863,2,2001-07-22 00:36:57,5,13,0
6,574,676,3529,5,13,337,1.5109489051,1429,1,3,0,0,0,0,0,0,0,0,412,377,325,221,147,16,9,74,0,11,1429,1,3,0,0,0,0,0,0,0,0,412,377,325,221,147,16,9,74,0,296,1264,751,366,422,148,1000,0,124,34,0.0419382261,4,2001-07-22 00:41:57,5,12,0
7,727,725,3703,4,18,381,1.54632112,1539,5,6,6,1,0,0,0,0,0,0,474,264,553,380,60,16,21,22,10,13,1539,5,6,6,1,0,0,0,0,0,0,474,264,553,380,60,16,21,22,10,273,1680,858,165,324,147,1121,0,98,45,0.0396975425,4,2001-07-22 00:46:57,4,14,0
8,403,753,3251,4,17,225,1.3702822169,1274,0,4,1,0,0,0,0,0,0,0,627,330,361,199,101,17,19,4,4,12,1274,0,4,1,0,0,0,0,0,0,0,627,330,361,199,101,17,19,4,4,184,1536,846,150,292,125,908,0,65,22,0.0384497078,3,2001-07-22 00:51:57,4,11,0
9,975,692,5022,7,19,432,1.4400398903,1780,16,36,14,6,2,2,1,0,0,0,854,506,526,108,56,33,37,19,15,16,1780,16,36,14,6,2,2,1,0,0,0,854,506,526,108,56,33,37,19,15,315,1913,988,363,974,211,1601,0,127,87,0.0420151334,3,2001-07-22 00:56:57,5,13,0
