,announcements,as_path_max,imp_wd_dpath,imp_wd_spath,origin_0_,origin_1_,timestamp,timestamp2
0,2752,14,628,457,1093,4,2001-09-14 00:14:10,1000426450
1,3635,14,1090,715,1311,0,2001-09-14 00:19:10,1000426750
2,3358,13,1031,426,1230,0,2001-09-14 00:24:10,1000427050
3,2096,15,616,405,1034,0,2001-09-14 00:29:10,1000427350
4,41243,16,1795,714,10415,28,2001-09-14 00:34:10,1000427650
5,4932,14,1653,1026,1664,0,2001-09-14 00:39:10,1000427950
6,6357,17,2669,1543,1973,0,2001-09-14 00:44:10,1000428250
7,2693,16,1289,525,1313,0,2001-09-14 00:49:10,1000428550
8,4420,16,1606,776,1501,8,2001-09-14 00:54:10,1000428850
9,3625,16,1416,444,1123,1,2001-09-14 00:59:10,1000429150
10,4737,17,2293,987,1888,0,2001-09-14 01:04:10,1000429450
11,3176,14,1513,675,1331,0,2001-09-14 01:09:10,1000429750
12,1865,14,727,443,938,0,2001-09-14 01:14:10,1000430050
13,2170,14,1121,390,1081,0,2001-09-14 01:19:10,1000430350
14,23702,16,620,367,5543,12,2001-09-14 01:24:10,1000430650
15,62731,19,37585,1677,15447,54,2001-09-14 01:29:10,1000430950
16,14772,17,4669,2144,3430,0,2001-09-14 01:34:10,1000431250
17,6037,14,2288,830,2205,1,2001-09-14 01:39:10,1000431550
18,47005,17,35697,4616,11194,25,2001-09-14 01:44:10,1000431850
19,24746,15,20519,2271,7487,2,2001-09-14 01:49:10,1000432150
20,2432,14,1320,451,1149,0,2001-09-14 01:54:10,1000432450
21,3003,12,1177,530,1284,0,2001-09-14 01:59:10,1000432750
22,3887,12,1526,1073,1422,1,2001-09-14 02:04:10,1000433050
23,3689,15,2058,612,1303,0,2001-09-14 02:09:10,1000433350
24,4475,15,1946,831,1547,0,2001-09-14 02:14:10,1000433650
25,5395,19,1559,1216,2065,0,2001-09-14 02:19:10,1000433950
26,1778,14,547,537,1006,0,2001-09-14 02:24:10,1000434250
27,32012,15,1245,319,7947,18,2001-09-14 02:29:10,1000434550
28,25419,16,1794,719,7141,12,2001-09-14 02:34:10,1000434850
29,17438,17,15910,524,5675,5,2001-09-14 02:39:10,1000435150
30,2304,15,908,451,1114,0,2001-09-14 02:44:10,1000435450
31,3310,15,1565,517,1325,0,2001-09-14 02:49:10,1000435750
32,5429,15,1957,1330,1883,0,2001-09-14 02:54:10,1000436050
33,4536,15,1852,876,1441,0,2001-09-14 02:59:10,1000436350
34,2463,13,906,757,1059,0,2001-09-14 03:04:10,1000436650
35,5386,15,2135,1000,1290,0,2001-09-14 03:09:10,1000436950
36,2960,15,1061,623,1115,0,2001-09-14 03:14:10,1000437250
37,4237,16,1993,871,1573,0,2001-09-14 03:19:10,1000437550
38,2849,13,1014,677,1176,0,2001-09-14 03:24:10,1000437850
39,1449,13,537,367,846,0,2001-09-14 03:29:10,1000438150
40,1922,14,704,420,1071,0,2001-09-14 03:34:10,1000438450
41,2505,14,1051,595,1042,0,2001-09-14 03:39:10,1000438750
42,3078,15,1271,630,1322,0,2001-09-14 03:44:10,1000439050
43,2681,16,1081,556,1256,0,2001-09-14 03:49:10,1000439350
44,2945,18,1451,440,1477,0,2001-09-14 03:54:10,1000439650
45,3317,14,1456,700,1310,0,2001-09-14 03:59:10,1000439950
46,2017,14,653,484,1020,0,2001-09-14 04:04:10,1000440250
47,2918,17,1163,841,1062,0,2001-09-14 04:09:10,1000440550
48,12240,16,3049,659,3640,4,2001-09-14 04:14:10,1000440850
49,25099,15,17355,754,5779,4,2001-09-14 04:19:10,1000441150
50,28008,16,23938,1130,6246,4,2001-09-14 04:24:10,1000441450
51,4600,13,1678,898,1550,0,2001-09-14 04:29:10,1000441750
52,2577,15,1138,578,1207,0,2001-09-14 04:34:10,1000442050
53,2666,15,1161,505,1161,0,2001-09-14 04:39:10,1000442350
54,2931,12,1023,740,1297,0,2001-09-14 04:44:10,1000442650
55,2555,15,959,649,1197,0,2001-09-14 04:49:10,1000442950
56,2109,13,1048,470,1090,0,2001-09-14 04:54:10,1000443250
57,1500,14,606,237,849,0,2001-09-14 04:59:10,1000443550
58,2417,17,936,633,1114,0,2001-09-14 05:04:10,1000443850
59,2731,13,1160,625,1177,0,2001-09-14 05:09:10,1000444150
60,2674,19,1214,602,1269,0,2001-09-14 05:14:10,1000444450
61,11098,14,5612,641,1614,0,2001-09-14 05:19:10,1000444750
62,2131,19,720,550,980,0,2001-09-14 05:24:10,1000445050
63,3756,18,1619,898,1357,0,2001-09-14 05:29:10,1000445350
64,4027,14,1605,1054,1376,0,2001-09-14 05:34:10,1000445650
65,3386,13,1451,812,1332,0,2001-09-14 05:39:10,1000445950
66,4199,15,1895,881,1145,0,2001-09-14 05:44:10,1000446250
67,2299,14,864,470,1043,0,2001-09-14 05:49:10,1000446550
68,2214,11,850,407,1064,0,2001-09-14 05:54:10,1000446850
69,6201,13,1562,1458,1308,0,2001-09-14 05:59:10,1000447150
70,7215,13,2133,3003,1716,0,2001-09-14 06:04:10,1000447450
71,5269,14,2285,1174,1651,0,2001-09-14 06:09:10,1000447750
72,7459,19,3764,1021,2122,0,2001-09-14 06:14:10,1000448050
73,6014,18,2868,783,2162,0,2001-09-14 06:19:10,1000448350
74,5610,15,2208,1226,2003,0,2001-09-14 06:24:10,1000448650
75,6447,17,3029,1157,2384,0,2001-09-14 06:29:10,1000448950
76,3290,15,1398,793,1650,0,2001-09-14 06:34:10,1000449250
77,6253,16,2315,1653,1820,7,2001-09-14 06:39:10,1000449550
78,3000,13,1278,771,1157,16,2001-09-14 06:44:10,1000449850
79,3624,16,1783,758,1364,18,2001-09-14 06:49:10,1000450150
80,3742,16,2039,715,1410,32,2001-09-14 06:54:10,1000450450
81,52973,18,20773,8417,8860,27,2001-09-14 06:59:10,1000450750
82,35879,18,16342,10355,8288,21,2001-09-14 07:04:10,1000451050
83,16996,13,9996,2770,3341,2,2001-09-14 07:09:10,1000451350
84,5214,19,2849,1049,2135,1,2001-09-14 07:14:10,1000451650
85,4827,15,2144,1098,2097,35,2001-09-14 07:19:10,1000451950
86,5759,17,3351,801,1911,0,2001-09-14 07:24:10,1000452250
87,4894,16,2178,1230,2058,0,2001-09-14 07:29:10,1000452550
88,5333,19,2056,1237,2137,0,2001-09-14 07:34:10,1000452850
89,4238,16,1824,954,1691,0,2001-09-14 07:39:10,1000453150
90,6107,16,2766,1477,2338,33,2001-09-14 07:44:10,1000453450
91,7737,14,4076,1644,2183,7,2001-09-14 07:49:10,1000453750
92,7278,14,2861,1711,2463,1,2001-09-14 07:54:10,1000454050
93,7917,17,3600,1957,2838,0,2001-09-14 07:59:10,1000454350
94,3939,16,1766,832,1780,0,2001-09-14 08:04:10,1000454650
95,7135,15,2918,2512,1989,0,2001-09-14 08:09:10,1000454950
96,3702,13,1909,685,1838,0,2001-09-14 08:14:10,1000455250
97,3985,13,2045,989,1778,0,2001-09-14 08:19:10,1000455550
98,4674,14,2766,786,1792,2,2001-09-14 08:24:10,1000455850
99,4215,14,1863,792,1545,0,2001-09-14 08:29:10,1000456150
100,5485,12,2789,894,1616,0,2001-09-14 08:34:10,1000456450
101,6141,15,2778,1157,2967,0,2001-09-14 08:39:10,1000456750
102,4477,27,2131,963,1757,1,2001-09-14 08:44:10,1000457050
103,4929,16,2588,1391,1486,0,2001-09-14 08:49:10,1000457350
104,4380,14,2084,773,1532,0,2001-09-14 08:54:10,1000457650
105,4902,13,2096,1185,1695,0,2001-09-14 08:59:10,1000457950
106,3603,16,1710,853,1696,0,2001-09-14 09:04:10,1000458250
107,4161,14,1724,1142,1765,0,2001-09-14 09:09:10,1000458550
108,4869,16,2421,675,2194,0,2001-09-14 09:14:10,1000458850
109,8902,15,3582,2219,2794,0,2001-09-14 09:19:10,1000459150
110,8304,17,4800,1230,2240,0,2001-09-14 09:24:10,1000459450
111,6040,12,3268,1295,2194,0,2001-09-14 09:29:10,1000459750
112,5354,15,2642,997,1992,0,2001-09-14 09:34:10,1000460050
113,7011,18,2856,796,2272,2,2001-09-14 09:39:10,1000460350
114,12476,18,5942,4462,2890,9,2001-09-14 09:44:10,1000460650
115,15523,17,6074,5394,3235,0,2001-09-14 09:49:10,1000460950
116,9191,15,5461,1306,3602,0,2001-09-14 09:54:10,1000461250
117,5909,16,3107,1276,1791,0,2001-09-14 09:59:10,1000461550
118,3753,14,1808,747,1775,0,2001-09-14 10:04:10,1000461850
119,5944,15,2909,1145,2107,1,2001-09-14 10:09:10,1000462150
120,10497,20,5320,2220,1869,32,2001-09-14 10:14:10,1000462450
121,13664,19,6788,3261,3681,1,2001-09-14 10:19:10,1000462750
122,5795,17,2858,1472,2418,0,2001-09-14 10:24:10,1000463050
123,5572,14,2691,1230,2117,2,2001-09-14 10:29:10,1000463350
124,5538,15,3435,816,1955,14,2001-09-14 10:34:10,1000463650
125,7604,19,4348,995,2744,4,2001-09-14 10:39:10,1000463950
126,7120,20,4543,1250,2761,0,2001-09-14 10:44:10,1000464250
127,4162,15,2199,690,2010,0,2001-09-14 10:49:10,1000464550
128,4245,17,2280,814,2040,0,2001-09-14 10:54:10,1000464850
129,5288,17,2799,1133,2204,4,2001-09-14 10:59:10,1000465150
130,7685,14,3813,1713,2682,2,2001-09-14 11:04:10,1000465450
131,9016,17,4728,2223,2561,6,2001-09-14 11:09:10,1000465750
132,4590,15,1878,1154,1734,0,2001-09-14 11:14:10,1000466050
133,4077,19,1827,1066,1553,0,2001-09-14 11:19:10,1000466350
