;ann_to_longer;ann_to_shorter;announcements;as_path_avg;as_path_max;class;dups;edit_distance_avg;edit_distance_dict_0_;edit_distance_dict_10_;edit_distance_dict_11_;edit_distance_dict_12_;edit_distance_dict_13_;edit_distance_dict_14_;edit_distance_dict_15_;edit_distance_dict_16_;edit_distance_dict_17_;edit_distance_dict_18_;edit_distance_dict_19_;edit_distance_dict_1_;edit_distance_dict_2_;edit_distance_dict_3_;edit_distance_dict_4_;edit_distance_dict_5_;edit_distance_dict_6_;edit_distance_dict_7_;edit_distance_dict_8_;edit_distance_dict_9_;edit_distance_max;edit_distance_unique_dict_0_;edit_distance_unique_dict_10_;edit_distance_unique_dict_11_;edit_distance_unique_dict_12_;edit_distance_unique_dict_13_;edit_distance_unique_dict_14_;edit_distance_unique_dict_15_;edit_distance_unique_dict_16_;edit_distance_unique_dict_17_;edit_distance_unique_dict_18_;edit_distance_unique_dict_19_;edit_distance_unique_dict_1_;edit_distance_unique_dict_2_;edit_distance_unique_dict_3_;edit_distance_unique_dict_4_;edit_distance_unique_dict_5_;edit_distance_unique_dict_6_;edit_distance_unique_dict_7_;edit_distance_unique_dict_8_;edit_distance_unique_dict_9_;flaps;imp_wd_dpath;imp_wd_spath;nadas;news;number_rare_ases;origin_0_;origin_1_;origin_2_;origin_changes;rare_ases_avg;rare_ases_max;timestamp;timestamp2;unique_as_path_avg;unique_as_path_max
15;460;316;2240;5;13;0;97;1.1072961373390557;764;0;0;0;0;0;0;0;0;0;0;505;395;103;57;18;16;2;4;0;8;764;0;0;0;0;0;0;0;0;0;0;505;395;103;57;18;16;2;4;0;92;988;547;140;359;51;1102;19;144;40;0.022767857142857142;2;2001-09-15 01:16:34;1000516594;3;10
16;599;1173;4935;3;15;0;185;1.9947901591895802;1010;20;5;0;0;0;0;0;0;0;0;619;738;387;271;238;105;36;9;17;11;1010;20;5;0;0;0;0;0;0;0;0;619;738;387;271;238;105;36;9;17;135;2136;465;534;1098;232;2123;2;127;55;0.04701114488348531;4;2001-09-15 01:21:34;1000516894;3;11
17;406;405;2407;12;16;0;171;1.3771608171817706;710;5;4;0;0;0;0;0;0;0;0;418;512;117;70;37;8;7;9;12;11;710;5;4;0;0;0;0;0;0;0;0;418;512;117;70;37;8;7;9;12;64;1081;437;156;487;109;1153;0;115;33;0.04528458662235148;3;2001-09-15 01:26:34;1000517194;9;10
18;503;480;3179;2;14;0;324;1.1503340757238307;1171;0;2;0;0;0;0;0;0;0;0;731;406;168;118;54;32;4;4;4;11;1171;0;2;0;0;0;0;0;0;0;0;731;406;168;118;54;32;4;4;4;163;1346;602;259;457;76;1231;0;136;85;0.023906888958792075;3;2001-09-15 01:31:34;1000517494;2;11
19;364;437;2744;3;14;0;97;1.1698317959848075;673;1;1;1;0;0;0;0;0;0;0;597;338;149;44;23;8;4;0;4;12;673;1;1;1;0;0;0;0;0;0;0;597;338;149;44;23;8;4;0;4;91;969;437;249;848;199;1075;0;160;23;0.07252186588921283;2;2001-09-15 01:36:34;1000517794;3;9
20;258;210;1469;3;13;0;69;1.1075949367088607;586;1;0;0;0;0;0;0;0;0;0;334;183;72;23;38;11;5;8;3;10;586;1;0;0;0;0;0;0;0;0;0;334;183;72;23;38;11;5;8;3;138;547;332;178;191;45;813;14;76;34;0.03063308373042886;2;2001-09-15 01:41:34;1000518094;3;10
21;261;276;2072;7;14;0;101;0.8123667377398721;1062;0;1;0;0;0;0;0;0;0;0;441;158;148;31;27;5;1;2;0;11;1062;0;1;0;0;0;0;0;0;0;0;441;158;148;31;27;5;1;2;0;80;638;847;210;183;67;970;0;108;15;0.032335907335907334;3;2001-09-15 01:46:34;1000518394;5;9
22;256;245;1474;8;14;0;139;1.41846921797005;419;4;6;0;0;0;0;0;0;0;0;356;220;106;36;28;10;5;2;10;11;419;4;6;0;0;0;0;0;0;0;0;356;220;106;36;28;10;5;2;10;80;652;173;158;251;51;783;0;150;46;0.03459972862957938;3;2001-09-15 01:51:34;1000518694;5;11
23;316;435;2487;5;12;0;194;1.046602787456446;1062;1;0;0;0;0;0;0;0;0;0;589;316;229;39;37;19;3;0;1;10;1062;1;0;0;0;0;0;0;0;0;0;589;316;229;39;37;19;3;0;1;133;963;656;350;172;30;963;1;209;136;0.012062726176115802;4;2001-09-15 01:56:34;1000518994;5;10
24;245;321;2310;4;11;0;134;0.8707342295760083;926;1;0;0;0;0;0;0;0;0;0;607;262;72;23;32;5;4;1;1;10;926;1;0;0;0;0;0;0;0;0;0;607;262;72;23;32;5;4;1;1;91;854;661;194;326;120;1042;0;71;148;0.05194805194805195;3;2001-09-15 02:01:34;1000519294;4;9
