;ann_to_longer;ann_to_shorter;announcements;as_path_avg;as_path_max;class;dups;edit_distance_avg;edit_distance_dict_0_;edit_distance_dict_10_;edit_distance_dict_11_;edit_distance_dict_12_;edit_distance_dict_13_;edit_distance_dict_14_;edit_distance_dict_15_;edit_distance_dict_16_;edit_distance_dict_17_;edit_distance_dict_18_;edit_distance_dict_19_;edit_distance_dict_1_;edit_distance_dict_20_;edit_distance_dict_21_;edit_distance_dict_22_;edit_distance_dict_23_;edit_distance_dict_24_;edit_distance_dict_25_;edit_distance_dict_26_;edit_distance_dict_27_;edit_distance_dict_29_;edit_distance_dict_2_;edit_distance_dict_3_;edit_distance_dict_4_;edit_distance_dict_5_;edit_distance_dict_6_;edit_distance_dict_7_;edit_distance_dict_8_;edit_distance_dict_9_;edit_distance_max;edit_distance_unique_dict_0_;edit_distance_unique_dict_10_;edit_distance_unique_dict_11_;edit_distance_unique_dict_12_;edit_distance_unique_dict_13_;edit_distance_unique_dict_14_;edit_distance_unique_dict_15_;edit_distance_unique_dict_16_;edit_distance_unique_dict_17_;edit_distance_unique_dict_18_;edit_distance_unique_dict_19_;edit_distance_unique_dict_1_;edit_distance_unique_dict_20_;edit_distance_unique_dict_21_;edit_distance_unique_dict_22_;edit_distance_unique_dict_23_;edit_distance_unique_dict_24_;edit_distance_unique_dict_25_;edit_distance_unique_dict_26_;edit_distance_unique_dict_27_;edit_distance_unique_dict_29_;edit_distance_unique_dict_2_;edit_distance_unique_dict_3_;edit_distance_unique_dict_4_;edit_distance_unique_dict_5_;edit_distance_unique_dict_6_;edit_distance_unique_dict_7_;edit_distance_unique_dict_8_;edit_distance_unique_dict_9_;flaps;imp_wd_dpath;imp_wd_spath;nadas;news;number_rare_ases;origin_0_;origin_1_;origin_2_;origin_changes;rare_ases_avg;rare_ases_max;timestamp;timestamp2;unique_as_path_avg;unique_as_path_max
11;739;720;5114;6;16;0;404;1.3444221393748208;1537;30;9;26;6;2;0;0;0;0;0;769;0;0;0;0;0;0;0;0;0;615;240;151;82;11;1;7;1;14;1537;30;9;26;6;2;0;0;0;0;0;769;0;0;0;0;0;0;0;0;0;615;240;151;82;11;1;7;1;153;1761;895;274;1546;31;1628;0;278;136;0.006061791161517403;2;2001-09-26 00:59:07;1001465947;4;10
12;872;703;4244;5;16;0;267;1.7105950653120465;1331;17;9;27;7;0;0;0;0;0;0;662;0;0;0;0;0;0;0;0;0;549;405;173;78;159;26;2;0;13;1331;17;9;27;7;0;0;0;0;0;0;662;0;0;0;0;0;0;0;0;0;549;405;173;78;159;26;2;0;130;1895;819;334;672;22;1415;0;202;148;0.0051837888784165885;3;2001-09-26 01:04:07;1001466247;5;13
13;524;848;3757;5;16;0;265;1.4850626405396723;1254;1;5;6;2;0;0;0;0;0;0;541;0;0;0;0;0;0;0;0;0;514;490;173;65;43;9;7;3;13;1254;1;5;6;2;0;0;0;0;0;0;541;0;0;0;0;0;0;0;0;0;514;490;173;65;43;9;7;3;157;1499;764;428;548;22;1494;0;195;122;0.005855735959542188;3;2001-09-26 01:09:07;1001466547;5;10
14;685;1106;4086;3;14;0;203;1.5889710062535531;1128;10;2;0;0;0;0;0;0;0;0;899;0;0;0;0;0;0;0;0;0;676;327;261;145;35;24;10;1;11;1128;10;2;0;0;0;0;0;0;0;0;899;0;0;0;0;0;0;0;0;0;676;327;261;145;35;24;10;1;201;1640;571;903;441;9;1094;1;300;85;0.0022026431718061676;2;2001-09-26 01:14:07;1001466847;3;10
15;446;436;2158;3;19;0;186;1.52803738317757;690;3;1;0;2;0;0;0;0;0;0;467;0;0;0;0;0;0;0;0;0;257;287;130;52;18;9;7;3;13;690;3;1;0;2;0;0;0;0;0;0;467;0;0;0;0;0;0;0;0;0;257;287;130;52;18;9;7;3;110;1027;347;256;183;5;999;1;208;89;0.0023169601482854493;1;2001-09-26 01:19:07;1001467147;3;9
16;706;537;3639;5;17;0;215;1.646846846846847;1035;8;0;0;0;0;0;0;0;0;0;560;0;0;0;0;0;0;0;0;0;445;273;219;138;60;11;16;10;10;1035;8;0;0;0;0;0;0;0;0;0;560;0;0;0;0;0;0;0;0;0;445;273;219;138;60;11;16;10;113;1515;657;275;851;23;1374;4;185;101;0.006320417697169552;3;2001-09-26 01:24:07;1001467447;5;13
17;497;683;2953;5;17;0;269;1.5370873786407766;936;7;0;7;3;2;0;0;0;0;0;707;0;0;0;0;0;0;0;0;0;276;272;257;64;14;15;10;5;14;936;7;0;7;3;2;0;0;0;0;0;707;0;0;0;0;0;0;0;0;0;276;272;257;64;14;15;10;5;131;1328;463;384;344;22;1102;2;181;69;0.007450050795800881;3;2001-09-26 01:29:07;1001467747;5;12
18;923;1230;4561;4;14;0;303;1.7649536647009267;993;6;0;0;0;0;0;0;0;0;0;636;0;0;0;0;0;0;0;0;0;954;615;145;63;116;21;10;2;10;993;6;0;0;0;0;0;0;0;0;0;636;0;0;0;0;0;0;0;0;0;954;615;145;63;116;21;10;2;138;2326;492;302;980;105;1471;0;156;123;0.02302126726595045;2;2001-09-26 01:34:07;1001468047;4;10
19;768;769;4404;4;17;0;264;1.6907373552711762;1006;13;0;0;1;0;0;0;0;0;0;669;0;0;0;0;0;0;0;0;0;687;521;252;69;27;16;16;5;13;1006;13;0;0;1;0;0;0;0;0;0;669;0;0;0;0;0;0;0;0;0;687;521;252;69;27;16;16;5;96;2031;574;317;1059;119;1864;0;209;77;0.027020890099909173;3;2001-09-26 01:39:07;1001468347;4;13
20;676;680;3456;9;19;0;289;1.5053492762743863;1283;5;6;28;2;0;0;0;0;0;0;699;0;0;0;0;0;0;0;0;0;432;413;161;82;43;5;14;5;13;1283;5;6;28;2;0;0;0;0;0;0;699;0;0;0;0;0;0;0;0;0;432;413;161;82;43;5;14;5;193;1517;720;459;236;14;1278;0;309;181;0.004050925925925926;2;2001-09-26 01:44:07;1001468647;6;11
