,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,dups,edit_distance_avg,edit_distance_dict_0_,edit_distance_dict_10_,edit_distance_dict_1_,edit_distance_dict_2_,edit_distance_dict_3_,edit_distance_dict_4_,edit_distance_dict_5_,edit_distance_dict_6_,edit_distance_dict_7_,edit_distance_dict_8_,edit_distance_dict_9_,edit_distance_max,edit_distance_unique_dict_0_,edit_distance_unique_dict_10_,edit_distance_unique_dict_1_,edit_distance_unique_dict_2_,edit_distance_unique_dict_3_,edit_distance_unique_dict_4_,edit_distance_unique_dict_5_,edit_distance_unique_dict_6_,edit_distance_unique_dict_7_,edit_distance_unique_dict_8_,edit_distance_unique_dict_9_,flaps,imp_wd_dpath,imp_wd_spath,nadas,news,number_rare_ases,origin_0_,origin_1_,origin_2_,origin_changes,rare_ases_avg,rare_ases_max,timestamp,unique_as_path_avg,unique_as_path_max,class
0,235,393,2991,5,16,171,1.2121982211,650,4,435,236,146,52,27,10,6,2,2,11,650,4,435,236,146,52,27,10,6,2,2,22,848,423,110,1278,100,1181,0,145,29,0.050200803200000005,4,2001-07-21 00:09:51,5,12,0.0
1,371,263,2090,4,15,118,1.2232876712,569,0,412,251,153,34,14,5,10,7,2,11,569,0,412,251,153,34,14,5,10,7,2,85,799,349,109,574,232,1007,0,199,43,0.11100478470000001,6,2001-07-21 00:14:51,4,9,0.0
2,240,274,1939,10,15,129,1.2494448557,564,1,317,248,129,45,16,17,7,2,2,11,564,1,317,248,129,45,16,17,7,2,2,97,680,316,129,516,197,1033,0,141,68,0.10159876220000001,6,2001-07-21 00:19:51,7,11,0.0
3,212,297,1673,11,16,97,1.8294314381,435,4,263,212,103,38,33,27,19,38,16,13,435,4,263,212,103,38,33,27,19,38,16,70,667,243,119,441,157,940,0,99,31,0.0938433951,5,2001-07-21 00:24:51,5,11,0.0
4,248,325,1709,5,13,86,1.2581648523,514,0,307,260,109,63,17,1,8,4,0,11,514,0,307,260,109,63,17,1,8,4,0,127,636,251,186,366,146,734,0,165,19,0.08543007609999999,4,2001-07-21 00:29:51,5,9,0.0
5,267,253,1481,1,15,114,1.2675367047,496,3,314,212,133,24,15,11,5,8,2,11,496,3,314,212,133,24,15,11,5,8,2,118,646,247,101,226,96,810,0,87,54,0.0648210668,3,2001-07-21 00:34:51,1,12,0.0
6,350,372,1838,6,16,99,1.3936446174000001,567,2,373,352,117,38,55,17,11,3,3,11,567,2,373,352,117,38,55,17,11,3,3,150,875,265,153,272,119,903,0,100,46,0.06474428730000001,2,2001-07-21 00:39:51,6,10,0.0
7,934,3104,13794,7,16,115,1.6313793648,745,1,3186,1342,533,129,136,206,18,18,11,12,745,1,3186,1342,533,129,136,206,18,18,11,100,4877,513,724,6725,589,3777,20,358,501,0.04269044,3,2001-07-21 00:44:51,7,14,0.0
8,926,860,8927,3,15,630,1.1570554123999999,2070,2,2687,595,523,154,107,10,24,14,8,11,2070,2,2687,595,523,154,107,10,24,14,8,195,3951,1200,232,2491,81,2691,2,207,76,0.009073597,3,2001-07-21 00:49:51,3,13,0.0
9,1655,1649,10152,3,18,460,1.6059105911000002,2224,11,1391,1500,688,434,199,170,24,17,2,12,2224,11,1391,1500,688,434,199,170,24,17,2,364,3491,1082,1269,2524,33,2308,0,429,113,0.0032505909999999997,3,2001-07-21 00:54:51,3,12,0.0
10,607,1829,7006,4,18,292,1.5789907652000001,2024,9,1600,1005,664,386,124,187,27,6,10,14,2024,9,1600,1005,664,386,124,187,27,6,10,656,3247,962,907,277,10,1885,0,177,98,0.001427348,2,2001-07-21 00:59:51,4,12,0.0
11,694,427,2682,2,16,119,1.735251097,622,0,381,318,562,78,47,19,11,7,2,11,622,0,381,318,562,78,47,19,11,7,2,98,1259,373,202,618,31,1114,0,133,94,0.0115585384,3,2001-07-21 01:04:51,2,13,0.0
12,451,608,2433,6,14,140,1.8257016248,670,0,402,294,323,93,164,58,17,6,1,11,670,0,402,294,323,93,164,58,17,6,1,166,1139,341,245,368,29,1331,0,140,60,0.011919441000000001,2,2001-07-21 01:09:51,6,11,0.0
13,453,580,2632,12,22,165,1.6671504596000002,705,1,393,488,237,101,58,15,35,7,14,13,705,1,393,488,237,101,58,15,35,7,14,95,1185,414,208,552,13,1244,19,216,78,0.0049392097,1,2001-07-21 01:14:51,6,10,0.0
14,517,293,22432,4,22,198,1.3617128463,763,1,426,474,169,88,25,3,15,5,4,12,763,1,426,474,169,88,25,3,15,5,4,206,1039,315,227,20418,997,7039,10,705,94,0.04442959,4,2001-07-21 01:19:51,4,12,0.0
15,4402,54588,134820,9,18,13298,2.0637221759999997,15753,25,3518,31926,17533,4576,2442,489,434,110,55,15,15753,25,3518,31926,17533,4576,2442,489,434,110,55,183,60107,2204,1120,57466,209,35964,26,3419,674,0.0015498587,2,2001-07-21 01:24:51,7,12,0.0
16,521,2394,5309,5,16,266,2.6027027027000003,877,83,1058,691,709,483,536,264,25,25,49,11,877,83,1058,691,709,483,536,264,25,25,49,131,2322,439,1652,373,8,1522,0,351,124,0.0015068751,1,2001-07-21 01:29:51,5,12,0.0
17,682,377,2409,6,16,141,1.4489981785,618,4,818,330,284,62,23,16,10,6,21,13,618,4,818,330,284,62,23,16,10,6,21,122,1458,322,153,187,10,1152,0,219,82,0.0041511000000000004,2,2001-07-21 01:34:51,6,11,0.0
18,1200,1342,5367,6,16,362,1.8942128188999998,1312,10,790,1031,906,621,96,12,8,9,2,15,1312,10,790,1031,906,621,96,12,8,9,2,212,3354,718,175,484,32,1511,0,254,131,0.0059623626,2,2001-07-21 01:39:51,6,12,0.0
19,410,612,2873,7,15,221,1.1486068111,804,0,859,276,176,112,21,2,7,0,0,11,804,0,859,276,176,112,21,2,7,0,0,155,1118,348,419,564,18,909,0,120,57,0.006265228,1,2001-07-21 01:44:51,6,9,0.0
20,675,431,2795,4,13,147,1.3968839687999999,911,7,602,363,404,75,18,27,21,7,1,11,911,7,602,363,404,75,18,27,21,7,1,156,1369,533,234,314,25,1177,0,58,19,0.0089445438,2,2001-07-21 01:49:51,4,10,0.0
21,392,356,1869,3,17,139,1.4248826290999999,698,0,374,307,149,62,32,30,24,21,4,11,698,0,374,307,149,62,32,30,24,21,4,136,817,387,225,144,11,1053,0,166,48,0.005885500300000001,1,2001-07-21 01:54:51,3,13,0.0
22,796,629,4418,6,17,144,1.625797783,980,6,576,563,566,195,34,17,15,10,11,11,980,6,576,563,566,195,34,17,15,10,11,260,1756,501,316,1398,29,1481,6,202,95,0.0065640561,2,2001-07-21 01:59:51,6,12,0.0
23,593,1271,4453,5,16,219,1.55754858,1150,21,1113,1001,391,191,63,6,18,33,24,11,1150,21,1113,1001,391,191,63,6,18,33,24,156,2634,747,258,400,6,1533,0,157,85,0.0013474061999999998,1,2001-07-21 02:04:51,3,11,0.0
24,462,1149,3205,3,15,107,1.7575201761,602,1,657,788,325,274,46,15,6,3,4,11,602,1,657,788,325,274,46,15,6,3,4,120,1739,346,414,461,16,1006,0,117,27,0.0049921997,2,2001-07-21 02:09:51,3,10,0.0
25,380,432,2409,5,15,294,1.1882572227,1028,1,434,345,163,50,81,14,16,6,5,11,1028,1,434,345,163,50,81,14,16,6,5,210,970,489,183,240,0,934,0,160,148,0.0,0,2001-07-21 02:14:51,4,11,0.0
26,414,404,1774,4,14,95,1.5825716027,540,0,391,314,192,106,56,17,14,7,1,11,540,0,391,314,192,106,56,17,14,7,1,121,879,313,233,124,8,942,0,89,24,0.0045045045,1,2001-07-21 02:19:51,4,10,0.0
27,566,318,2686,3,15,306,1.2478873239,892,4,532,378,182,56,34,18,13,8,8,11,892,4,532,378,182,56,34,18,13,8,8,124,996,418,286,533,14,1154,0,184,95,0.0052122115,2,2001-07-21 02:24:51,3,12,0.0
28,654,748,3316,12,16,210,1.3522359041,1153,0,723,649,292,149,84,11,17,3,2,11,1153,0,723,649,292,149,84,11,17,3,2,281,1658,586,351,211,8,1399,0,145,183,0.0024125452,1,2001-07-21 02:29:51,6,10,0.0
29,601,459,3871,5,15,157,1.5373383396,743,0,638,472,280,149,65,30,9,6,2,11,743,0,638,472,280,149,65,30,9,6,2,126,1463,427,224,1411,207,1466,0,183,119,0.053474554400000006,3,2001-07-21 02:34:51,4,10,0.0
30,800,1529,3964,6,14,170,1.7145845786000002,697,9,1319,487,451,165,96,61,33,14,1,11,697,9,1319,487,451,165,96,61,33,14,1,112,2484,402,178,613,161,1425,0,364,566,0.040615539900000004,2,2001-07-21 02:39:51,6,10,0.0
