,announcements,as_path_max,imp_wd_dpath,imp_wd_spath,origin_0_,origin_1_,timestamp,timestamp2
0,5240,12,1288,397,1712,1,2001-09-24 00:00:41,1001289641
1,1962,11,569,314,919,0,2001-09-24 00:05:41,1001289941
2,1767,13,509,408,940,0,2001-09-24 00:10:41,1001290241
3,2781,14,678,315,1155,0,2001-09-24 00:15:41,1001290541
4,4024,14,1512,705,1387,1,2001-09-24 00:20:41,1001290841
5,3281,20,1573,661,1559,0,2001-09-24 00:25:41,1001291141
6,2734,12,1480,411,1381,0,2001-09-24 00:30:41,1001291441
7,3718,16,1679,642,1081,0,2001-09-24 00:35:41,1001291741
8,3308,12,1669,450,1427,0,2001-09-24 00:40:41,1001292041
9,2100,11,874,414,934,0,2001-09-24 00:45:41,1001292341
10,1922,12,855,310,1191,0,2001-09-24 00:50:41,1001292641
11,1825,11,549,313,672,0,2001-09-24 00:55:41,1001292941
12,3175,12,1055,722,1084,1,2001-09-24 01:00:41,1001293241
13,2240,13,991,384,962,20,2001-09-24 01:05:41,1001293541
14,3170,12,1244,636,951,0,2001-09-24 01:10:41,1001293841
15,5879,18,2524,735,1414,0,2001-09-24 01:15:41,1001294141
16,3179,15,1387,520,1282,0,2001-09-24 01:20:41,1001294441
17,1964,12,991,219,723,0,2001-09-24 01:25:41,1001294741
18,2324,15,730,421,910,0,2001-09-24 01:30:41,1001295041
19,1986,14,648,623,760,0,2001-09-24 01:35:41,1001295341
20,1814,11,621,416,863,0,2001-09-24 01:40:41,1001295641
21,1922,13,867,347,1121,0,2001-09-24 01:45:41,1001295941
22,2836,14,844,599,940,0,2001-09-24 01:50:41,1001296241
23,2729,15,1435,376,901,0,2001-09-24 01:55:41,1001296541
24,1914,12,754,405,1062,1,2001-09-24 02:00:41,1001296841
25,1437,12,538,299,834,0,2001-09-24 02:05:41,1001297141
26,2998,13,1199,453,1050,0,2001-09-24 02:10:41,1001297441
27,5600,15,2577,707,1547,0,2001-09-24 02:15:41,1001297741
28,6009,14,2175,1086,1263,0,2001-09-24 02:20:41,1001298041
29,3639,11,1313,754,974,0,2001-09-24 02:25:41,1001298341
30,2199,14,798,400,992,0,2001-09-24 02:30:41,1001298641
31,4612,15,2021,681,1102,0,2001-09-24 02:35:41,1001298941
32,3505,17,1240,683,983,0,2001-09-24 02:40:41,1001299241
33,1878,13,811,421,1003,0,2001-09-24 02:45:41,1001299541
34,2157,11,1140,383,1160,0,2001-09-24 02:50:41,1001299841
35,3100,13,1536,482,1174,0,2001-09-24 02:55:41,1001300141
36,3765,10,1482,888,974,1,2001-09-24 03:00:41,1001300441
37,1958,13,867,444,865,0,2001-09-24 03:05:41,1001300741
38,2860,11,993,742,992,0,2001-09-24 03:10:41,1001301041
39,2946,11,1044,605,1220,4,2001-09-24 03:15:41,1001301341
40,5592,14,2381,1126,1805,0,2001-09-24 03:20:41,1001301641
41,3855,16,2348,680,1516,0,2001-09-24 03:25:41,1001301941
42,1699,17,658,340,986,0,2001-09-24 03:30:41,1001302241
43,2079,16,880,420,1016,0,2001-09-24 03:35:41,1001302541
44,2483,13,1170,480,1178,0,2001-09-24 03:40:41,1001302841
45,2077,15,923,403,968,3,2001-09-24 03:45:41,1001303141
46,1712,18,654,313,964,10,2001-09-24 03:50:41,1001303441
47,8847,14,2486,2241,2359,0,2001-09-24 03:55:41,1001303741
48,2692,14,1167,521,1245,0,2001-09-24 04:00:41,1001304041
49,1879,14,704,305,847,2,2001-09-24 04:05:41,1001304341
50,3526,16,1749,674,1479,0,2001-09-24 04:10:41,1001304641
51,2665,17,1147,490,1454,0,2001-09-24 04:15:41,1001304941
52,3336,15,1724,493,1433,0,2001-09-24 04:20:41,1001305241
53,3166,16,1173,555,1324,0,2001-09-24 04:25:41,1001305541
54,3437,15,1335,825,1297,0,2001-09-24 04:30:41,1001305841
55,2842,14,1127,605,1159,0,2001-09-24 04:35:41,1001306141
56,3236,12,1379,802,1334,0,2001-09-24 04:40:41,1001306441
57,2371,14,980,515,1067,0,2001-09-24 04:45:41,1001306741
58,2958,13,1355,540,1379,0,2001-09-24 04:50:41,1001307041
59,3192,15,1522,667,1530,0,2001-09-24 04:55:41,1001307341
60,4335,14,1960,1168,1279,3,2001-09-24 05:00:41,1001307641
61,5251,19,1669,946,2042,0,2001-09-24 05:05:41,1001307941
62,5411,17,2095,1129,1542,0,2001-09-24 05:10:41,1001308241
63,2714,18,1270,497,1166,0,2001-09-24 05:15:41,1001308541
64,2904,15,1603,550,1295,0,2001-09-24 05:20:41,1001308841
65,2240,16,970,389,1155,0,2001-09-24 05:25:41,1001309141
66,2394,13,1275,452,1000,0,2001-09-24 05:30:41,1001309441
67,3067,14,1470,619,1251,0,2001-09-24 05:35:41,1001309741
68,3044,16,1399,674,1434,3,2001-09-24 05:40:41,1001310041
69,4167,16,2024,698,1436,1,2001-09-24 05:45:41,1001310341
70,2798,14,1283,575,1497,0,2001-09-24 05:50:41,1001310641
71,3009,16,1498,562,1338,0,2001-09-24 05:55:41,1001310941
72,2772,15,1231,528,1202,0,2001-09-24 06:00:41,1001311241
73,6150,17,2584,985,1661,0,2001-09-24 06:05:41,1001311541
74,4701,14,2106,682,1633,0,2001-09-24 06:10:41,1001311841
75,2410,20,869,522,1132,0,2001-09-24 06:15:41,1001312141
