,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,dups,edit_distance_avg,edit_distance_dict_0_,edit_distance_dict_10_,edit_distance_dict_11_,edit_distance_dict_12_,edit_distance_dict_13_,edit_distance_dict_14_,edit_distance_dict_15_,edit_distance_dict_16_,edit_distance_dict_17_,edit_distance_dict_18_,edit_distance_dict_19_,edit_distance_dict_1_,edit_distance_dict_20_,edit_distance_dict_21_,edit_distance_dict_22_,edit_distance_dict_23_,edit_distance_dict_24_,edit_distance_dict_2_,edit_distance_dict_3_,edit_distance_dict_4_,edit_distance_dict_5_,edit_distance_dict_6_,edit_distance_dict_7_,edit_distance_dict_8_,edit_distance_dict_9_,edit_distance_max,edit_distance_unique_dict_0_,edit_distance_unique_dict_10_,edit_distance_unique_dict_11_,edit_distance_unique_dict_12_,edit_distance_unique_dict_13_,edit_distance_unique_dict_14_,edit_distance_unique_dict_15_,edit_distance_unique_dict_16_,edit_distance_unique_dict_17_,edit_distance_unique_dict_18_,edit_distance_unique_dict_19_,edit_distance_unique_dict_1_,edit_distance_unique_dict_20_,edit_distance_unique_dict_21_,edit_distance_unique_dict_22_,edit_distance_unique_dict_23_,edit_distance_unique_dict_24_,edit_distance_unique_dict_2_,edit_distance_unique_dict_3_,edit_distance_unique_dict_4_,edit_distance_unique_dict_5_,edit_distance_unique_dict_6_,edit_distance_unique_dict_7_,edit_distance_unique_dict_8_,edit_distance_unique_dict_9_,flaps,imp_wd_dpath,imp_wd_spath,nadas,news,number_rare_ases,origin_0_,origin_1_,origin_2_,origin_changes,rare_ases_avg,rare_ases_max,timestamp,unique_as_path_avg,unique_as_path_max,class
53,181,155,637,5,24,21,2.3656716418,89,0,5,8,0,5,0,0,0,0,0,155,0,0,0,0,0,100,84,52,16,12,2,6,2,14,89,0,5,8,0,5,0,0,0,0,0,155,0,0,0,0,0,100,84,52,16,12,2,6,2,50,357,17,91,86,4,275,0,40,18,0.0062794349,1,2001-07-14 04:34:11,4,11,0
54,146,384,903,3,12,32,1.8632138114,133,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,234,73,102,8,2,8,1,0,8,133,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,234,73,102,8,2,8,1,0,70,483,15,153,124,5,281,0,64,16,0.0055370986,2,2001-07-14 04:39:11,3,9,0
55,595,516,1375,7,13,15,1.5737463127,143,2,0,0,0,0,0,0,0,0,0,645,0,0,0,0,0,356,151,21,18,12,6,2,0,10,143,2,0,0,0,0,0,0,0,0,0,645,0,0,0,0,0,356,151,21,18,12,6,2,0,99,1080,26,136,19,1,268,0,110,9,0.0007272727,1,2001-07-14 04:44:11,7,10,0
56,398,635,2008,6,24,18,1.8849682428,316,0,0,4,5,0,0,0,2,0,2,322,0,0,0,0,0,408,215,73,46,3,8,10,3,19,316,0,0,4,5,0,0,0,2,0,2,322,0,0,0,0,0,408,215,73,46,3,8,10,3,256,985,27,131,589,122,639,3,64,8,0.0607569721,2,2001-07-14 04:49:11,6,10,0
57,250,118,718,5,26,23,2.2431506849,73,0,0,6,0,0,0,0,0,0,0,163,0,2,2,0,0,174,75,56,15,11,6,0,1,22,73,0,0,6,0,0,0,0,0,0,0,163,0,2,2,0,0,174,75,56,15,11,6,0,1,28,442,17,74,108,7,327,0,32,12,0.0097493036,1,2001-07-14 04:54:11,5,10,0
58,361,355,1388,2,22,64,2.0751633987,286,0,0,8,12,4,1,0,2,0,0,332,0,0,0,0,0,217,162,142,11,34,4,5,4,17,286,0,0,8,12,4,1,0,2,0,0,332,0,0,0,0,0,217,162,142,11,34,4,5,4,101,833,87,139,148,6,409,0,73,27,0.0043227666,1,2001-07-14 04:59:11,2,10,0
59,630,753,1715,5,24,65,2.2417582418,215,0,3,8,17,0,0,0,1,0,0,436,0,3,2,0,0,463,258,164,22,34,7,2,3,22,215,0,3,8,17,0,0,0,1,0,0,436,0,3,2,0,0,463,258,164,22,34,7,2,3,101,1079,33,360,68,5,326,0,83,26,0.0029154519,2,2001-07-14 05:04:11,5,11,0
60,239,235,704,11,22,12,2.3004484305,131,0,0,2,0,0,0,0,1,0,0,106,1,0,0,0,0,154,94,148,12,15,2,1,2,20,131,0,0,2,0,0,0,0,1,0,0,106,1,0,0,0,0,154,94,148,12,15,2,1,2,98,415,13,131,15,5,275,0,57,6,0.0071022727,2,2001-07-14 05:09:11,5,10,0
61,301,266,834,6,24,40,2.5895249695,144,0,0,12,0,0,0,0,0,0,0,83,0,0,8,0,0,319,46,148,36,4,17,4,0,22,144,0,0,12,0,0,0,0,0,0,0,83,0,0,8,0,0,319,46,148,36,4,17,4,0,92,581,6,102,13,3,346,0,52,10,0.0035971223,2,2001-07-14 05:14:11,6,10,0
62,123,113,500,3,19,53,1.9026128266,130,2,0,0,0,0,0,0,1,0,0,84,0,0,0,0,0,85,50,34,5,12,17,1,0,17,130,2,0,0,0,0,0,0,1,0,0,84,0,0,0,0,0,85,50,34,5,12,17,1,0,60,235,15,58,69,14,276,0,41,7,0.028,2,2001-07-14 05:19:11,3,9,0
63,1010,629,1989,7,21,60,1.9666666667,122,3,3,1,2,0,0,0,0,0,1,626,0,0,0,0,0,538,447,48,12,15,7,0,5,19,122,3,3,1,2,0,0,0,0,0,1,626,0,0,0,0,0,538,447,48,12,15,7,0,5,37,1489,16,228,122,6,315,0,98,10,0.0030165913,2,2001-07-14 05:24:11,7,9,0
64,461,121,881,5,15,22,2.15,77,0,2,0,1,0,0,0,1,0,0,202,0,0,0,0,0,135,288,38,9,3,2,1,1,17,77,0,2,0,1,0,0,0,1,0,0,202,0,0,0,0,0,135,288,38,9,3,2,1,1,30,452,19,237,74,16,240,0,84,13,0.0181611805,2,2001-07-14 05:29:11,5,10,0
65,111,206,562,5,21,53,2.1078998073,105,1,0,5,3,1,1,0,2,0,0,149,0,0,0,0,0,87,82,69,8,5,1,0,0,17,105,1,0,5,3,1,1,0,2,0,0,149,0,0,0,0,0,87,82,69,8,5,1,0,0,33,250,11,172,40,6,185,0,49,7,0.0106761566,2,2001-07-14 05:34:11,4,9,0
66,247,286,1251,5,26,40,2.5744431419,145,0,0,0,0,0,0,0,0,0,0,220,3,0,0,3,3,164,78,131,15,24,66,1,0,24,145,0,0,0,0,0,0,0,0,0,0,220,3,0,0,3,3,164,78,131,15,24,66,1,0,59,640,41,73,382,30,333,0,49,15,0.0239616613,3,2001-07-14 05:39:11,5,10,0
67,97,112,611,4,26,63,1.722614841,144,0,0,0,0,0,0,0,0,0,0,231,1,1,0,0,1,32,75,43,20,12,2,4,0,24,144,0,0,0,0,0,0,0,0,0,0,231,1,1,0,0,1,32,75,43,20,12,2,4,0,43,372,35,53,25,6,257,0,54,11,0.0098199673,1,2001-07-14 05:44:11,4,10,0
68,127,427,1056,11,26,87,2.0589390963,335,0,0,1,1,0,0,0,0,0,1,154,12,0,8,0,3,288,64,132,9,5,2,2,1,24,335,0,0,1,1,0,0,0,0,0,1,154,12,0,8,0,3,288,64,132,9,5,2,2,1,184,632,52,63,34,5,277,0,88,44,0.0047348485,2,2001-07-14 05:49:11,5,10,0
69,807,472,1586,4,11,27,1.5781653747,161,0,0,0,0,0,0,0,0,0,0,765,0,0,0,0,0,409,59,115,19,15,2,3,0,8,161,0,0,0,0,0,0,0,0,0,0,765,0,0,0,0,0,409,59,115,19,15,2,3,0,97,1234,28,162,31,7,247,0,119,19,0.0044136192,2,2001-07-14 05:54:11,4,9,0
70,641,347,1697,8,25,58,1.6862003781,364,0,0,1,6,0,0,0,1,0,0,575,3,3,0,5,0,331,175,81,25,9,1,4,3,23,364,0,0,1,6,0,0,0,1,0,0,575,3,3,0,5,0,331,175,81,25,9,1,4,3,268,992,32,237,101,22,360,0,161,30,0.0129640542,3,2001-07-14 05:59:11,7,9,0
71,2178,1556,4790,7,26,122,1.9118747078,307,0,0,12,0,0,0,0,0,0,3,1681,3,1,0,0,0,1134,777,246,80,20,2,9,3,21,307,0,0,12,0,0,0,0,0,0,3,1681,3,1,0,0,0,1134,777,246,80,20,2,9,3,96,3558,73,429,399,45,678,0,273,32,0.009394572,2,2001-07-14 06:04:11,6,9,0
72,845,623,2724,5,26,45,1.5729622266,879,0,1,2,0,0,0,0,0,0,2,457,2,2,0,0,2,589,308,185,72,8,4,0,2,24,879,0,1,2,0,0,0,0,0,0,2,457,2,2,0,0,2,589,308,185,72,8,4,0,2,596,1258,202,414,177,18,503,0,169,20,0.0066079295,2,2001-07-14 06:09:11,5,10,0
73,642,264,1840,5,16,34,1.4436046512,616,0,0,4,0,1,0,0,0,0,0,250,0,0,0,0,0,574,141,99,14,14,6,1,0,14,616,0,0,4,0,1,0,0,0,0,0,250,0,0,0,0,0,574,141,99,14,14,6,1,0,546,1053,32,55,106,23,374,0,93,6,0.0125,3,2001-07-14 06:14:11,5,9,0
74,459,426,1610,4,26,44,2.3687621517,369,0,12,12,8,2,0,0,1,0,1,273,4,2,0,1,2,266,359,131,38,30,23,0,9,24,369,0,12,12,8,2,0,0,1,0,1,273,4,2,0,1,2,266,359,131,38,30,23,0,9,290,955,27,227,60,4,431,0,106,43,0.002484472,2,2001-07-14 06:19:11,4,9,0
75,96,108,626,5,12,24,1.5763888889,336,20,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,61,49,22,16,4,2,1,20,10,336,20,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,61,49,22,16,4,2,1,20,293,208,11,40,47,3,210,0,70,4,0.0047923323,1,2001-07-14 06:24:11,5,9,0
76,97,102,663,4,13,13,0.9918566775,357,0,0,2,0,0,0,0,0,0,2,110,0,0,0,0,0,63,37,24,13,3,3,0,0,19,357,0,0,2,0,0,0,0,0,0,2,110,0,0,0,0,0,63,37,24,13,3,3,0,0,313,223,20,45,47,10,249,0,57,4,0.0150829563,2,2001-07-14 06:29:11,4,10,0
77,198,221,961,3,26,46,1.7620730271,371,0,1,10,6,0,0,0,1,0,0,111,3,0,0,0,3,170,74,64,20,3,7,3,2,24,371,0,1,10,6,0,0,0,1,0,0,111,3,0,0,0,3,170,74,64,20,3,7,3,2,270,399,38,96,74,14,374,0,75,32,0.0145681582,3,2001-07-14 06:34:11,3,9,0
78,188,261,832,14,22,7,2.1832258065,237,0,6,2,1,1,0,0,0,0,0,124,6,0,0,0,0,152,125,75,10,1,5,9,21,20,237,0,6,2,1,1,0,0,0,0,0,124,6,0,0,0,0,152,125,75,10,1,5,9,21,191,461,30,86,32,5,305,0,69,17,0.0060096154,2,2001-07-14 06:39:11,6,10,0
79,150,197,1148,5,22,92,1.4068265683,515,0,1,0,0,0,0,0,0,2,2,168,0,0,0,0,0,137,139,74,15,15,11,2,3,19,515,0,1,0,0,0,0,0,0,2,2,168,0,0,0,0,0,137,139,74,15,15,11,2,3,385,494,33,80,55,7,322,0,68,27,0.006097561,2,2001-07-14 06:44:11,5,10,0
80,152,122,637,6,17,47,1.9007936508,177,1,0,0,0,0,0,0,0,0,0,83,1,0,0,0,0,95,48,59,13,6,6,3,12,20,177,1,0,0,0,0,0,0,0,0,0,83,1,0,0,0,0,95,48,59,13,6,6,3,12,79,279,42,57,127,13,246,0,61,9,0.0204081633,2,2001-07-14 06:49:11,6,11,0
81,431,236,1741,11,17,29,1.9683257919,402,10,4,8,15,1,0,0,0,0,0,254,0,0,0,0,0,274,162,140,31,21,0,4,0,14,402,10,4,8,15,1,0,0,0,0,0,254,0,0,0,0,0,274,162,140,31,21,0,4,0,81,816,187,213,271,60,650,0,51,19,0.0344629523,2,2001-07-14 06:54:11,5,12,0
82,498,491,1500,5,14,15,2.2917271408,254,0,0,4,12,0,0,0,0,0,0,258,0,0,0,0,0,345,182,204,89,16,9,5,0,13,254,0,0,4,12,0,0,0,0,0,0,258,0,0,0,0,0,345,182,204,89,16,9,5,0,177,880,53,253,84,8,399,0,58,8,0.0053333333,1,2001-07-14 06:59:11,5,10,0
83,183,308,739,5,21,32,2.206231454,117,0,1,1,1,0,0,0,0,0,1,118,0,0,0,0,0,198,90,109,24,10,2,0,2,19,117,0,1,1,1,0,0,0,0,0,1,118,0,0,0,0,0,198,90,109,24,10,2,0,2,70,465,10,97,64,6,247,0,45,4,0.008097166,2,2001-07-14 07:04:11,5,9,0
84,212,171,901,5,22,36,1.6193390453,371,12,6,2,0,0,0,1,2,0,0,153,2,0,0,0,0,103,111,23,4,4,6,0,17,20,371,12,6,2,0,0,0,1,2,0,0,153,2,0,0,0,0,103,111,23,4,4,6,0,17,317,404,14,46,70,7,255,0,79,14,0.0077691454,1,2001-07-14 07:09:11,5,10,0
85,76,136,719,3,15,233,1.0996978852,393,0,3,1,0,0,0,0,0,0,0,69,0,0,0,0,0,94,50,27,7,7,3,2,6,12,393,0,3,1,0,0,0,0,0,0,0,69,0,0,0,0,0,94,50,27,7,7,3,2,6,155,196,3,75,47,6,209,0,57,1,0.0083449235,1,2001-07-14 07:14:11,3,9,0
86,75,193,704,5,18,35,1.3884430177,244,1,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,131,78,42,1,4,3,2,1,10,244,1,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,131,78,42,1,4,3,2,1,150,317,53,68,52,8,283,0,53,8,0.0113636364,2,2001-07-14 07:19:11,5,9,0
87,164,166,879,6,16,38,1.6201413428,150,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,108,60,50,11,12,2,1,0,8,150,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,108,60,50,11,12,2,1,0,53,346,47,82,289,36,346,0,81,5,0.0406320542,3,2001-07-14 07:24:11,6,11,0
88,214,542,1648,6,12,51,1.8210526316,200,0,0,0,0,0,0,0,0,0,0,376,0,0,0,0,0,208,201,106,43,1,4,1,0,8,200,0,0,0,0,0,0,0,0,0,0,376,0,0,0,0,0,208,201,106,43,1,4,1,0,42,750,51,246,359,23,434,0,65,3,0.0139478472,3,2001-07-14 07:29:11,6,9,0
89,220,291,1064,3,17,51,1.6959247649,325,9,0,0,2,0,0,0,0,0,0,233,0,0,0,0,0,136,106,107,15,9,3,2,10,13,325,9,0,0,2,0,0,0,0,0,0,233,0,0,0,0,0,136,106,107,15,9,3,2,10,226,461,33,186,71,5,354,0,64,4,0.0046904315,2,2001-07-14 07:34:11,3,11,0
90,144,271,846,5,22,42,2.3193033382,157,0,5,6,0,3,2,0,2,0,0,85,0,0,0,0,0,224,88,78,14,1,14,8,2,17,157,0,5,6,0,3,2,0,2,0,0,85,0,0,0,0,0,224,88,78,14,1,14,8,2,68,407,28,144,127,6,307,0,61,9,0.0070921986,1,2001-07-14 07:39:11,5,13,0
91,209,265,844,6,18,76,2.0860349127,181,1,0,10,0,3,0,1,2,0,0,195,0,0,0,0,0,171,100,98,27,7,4,1,1,17,181,1,0,10,0,3,0,1,2,0,0,195,0,0,0,0,0,171,100,98,27,7,4,1,1,42,516,46,122,22,7,336,0,43,16,0.0082938389,2,2001-07-14 07:44:11,4,9,0
92,132,117,457,2,16,14,1.9600997506,106,1,0,2,0,1,0,0,0,0,2,92,0,0,0,0,0,75,64,40,8,4,6,0,0,19,106,1,0,2,0,1,0,0,0,0,2,92,0,0,0,0,0,75,64,40,8,4,6,0,0,44,217,38,88,23,1,247,0,65,7,0.0021881838,1,2001-07-14 07:49:11,2,10,0
93,93,118,358,6,14,15,2.578125,62,0,0,18,0,0,0,0,0,0,0,62,0,0,0,0,0,72,52,35,12,4,2,0,1,12,62,0,0,18,0,0,0,0,0,0,0,62,0,0,0,0,0,72,52,35,12,4,2,0,1,41,195,5,64,23,3,203,0,24,22,0.008356546,1,2001-07-14 07:54:11,6,9,0
94,70,81,279,4,13,13,1.8847736626,58,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,48,28,35,6,2,5,0,0,7,58,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,48,28,35,6,2,5,0,0,24,152,16,38,26,0,139,0,53,12,0,0,2001-07-14 07:59:11,4,9,0
95,589,428,1934,4,19,80,1.8904282116,244,0,0,16,0,4,0,0,0,0,0,490,0,0,0,0,0,431,277,80,27,17,2,0,0,14,244,0,0,16,0,4,0,0,0,0,0,490,0,0,0,0,0,431,277,80,27,17,2,0,0,113,1206,44,145,282,23,410,0,91,32,0.0118924509,3,2001-07-14 08:04:11,4,13,0
96,614,504,1885,7,21,109,1.8486579098,196,2,0,7,1,2,0,0,0,0,0,693,0,0,0,0,0,439,200,169,18,16,5,3,0,14,196,2,0,7,1,2,0,0,0,0,0,693,0,0,0,0,0,439,200,169,18,16,5,3,0,60,1376,19,187,92,8,383,0,93,16,0.0042440318,1,2001-07-14 08:09:11,7,10,0
97,227,174,830,5,19,28,1.6177944862,314,0,0,0,0,8,0,0,0,0,0,134,0,0,0,0,0,143,91,71,25,7,5,0,0,14,314,0,0,0,0,8,0,0,0,0,0,134,0,0,0,0,0,143,91,71,25,7,5,0,0,243,380,34,113,31,6,321,0,51,9,0.0072289157,2,2001-07-14 08:14:11,3,11,0
98,155,213,612,4,24,27,2.8838951311,114,0,2,7,5,5,0,0,0,0,2,80,0,2,2,0,0,104,69,97,19,7,6,4,9,22,114,0,2,7,5,5,0,0,0,0,2,80,0,2,2,0,0,104,69,97,19,7,6,4,9,41,358,26,82,59,7,298,0,39,21,0.0114379085,2,2001-07-14 08:19:11,4,11,0
99,208,160,816,5,26,24,2.0237467018,168,1,1,1,0,0,0,0,0,0,0,260,3,2,3,0,0,68,115,113,12,3,3,4,1,22,168,1,1,1,0,0,0,0,0,0,0,260,3,2,3,0,0,68,115,113,12,3,3,4,1,129,483,14,108,41,7,250,0,51,14,0.0085784314,2,2001-07-14 08:24:11,5,10,0
100,231,474,1273,8,14,11,2.1822376009,76,2,1,0,0,0,0,0,0,0,0,243,0,0,0,0,0,268,133,81,38,16,3,2,4,11,76,2,1,0,0,0,0,0,0,0,0,243,0,0,0,0,0,268,133,81,38,16,3,2,4,40,681,21,114,403,48,537,0,31,1,0.0377062058,3,2001-07-14 08:29:11,8,9,0
101,136,253,621,5,12,37,2.962406015,105,0,0,0,0,0,0,0,0,0,0,69,0,0,3,0,0,83,51,41,149,13,12,3,3,22,105,0,0,0,0,0,0,0,0,0,0,69,0,0,3,0,0,83,51,41,149,13,12,3,3,24,368,36,67,81,9,253,0,38,13,0.0144927536,3,2001-07-14 08:34:11,5,9,0
102,139,142,499,7,22,17,2.1812080537,93,0,1,0,0,1,0,0,0,0,0,122,0,0,0,0,0,71,55,39,36,21,6,1,1,14,93,0,1,0,0,1,0,0,0,0,0,122,0,0,0,0,0,71,55,39,36,21,6,1,1,33,309,37,51,33,0,229,0,48,28,0,0,2001-07-14 08:39:11,7,10,0
103,95,186,546,5,21,28,1.993987976,117,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,144,121,24,12,9,8,2,0,8,117,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,144,121,24,12,9,8,2,0,60,330,22,59,29,4,211,0,42,2,0.0073260073,1,2001-07-14 08:44:11,4,9,0
104,954,603,2180,5,24,147,1.8380907815,365,0,0,1,0,0,0,0,0,0,3,624,0,6,0,0,2,669,230,191,16,23,5,2,0,24,365,0,0,1,0,0,0,0,0,0,3,624,0,6,0,0,2,669,230,191,16,23,5,2,0,166,1600,42,182,36,1,410,0,130,12,0.0004587156,1,2001-07-14 08:49:11,4,10,0
105,1090,763,2256,6,24,44,2.1809954751,213,0,0,6,2,1,0,0,0,4,10,649,0,0,2,0,0,661,301,304,41,9,3,4,0,22,213,0,0,6,2,1,0,0,0,4,10,649,0,0,2,0,0,661,301,304,41,9,3,4,0,147,1675,17,327,21,6,306,0,120,29,0.0026595745,3,2001-07-14 08:54:11,5,9,0
106,432,260,1503,5,24,36,2.0474683544,179,4,7,12,0,0,0,0,0,0,0,311,0,0,0,0,0,174,117,99,8,31,0,6,0,12,179,4,7,12,0,0,0,0,0,0,0,311,0,0,0,0,0,174,117,99,8,31,0,6,0,105,651,30,126,547,7,351,0,61,11,0.004657352,1,2001-07-14 08:59:11,5,9,0
107,427,474,2073,11,24,39,1.8310771042,283,0,11,12,0,0,0,0,0,0,0,680,0,0,0,0,0,312,236,68,40,39,16,2,0,12,283,0,11,12,0,0,0,0,0,0,0,680,0,0,0,0,0,312,236,68,40,39,16,2,0,197,1351,41,71,369,7,356,0,83,15,0.0033767487,2,2001-07-14 09:04:11,5,9,0
108,117,101,577,4,22,16,1.946969697,92,0,0,2,3,1,0,0,1,0,1,201,1,0,0,0,0,117,38,43,10,7,6,5,0,20,92,0,0,2,3,1,0,0,1,0,1,201,1,0,0,0,0,117,38,43,10,7,6,5,0,47,381,23,61,43,7,252,0,43,10,0.0121317158,2,2001-07-14 09:09:11,4,10,0
109,232,208,825,5,26,21,1.8734525447,154,0,1,0,0,0,0,0,0,0,0,223,0,0,0,0,0,159,58,61,42,24,2,3,0,11,154,0,1,0,0,0,0,0,0,0,0,223,0,0,0,0,0,159,58,61,42,24,2,3,0,87,433,31,155,57,15,314,0,38,10,0.0181818182,1,2001-07-14 09:14:11,5,9,0
110,455,418,1478,7,25,74,1.5951388889,388,0,0,0,0,0,0,0,0,0,0,448,0,0,0,0,0,212,251,98,18,6,4,9,6,9,388,0,0,0,0,0,0,0,0,0,0,448,0,0,0,0,0,212,251,98,18,6,4,9,6,250,994,45,77,27,4,481,0,79,12,0.0027063599,1,2001-07-14 09:19:11,7,9,0
111,188,245,841,7,25,28,1.7331571995,252,1,3,1,1,0,0,0,0,0,0,233,8,0,6,0,0,134,42,66,5,1,3,0,1,22,252,1,3,1,1,0,0,0,0,0,0,233,8,0,6,0,0,134,42,66,5,1,3,0,1,176,309,38,206,78,8,296,0,87,21,0.0095124851,2,2001-07-14 09:24:11,6,9,0
112,103,132,503,7,12,20,1.8168103448,109,0,0,0,0,0,0,0,0,0,0,154,0,2,0,0,0,76,51,47,6,12,5,1,1,21,109,0,0,0,0,0,0,0,0,0,0,154,0,2,0,0,0,76,51,47,6,12,5,1,1,55,285,25,79,36,3,226,0,38,5,0.0059642147,2,2001-07-14 09:29:11,6,9,0
113,147,476,957,5,25,23,2.3634361233,89,0,0,2,3,1,1,4,0,3,1,304,6,0,1,2,0,214,141,124,5,2,1,2,2,23,89,0,0,2,3,1,1,4,0,3,1,304,6,0,1,2,0,214,141,124,5,2,1,2,2,52,655,10,168,43,3,254,0,67,28,0.0031347962,1,2001-07-14 09:34:11,5,11,0
114,182,182,579,5,19,22,2.6449912127,118,0,1,3,0,0,0,0,2,0,0,98,0,0,0,0,0,69,48,187,9,9,11,6,8,17,118,0,1,3,0,0,0,0,2,0,0,98,0,0,0,0,0,69,48,187,9,9,11,6,8,27,393,60,67,4,1,227,0,64,15,0.0017271157,1,2001-07-14 09:39:11,5,10,0
115,123,1184,1752,5,12,50,2.5403530895,109,0,0,1,0,0,0,0,0,0,0,178,0,0,0,0,0,420,615,215,2,40,4,2,0,12,109,0,0,1,0,0,0,0,0,0,0,178,0,0,0,0,0,420,615,215,2,40,4,2,0,39,1415,20,62,30,22,401,1,60,7,0.0125570776,2,2001-07-14 09:44:11,5,9,0
116,142,3809,4632,4,18,92,2.923005133,207,0,0,4,0,0,0,0,0,0,0,225,0,0,0,2,0,830,1645,1314,25,19,3,10,2,23,207,0,0,4,0,0,0,0,0,0,0,225,0,0,0,2,0,830,1645,1314,25,19,3,10,2,45,4041,36,72,270,104,682,1,117,11,0.0224525043,2,2001-07-14 09:49:11,3,8,0
117,118,159,462,4,26,19,3.1662468514,68,0,0,3,0,0,0,8,0,0,10,136,4,0,4,2,0,44,61,30,13,5,7,0,2,23,68,0,0,3,0,0,0,8,0,0,10,136,4,0,4,2,0,44,61,30,13,5,7,0,2,29,241,18,90,24,13,199,0,47,38,0.0281385281,1,2001-07-14 09:54:11,4,9,0
118,139,185,537,5,20,33,2.2806652807,111,3,1,1,1,0,0,0,0,0,0,123,0,0,0,0,0,58,68,68,15,10,7,3,12,13,111,3,1,1,1,0,0,0,0,0,0,123,0,0,0,0,0,58,68,68,15,10,7,3,12,45,296,26,81,50,22,272,0,43,20,0.0409683426,5,2001-07-14 09:59:11,5,10,0
119,237,167,590,3,21,28,2.6944937833,88,2,1,10,2,0,0,10,2,0,0,154,0,0,2,0,0,105,111,39,16,4,1,6,10,22,88,2,1,10,2,0,0,10,2,0,0,154,0,0,2,0,0,105,111,39,16,4,1,6,10,30,400,24,81,23,5,260,0,75,25,0.0084745763,2,2001-07-14 10:04:11,3,11,0
120,537,449,1474,6,21,37,1.8377622378,225,0,0,2,0,0,0,0,0,0,0,355,0,0,0,0,0,553,113,150,10,13,1,3,5,12,225,0,0,2,0,0,0,0,0,0,0,355,0,0,0,0,0,553,113,150,10,13,1,3,5,163,1147,15,68,38,9,236,0,62,8,0.0061058345,2,2001-07-14 10:09:11,4,8,0
121,202,170,765,4,16,26,1.6330150068,183,0,0,1,3,1,0,0,0,0,0,235,0,0,0,0,0,152,80,52,13,11,2,0,0,14,183,0,0,1,3,1,0,0,0,0,0,235,0,0,0,0,0,152,80,52,13,11,2,0,0,76,416,60,155,21,11,328,0,71,5,0.014379085,2,2001-07-14 10:14:11,4,10,0
122,714,616,1531,4,16,10,2.0667107001,105,0,0,0,0,0,0,0,0,0,0,542,0,0,0,0,0,338,295,194,15,12,5,4,4,9,105,0,0,0,0,0,0,0,0,0,0,542,0,0,0,0,0,338,295,194,15,12,5,4,4,64,984,27,429,14,3,302,0,62,6,0.0019595036,1,2001-07-14 10:19:11,4,9,0
123,557,423,1182,4,23,13,2.3551724138,103,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,402,38,200,96,12,6,3,12,9,103,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,402,38,200,96,12,6,3,12,55,766,32,294,8,2,310,0,108,5,0.0016920474,1,2001-07-14 10:24:11,4,10,0
124,718,583,1681,4,15,85,2.1222358722,210,10,0,0,0,0,0,0,0,0,0,442,0,0,0,0,0,496,147,246,23,23,11,14,6,10,210,10,0,0,0,0,0,0,0,0,0,442,0,0,0,0,0,496,147,246,23,23,11,14,6,76,1080,36,351,45,21,414,0,57,16,0.012492564,3,2001-07-14 10:29:11,4,10,0
125,102,70,331,5,16,11,2.0226537217,111,1,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,53,35,19,8,4,2,18,6,10,111,1,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,53,35,19,8,4,2,18,6,33,169,61,35,21,8,152,0,74,7,0.0241691843,2,2001-07-14 10:34:11,5,9,0
126,195,49,374,4,16,27,2.3770949721,67,2,0,2,0,0,0,0,0,0,0,80,0,0,0,0,0,48,41,96,10,10,2,0,0,12,67,2,0,2,0,0,0,0,0,0,0,80,0,0,0,0,0,48,41,96,10,10,2,0,0,30,276,7,18,12,10,165,0,20,4,0.0267379679,2,2001-07-14 10:39:11,4,10,0
127,288,118,769,4,14,32,1.9552023121,145,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,323,106,31,14,7,0,9,3,9,145,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,323,106,31,14,7,0,9,3,51,508,46,55,76,9,205,0,51,9,0.0117035111,1,2001-07-14 10:44:11,4,8,0
128,179,229,707,5,15,22,2.0459016393,113,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,128,107,63,9,11,7,9,3,9,113,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,128,107,63,9,11,7,9,3,48,426,34,80,73,15,273,0,28,14,0.0212164074,2,2001-07-14 10:49:11,5,13,0
