,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,dups,edit_distance_avg,edit_distance_dict_0_,edit_distance_dict_10_,edit_distance_dict_1_,edit_distance_dict_2_,edit_distance_dict_3_,edit_distance_dict_4_,edit_distance_dict_5_,edit_distance_dict_6_,edit_distance_dict_7_,edit_distance_dict_8_,edit_distance_dict_9_,edit_distance_max,edit_distance_unique_dict_0_,edit_distance_unique_dict_10_,edit_distance_unique_dict_1_,edit_distance_unique_dict_2_,edit_distance_unique_dict_3_,edit_distance_unique_dict_4_,edit_distance_unique_dict_5_,edit_distance_unique_dict_6_,edit_distance_unique_dict_7_,edit_distance_unique_dict_8_,edit_distance_unique_dict_9_,flaps,imp_wd_dpath,imp_wd_spath,nadas,news,number_rare_ases,origin_0_,origin_1_,origin_2_,origin_changes,rare_ases_avg,rare_ases_max,timestamp,unique_as_path_avg,unique_as_path_max,class
0,147,153,766,11,15,19,1.9308510638,32,0,158,52,95,19,18,1,1,0,0,7,32,0,158,52,95,19,18,1,1,0,0,4,319,7,27,351,0,328,0,22,1,0.0,0,2001-07-18 00:10:01,7,10,0
1,199,740,2168,10,15,25,2.3778195489,68,1,384,108,306,30,153,3,1,3,5,12,68,1,384,108,306,30,153,3,1,3,5,22,972,19,26,1087,58,337,0,65,0,0.0299741602,3,2001-07-18 00:15:01,5,11,0
2,1065,202,2818,8,15,276,1.5915721232,308,0,1422,168,209,304,36,6,10,4,1,9,308,0,1422,168,209,304,36,6,10,4,1,20,2045,11,116,285,97,364,0,75,9,0.034421575600000004,5,2001-07-18 00:20:01,5,13,0
3,796,191,1561,3,13,244,2.1448632668000003,310,0,117,397,172,333,10,6,7,1,0,8,310,0,117,397,172,333,10,6,7,1,0,19,1009,46,35,191,84,318,2,60,23,0.0538116592,4,2001-07-18 00:25:01,3,10,0
4,108,127,537,13,15,20,1.9885386819,68,2,73,80,95,17,8,0,3,0,3,10,68,2,73,80,95,17,8,0,3,0,3,12,254,34,29,164,95,281,0,38,8,0.1769087523,3,2001-07-18 00:30:01,9,12,0
5,167,1350,1700,4,16,6,2.7528840316000003,66,4,392,131,728,24,287,5,3,1,3,13,66,4,392,131,728,24,287,5,3,1,3,30,700,23,888,40,32,298,0,49,21,0.0188235294,4,2001-07-18 00:35:01,4,12,0
6,95,139,516,4,13,21,1.9296187683000001,70,0,68,53,123,22,3,2,0,0,0,6,70,0,68,53,123,22,3,2,0,0,0,17,239,20,44,140,62,227,1,15,1,0.1201550388,3,2001-07-18 00:40:01,4,9,0
7,477,139,948,9,13,15,1.5855513308000002,67,1,496,79,85,27,11,9,4,3,7,10,67,1,496,79,85,27,11,9,4,3,7,35,681,13,45,128,45,250,0,37,0,0.0474683544,4,2001-07-18 00:45:01,5,11,0
8,1008,169,2220,8,14,18,1.8553546591999999,87,1,1194,389,72,302,95,8,5,0,3,11,87,1,1194,389,72,302,95,8,5,0,3,51,2019,16,53,25,34,250,0,77,21,0.0153153153,2,2001-07-18 00:50:01,8,12,0
9,95,101,455,5,14,19,1.961852861,80,1,92,100,40,20,14,7,5,3,4,11,80,1,92,100,40,20,14,7,5,3,4,21,194,31,102,79,24,256,0,36,0,0.0527472527,2,2001-07-18 00:55:01,3,9,0
10,149,149,613,6,17,10,2.5748218527,85,0,54,57,73,104,36,1,4,2,3,13,85,0,54,57,73,104,36,1,4,2,3,21,292,28,70,151,77,318,0,38,10,0.1256117455,3,2001-07-18 01:00:01,6,12,0
11,233,1155,3009,6,14,84,2.2805451128,258,0,456,515,543,103,225,11,11,3,1,13,258,0,456,515,543,103,225,11,11,3,1,52,871,83,1038,788,127,578,0,59,28,0.0422067132,3,2001-07-18 01:05:01,6,10,0
12,108,141,628,7,11,36,2.1502347418000003,109,0,107,63,66,28,9,11,18,1,13,11,109,0,107,63,66,28,9,11,18,1,13,29,242,30,89,171,58,308,0,25,0,0.0923566879,3,2001-07-18 01:10:01,7,9,0
13,56,77,474,12,15,24,1.78,85,1,57,37,31,17,10,2,4,3,2,11,85,1,57,37,31,17,10,2,4,3,2,18,144,38,26,223,92,305,0,29,11,0.194092827,3,2001-07-18 01:15:01,8,10,0
14,105,194,661,3,14,71,1.8608349900999999,160,0,61,144,56,38,21,15,0,0,8,9,160,0,61,144,56,38,21,15,0,0,8,43,275,44,70,132,30,263,0,63,13,0.0453857791,2,2001-07-18 01:20:01,3,10,0
15,86,73,321,4,15,40,2.0036231884,76,0,65,50,30,33,3,2,7,2,7,11,76,0,65,50,30,33,3,2,7,2,7,14,182,18,22,43,13,189,0,18,6,0.0404984424,2,2001-07-18 01:25:01,4,11,0
16,53,68,278,6,11,17,1.6652173913,72,0,51,39,42,15,3,4,3,1,0,8,72,0,51,39,42,15,3,4,3,1,0,31,129,22,31,29,19,183,0,21,1,0.0683453237,2,2001-07-18 01:30:01,5,11,0
17,85,101,599,3,12,24,1.9294117647,78,0,84,78,27,38,29,4,2,0,0,7,78,0,84,78,27,38,29,4,2,0,0,33,231,19,33,135,63,222,0,37,0,0.1051752922,2,2001-07-18 01:35:01,3,9,0
18,60,83,377,5,11,7,1.462962963,91,0,73,36,49,9,9,0,2,1,0,8,91,0,73,36,49,9,9,0,2,1,0,41,146,35,41,87,40,205,0,24,3,0.1061007958,2,2001-07-18 01:40:01,5,9,0
19,87,171,637,5,14,23,2.275862069,71,0,70,99,56,12,58,3,3,2,2,11,71,0,70,99,56,12,58,3,3,2,2,25,230,19,80,250,59,240,0,39,1,0.0926216641,2,2001-07-18 01:45:01,5,10,0
20,133,159,920,4,13,57,2.0700549451,145,1,77,235,209,36,3,4,9,4,5,10,145,1,77,235,209,36,3,4,9,4,5,57,525,17,72,147,69,312,0,10,0,0.075,4,2001-07-18 01:50:01,4,9,0
21,140,374,1202,13,15,13,1.9856584094,66,4,300,234,72,32,29,11,7,1,9,11,66,4,300,234,72,32,29,11,7,1,9,31,643,14,66,401,214,486,0,34,2,0.17774086379999998,3,2001-07-18 01:55:01,5,10,0
22,78,224,929,3,14,79,1.7306967985,130,1,139,166,45,19,5,7,5,5,7,11,130,1,139,166,45,19,5,7,5,5,7,24,358,20,50,384,93,287,0,26,4,0.1001076426,2,2001-07-18 02:00:01,3,13,0
23,180,124,600,8,15,39,2.6512141280000003,93,11,86,97,57,45,20,3,10,12,17,12,93,11,86,97,57,45,20,3,10,12,17,35,326,16,37,133,27,282,0,35,14,0.045,2,2001-07-18 02:05:01,8,9,0
24,239,308,1237,12,14,34,2.6339937435,277,4,117,148,117,78,103,25,17,46,20,12,277,4,117,148,117,78,103,25,17,46,20,93,623,33,176,106,91,586,0,36,7,0.0735650768,2,2001-07-18 02:10:01,4,11,0
25,319,215,780,5,14,15,2.3990895296,105,0,193,117,119,34,8,30,17,12,19,11,105,0,193,117,119,34,8,30,17,12,19,43,489,36,76,112,20,262,0,25,20,0.0256410256,2,2001-07-18 02:15:01,5,9,0
26,52,110,347,5,14,9,2.7366412213999998,45,0,31,80,23,21,34,7,13,4,3,11,45,0,31,80,23,21,34,7,13,4,3,20,192,13,28,72,22,197,0,4,0,0.06340057639999999,1,2001-07-18 02:20:01,5,10,0
27,165,221,979,6,15,100,2.06022187,163,3,120,166,62,38,26,39,5,3,5,12,163,3,120,166,62,38,26,39,5,3,5,37,422,23,49,266,37,294,0,25,0,0.037793667,3,2001-07-18 02:25:01,6,9,0
28,581,419,1962,5,15,125,2.0858676208,395,0,340,381,135,244,105,63,5,4,5,9,395,0,340,381,135,244,105,63,5,4,5,214,1143,40,155,205,58,543,0,57,8,0.0295616718,2,2001-07-18 02:30:01,5,10,0
29,260,304,1073,5,14,67,2.3770314193,252,10,117,119,201,93,67,41,12,2,8,11,252,10,117,119,201,93,67,41,12,2,8,125,630,44,57,140,26,444,0,14,2,0.0242311277,1,2001-07-18 02:35:01,5,10,0
