,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,dups,edit_distance_avg,edit_distance_dict_0_,edit_distance_dict_10_,edit_distance_dict_11_,edit_distance_dict_12_,edit_distance_dict_13_,edit_distance_dict_14_,edit_distance_dict_15_,edit_distance_dict_16_,edit_distance_dict_17_,edit_distance_dict_18_,edit_distance_dict_19_,edit_distance_dict_1_,edit_distance_dict_20_,edit_distance_dict_2_,edit_distance_dict_3_,edit_distance_dict_4_,edit_distance_dict_5_,edit_distance_dict_6_,edit_distance_dict_7_,edit_distance_dict_8_,edit_distance_dict_9_,edit_distance_max,edit_distance_unique_dict_0_,edit_distance_unique_dict_10_,edit_distance_unique_dict_11_,edit_distance_unique_dict_12_,edit_distance_unique_dict_13_,edit_distance_unique_dict_14_,edit_distance_unique_dict_15_,edit_distance_unique_dict_16_,edit_distance_unique_dict_17_,edit_distance_unique_dict_18_,edit_distance_unique_dict_19_,edit_distance_unique_dict_1_,edit_distance_unique_dict_20_,edit_distance_unique_dict_2_,edit_distance_unique_dict_3_,edit_distance_unique_dict_4_,edit_distance_unique_dict_5_,edit_distance_unique_dict_6_,edit_distance_unique_dict_7_,edit_distance_unique_dict_8_,edit_distance_unique_dict_9_,flaps,imp_wd_dpath,imp_wd_spath,nadas,news,number_rare_ases,origin_0_,origin_1_,origin_2_,origin_changes,rare_ases_avg,rare_ases_max,timestamp,unique_as_path_avg,unique_as_path_max,class
15,47,42,321,4,12,9,1.4198473282,118,0,0,0,0,0,0,0,0,0,0,41,0,50,31,8,5,0,0,0,9,9,118,0,0,0,0,0,0,0,0,0,0,41,0,50,31,8,5,0,0,0,9,50,132,36,35,45,36,142,0,34,24,0.1121495327,3,2001-07-16 01:24:36,4,9,0
16,100,179,614,2,14,14,3.2266009852,60,4,1,3,0,0,0,0,0,0,0,69,0,63,40,45,28,81,2,2,8,12,60,4,1,3,0,0,0,0,0,0,0,69,0,63,40,45,28,81,2,2,8,28,265,15,84,179,90,255,0,50,6,0.1465798046,3,2001-07-16 01:29:36,2,10,0
17,104,67,443,10,16,21,2.0743034056,95,0,1,0,0,0,0,0,0,0,0,61,0,47,49,42,6,7,7,4,4,11,95,0,1,0,0,0,0,0,0,0,0,61,0,47,49,42,6,7,7,4,4,35,189,27,51,109,27,196,0,41,3,0.0609480813,3,2001-07-16 01:34:36,4,11,0
18,111,80,378,6,14,22,2.0562130178,88,6,3,0,0,0,0,0,0,0,0,73,0,76,37,38,4,4,4,3,2,11,88,6,3,0,0,0,0,0,0,0,0,73,0,76,37,38,4,4,4,3,2,27,226,36,27,40,37,204,0,31,3,0.0971128609,2,2001-07-16 01:39:36,5,11,0
19,89,112,442,3,15,18,1.9413407821,105,5,0,0,0,0,0,0,0,0,0,93,0,39,64,23,6,11,7,0,5,10,105,5,0,0,0,0,0,0,0,0,0,93,0,39,64,23,6,11,7,0,5,50,192,32,66,70,46,182,0,44,5,0.1040723982,4,2001-07-16 01:44:36,3,11,0
20,78,60,401,5,18,21,1.6925287356,104,5,0,1,0,0,0,0,0,0,0,102,0,63,35,20,4,8,2,4,0,12,104,5,0,1,0,0,0,0,0,0,0,102,0,63,35,20,4,8,2,4,0,39,223,29,36,45,33,199,0,21,3,0.0822942643,3,2001-07-16 01:49:36,4,11,0
21,84,140,626,4,13,25,1.8382352941,125,0,0,1,1,0,0,0,0,0,0,103,0,69,48,22,15,8,5,5,6,13,125,0,0,1,1,0,0,0,0,0,0,103,0,69,48,22,15,8,5,5,6,38,240,47,58,196,83,251,0,85,6,0.1325878594,3,2001-07-16 01:54:36,3,9,0
22,109,179,882,4,14,41,1.5037936267,291,2,0,0,1,0,0,0,0,0,0,65,0,165,71,29,10,5,9,8,3,13,291,2,0,0,1,0,0,0,0,0,0,65,0,165,71,29,10,5,9,8,3,36,310,205,67,194,50,251,0,36,19,0.0561167228,3,2001-07-16 01:59:36,3,11,0
23,198,81,644,4,11,20,2.035639413,157,0,1,0,0,0,0,0,0,0,0,37,0,110,41,100,15,8,7,1,0,11,157,0,1,0,0,0,0,0,0,0,0,37,0,110,41,100,15,8,7,1,0,30,292,105,30,155,71,233,4,61,14,0.1102484472,2,2001-07-16 02:04:36,4,9,0
24,87,182,715,5,14,54,1.9311064718,121,0,6,6,0,0,0,0,0,0,0,115,0,79,117,24,4,3,3,1,0,12,121,0,6,6,0,0,0,0,0,0,0,115,0,79,117,24,4,3,3,1,0,22,332,35,36,230,39,212,5,49,17,0.0545454545,3,2001-07-16 02:09:36,5,9,0
25,74,332,1582,4,12,98,1.2805031447,299,0,0,0,0,0,0,0,0,0,0,128,0,275,59,17,10,4,3,0,0,7,299,0,0,0,0,0,0,0,0,0,0,128,0,275,59,17,10,4,3,0,0,40,459,160,38,769,51,261,0,44,4,0.0322376738,2,2001-07-16 02:14:36,4,9,0
26,278,309,932,6,9,38,2.1600955795,158,0,0,0,0,0,0,0,0,0,0,131,0,228,113,168,24,15,0,0,0,6,158,0,0,0,0,0,0,0,0,0,0,131,0,228,113,168,24,15,0,0,0,49,644,42,64,69,50,253,0,40,43,0.0536480687,5,2001-07-16 02:19:36,6,8,0
27,311,305,966,6,17,71,2.1057173679,215,31,0,0,0,0,0,0,0,0,0,162,0,299,38,162,7,9,1,3,0,10,215,31,0,0,0,0,0,0,0,0,0,162,0,299,38,162,7,9,1,3,0,44,618,82,112,35,14,185,0,53,5,0.0144927536,2,2001-07-16 02:24:36,6,9,0
28,90,285,720,6,17,36,2.5413005272,119,35,1,1,0,0,0,0,0,0,0,82,0,167,44,98,11,6,1,1,3,12,119,35,1,1,0,0,0,0,0,0,0,82,0,167,44,98,11,6,1,1,3,40,400,33,60,144,76,250,0,35,1,0.1055555556,3,2001-07-16 02:29:36,6,11,0
29,150,54,585,6,15,28,1.7527777778,110,0,2,0,0,0,0,0,0,0,0,70,0,82,47,29,9,7,2,1,1,11,110,0,2,0,0,0,0,0,0,0,0,70,0,82,47,29,9,7,2,1,1,54,212,20,46,207,123,229,0,33,2,0.2102564103,3,2001-07-16 02:34:36,6,10,0
30,154,132,634,7,12,30,2.0211764706,90,10,2,0,0,0,0,0,0,0,0,104,0,91,96,12,13,2,3,1,1,11,90,10,2,0,0,0,0,0,0,0,0,104,0,91,96,12,13,2,3,1,1,33,244,24,94,173,41,173,16,39,3,0.0646687697,3,2001-07-16 02:39:36,6,11,0
31,95,115,594,4,15,8,3.1454005935,73,5,13,10,0,0,0,0,0,0,0,54,0,58,21,47,28,17,7,1,3,12,73,5,13,10,0,0,0,0,0,0,0,54,0,58,21,47,28,17,7,1,3,24,193,20,92,247,45,182,2,59,3,0.0757575758,3,2001-07-16 02:44:36,4,11,0
32,57,58,313,5,22,38,1.7654320988,89,2,0,0,0,0,0,0,0,0,0,38,0,55,27,12,5,6,4,2,3,10,89,2,0,0,0,0,0,0,0,0,0,38,0,55,27,12,5,6,4,2,3,26,125,20,34,69,53,156,0,40,0,0.1693290735,2,2001-07-16 02:49:36,5,11,0
33,101,317,944,6,20,24,2,199,2,2,11,1,4,0,2,0,1,0,129,1,175,32,69,10,5,2,3,2,20,199,2,2,11,1,4,0,2,0,1,0,129,1,175,32,69,10,5,2,3,2,35,327,105,159,205,83,246,12,67,14,0.0879237288,2,2001-07-16 02:54:36,3,11,0
34,214,58,734,9,13,8,2.3529411765,61,3,0,0,0,0,0,0,0,0,0,21,0,167,26,49,13,9,3,4,1,10,61,3,0,0,0,0,0,0,0,0,0,21,0,167,26,49,13,9,3,4,1,29,272,18,30,196,34,129,0,57,20,0.0463215259,2,2001-07-16 02:59:36,5,11,0
35,154,107,511,5,17,9,2.3422222222,107,4,2,6,16,0,0,0,0,0,0,122,0,81,59,32,11,6,2,0,2,13,107,4,2,6,16,0,0,0,0,0,0,122,0,81,59,32,11,6,2,0,2,32,292,44,73,44,17,199,2,64,27,0.0332681018,2,2001-07-16 03:04:36,5,10,0
36,87,65,286,7,14,14,2.1742424242,61,18,0,0,0,0,0,0,0,0,0,73,0,58,34,5,8,6,1,0,0,10,61,18,0,0,0,0,0,0,0,0,0,73,0,58,34,5,8,6,1,0,0,33,168,13,36,20,16,147,0,35,3,0.0559440559,2,2001-07-16 03:09:36,6,9,0
37,77,75,523,17,17,105,1.5245901639,171,0,5,1,1,2,0,0,0,0,0,118,0,48,51,10,1,10,5,0,4,14,171,0,5,1,1,2,0,0,0,0,0,118,0,48,51,10,1,10,5,0,4,27,236,34,25,95,36,257,0,32,6,0.068833652,2,2001-07-16 03:14:36,8,9,0
38,194,119,708,5,17,56,2.3487179487,145,17,0,16,16,1,0,0,0,0,0,179,0,124,28,37,1,21,0,0,0,14,145,17,0,16,16,1,0,0,0,0,0,179,0,124,28,37,1,21,0,0,0,39,419,48,23,105,16,183,0,54,42,0.0225988701,2,2001-07-16 03:19:36,4,9,0
39,262,133,957,5,18,155,2.1455064194,261,25,1,5,8,0,2,0,0,0,0,68,0,188,17,101,13,6,2,1,3,15,261,25,1,5,8,0,2,0,0,0,0,68,0,188,17,101,13,6,2,1,3,25,376,69,76,244,58,235,0,59,35,0.0606060606,3,2001-07-16 03:24:36,5,12,0
40,144,69,410,6,16,29,2.2631578947,77,4,5,2,1,0,1,0,0,0,0,79,0,103,45,14,11,7,3,5,4,15,77,4,5,2,1,0,1,0,0,0,0,79,0,103,45,14,11,7,3,5,4,21,238,23,50,48,7,175,0,20,10,0.0170731707,1,2001-07-16 03:29:36,6,12,0
41,127,134,672,6,14,12,1.6097972973,112,0,0,0,0,0,0,0,0,0,0,244,0,124,49,28,13,17,5,0,0,7,112,0,0,0,0,0,0,0,0,0,0,244,0,124,49,28,13,17,5,0,0,46,377,28,129,66,23,215,0,25,2,0.0342261905,2,2001-07-16 03:34:36,6,10,0
42,214,263,863,4,17,30,2.7511177347,106,4,17,0,0,0,2,0,0,0,0,106,0,144,120,105,27,2,37,0,1,15,106,4,17,0,0,0,2,0,0,0,0,106,0,144,120,105,27,2,37,0,1,52,438,17,134,174,48,251,0,40,3,0.0556199305,4,2001-07-16 03:39:36,4,9,0
43,146,180,499,2,15,22,2.05,72,3,3,0,0,0,2,0,0,0,0,100,0,142,76,31,0,4,7,0,0,15,72,3,3,0,0,0,2,0,0,0,0,100,0,142,76,31,0,4,7,0,0,30,325,14,49,52,12,158,0,53,5,0.0240480962,1,2001-07-16 03:44:36,2,11,0
