,announcements,as_path_max,imp_wd_dpath,imp_wd_spath,origin_0_,origin_1_,timestamp,timestamp2
0,3243,16,901,426,1601,0,2001-09-25 00:02:12,1001376132
1,4648,18,1511,786,1858,1,2001-09-25 00:07:12,1001376432
2,6610,20,2414,1353,2017,0,2001-09-25 00:12:12,1001376732
3,12085,17,3555,1839,3663,0,2001-09-25 00:17:12,1001377032
4,8381,16,2049,912,2067,33,2001-09-25 00:22:12,1001377332
5,7664,17,3562,1443,2207,26,2001-09-25 00:27:12,1001377632
6,7990,13,3004,1205,2152,0,2001-09-25 00:32:12,1001377932
7,5144,14,1939,1217,2043,2,2001-09-25 00:37:12,1001378232
8,5206,14,2404,558,1262,2,2001-09-25 00:42:12,1001378532
9,3003,15,1253,630,1201,0,2001-09-25 00:47:12,1001378832
10,4320,19,1528,661,1929,1,2001-09-25 00:52:12,1001379132
11,6689,13,2255,1807,2066,0,2001-09-25 00:57:12,1001379432
12,4461,13,2034,829,1630,0,2001-09-25 01:02:12,1001379732
13,108141,22,1795,1181,35629,79,2001-09-25 01:07:12,1001380032
14,4196,14,1910,680,1560,0,2001-09-25 01:12:12,1001380332
15,4927,17,2664,945,1999,0,2001-09-25 01:17:12,1001380632
16,5609,19,2869,863,2189,0,2001-09-25 01:22:12,1001380932
17,2859,18,1206,717,1466,0,2001-09-25 01:27:12,1001381232
18,5105,14,2560,1077,1700,0,2001-09-25 01:32:12,1001381532
19,6258,14,2812,1162,2295,0,2001-09-25 01:37:12,1001381832
20,3610,13,1420,860,1662,1,2001-09-25 01:42:12,1001382132
21,4526,13,1867,1027,1819,0,2001-09-25 01:47:12,1001382432
22,3441,22,1384,707,1755,0,2001-09-25 01:52:12,1001382732
23,4590,17,2018,1001,1889,0,2001-09-25 01:57:12,1001383032
24,2748,14,1207,517,1353,0,2001-09-25 02:02:12,1001383332
25,4029,14,1940,818,1986,2,2001-09-25 02:07:12,1001383632
26,6382,13,2241,1391,1315,0,2001-09-25 02:12:12,1001383932
27,4261,14,2016,785,1674,0,2001-09-25 02:17:12,1001384232
28,4586,18,1925,971,1820,2,2001-09-25 02:22:12,1001384532
29,3884,13,1735,852,1479,0,2001-09-25 02:27:12,1001384832
30,2480,14,850,501,1324,1,2001-09-25 02:32:12,1001385132
31,4569,14,2031,886,1754,0,2001-09-25 02:37:12,1001385432
32,4876,12,2122,1056,1489,0,2001-09-25 02:42:12,1001385732
33,3958,12,1566,819,1359,1,2001-09-25 02:47:12,1001386032
34,2338,12,1085,451,1115,0,2001-09-25 02:52:12,1001386332
35,5906,14,2276,1483,1387,0,2001-09-25 02:57:12,1001386632
36,3446,15,1474,789,1235,0,2001-09-25 03:02:12,1001386932
37,4036,16,1265,568,1399,0,2001-09-25 03:07:12,1001387232
38,4403,15,1181,820,1499,1,2001-09-25 03:12:12,1001387532
39,6834,15,2767,2768,1986,0,2001-09-25 03:17:12,1001387832
40,2378,16,1013,454,1345,0,2001-09-25 03:22:12,1001388132
41,3069,12,1271,669,1274,0,2001-09-25 03:27:12,1001388432
42,4151,13,2071,766,1583,0,2001-09-25 03:32:12,1001388732
43,2018,12,876,395,1083,0,2001-09-25 03:37:12,1001389032
44,2781,14,1162,611,1368,0,2001-09-25 03:42:12,1001389332
45,5088,19,2536,1097,1870,0,2001-09-25 03:47:12,1001389632
46,5279,19,2536,1123,2178,0,2001-09-25 03:52:12,1001389932
47,6134,13,2386,1016,1678,0,2001-09-25 03:57:12,1001390232
48,5763,12,1769,1561,1586,1,2001-09-25 04:02:12,1001390532
49,4775,13,2344,893,1225,0,2001-09-25 04:07:12,1001390832
50,5490,14,3249,990,1929,0,2001-09-25 04:12:12,1001391132
51,4212,29,1642,1017,1740,0,2001-09-25 04:17:12,1001391432
52,3384,16,1487,591,1630,0,2001-09-25 04:22:12,1001391732
53,5729,20,2265,1072,2518,1,2001-09-25 04:27:12,1001392032
54,5728,19,3016,803,2494,0,2001-09-25 04:32:12,1001392332
55,6485,15,3447,1047,2562,0,2001-09-25 04:37:12,1001392632
56,3253,15,1518,668,1305,0,2001-09-25 04:42:12,1001392932
57,3209,13,1226,863,1443,0,2001-09-25 04:47:12,1001393232
58,4955,27,1885,1112,1699,0,2001-09-25 04:52:12,1001393532
