,announcements,as_path_max,imp_wd_dpath,imp_wd_spath,origin_0_,origin_1_,timestamp,timestamp2
91,5446,18,1492,1594,1722,9,2001-09-23 07:49:10,1001231350
92,2038,15,933,448,1215,0,2001-09-23 07:54:10,1001231650
93,2361,14,979,507,1402,0,2001-09-23 07:59:10,1001231950
94,4533,12,1996,807,1256,4,2001-09-23 08:04:10,1001232250
95,3411,14,1871,704,1082,13,2001-09-23 08:09:10,1001232550
96,3649,15,1701,922,1139,0,2001-09-23 08:14:10,1001232850
97,3119,13,1814,478,1182,0,2001-09-23 08:19:10,1001233150
98,1937,18,899,413,1005,15,2001-09-23 08:24:10,1001233450
99,3780,15,986,750,974,2,2001-09-23 08:29:10,1001233750
100,3657,13,1775,832,1048,0,2001-09-23 08:34:10,1001234050
101,3941,14,1359,640,1010,0,2001-09-23 08:39:10,1001234350
102,3956,16,2022,620,960,0,2001-09-23 08:44:10,1001234650
103,5856,17,2276,1191,1578,0,2001-09-23 08:49:10,1001234950
104,5584,17,3197,1258,1879,0,2001-09-23 08:54:10,1001235250
105,4367,20,2536,644,1421,0,2001-09-23 08:59:10,1001235550
106,1697,15,720,350,890,0,2001-09-23 09:04:10,1001235850
107,2225,14,1119,520,1183,0,2001-09-23 09:09:10,1001236150
108,1912,11,942,497,872,0,2001-09-23 09:14:10,1001236450
109,2438,22,1464,371,1122,0,2001-09-23 09:19:10,1001236750
110,3528,26,1429,764,921,0,2001-09-23 09:24:10,1001237050
111,4953,18,2638,920,1263,0,2001-09-23 09:29:10,1001237350
112,2191,23,1153,302,962,0,2001-09-23 09:34:10,1001237650
113,5094,15,2738,870,1011,0,2001-09-23 09:39:10,1001237950
114,2142,16,978,443,868,0,2001-09-23 09:44:10,1001238250
115,4587,13,1969,677,1170,0,2001-09-23 09:49:10,1001238550
116,4891,17,2128,977,1307,0,2001-09-23 09:54:10,1001238850
117,8486,15,4064,1225,1798,0,2001-09-23 09:59:10,1001239150
118,5955,15,2546,1098,1817,0,2001-09-23 10:04:10,1001239450
119,3390,12,2044,423,905,0,2001-09-23 10:09:10,1001239750
120,6791,23,2106,598,1831,2,2001-09-23 10:14:10,1001240050
121,5346,22,3989,815,1562,2,2001-09-23 10:19:10,1001240350
122,3062,16,1367,515,1068,0,2001-09-23 10:24:10,1001240650
123,5134,15,1922,765,1426,0,2001-09-23 10:29:10,1001240950
124,3350,15,1144,1218,1070,0,2001-09-23 10:34:10,1001241250
125,2409,16,984,506,935,0,2001-09-23 10:39:10,1001241550
126,1914,14,924,439,908,1,2001-09-23 10:44:10,1001241850
127,2279,13,1095,541,1142,0,2001-09-23 10:49:10,1001242150
128,3150,15,1636,818,1023,0,2001-09-23 10:54:10,1001242450
129,2552,12,1133,643,1043,0,2001-09-23 10:59:10,1001242750
130,2586,13,998,578,1321,0,2001-09-23 11:04:10,1001243050
131,8372,12,2620,2449,1387,0,2001-09-23 11:09:10,1001243350
132,5953,12,2959,1816,1384,0,2001-09-23 11:14:10,1001243650
133,4402,20,1891,960,1812,0,2001-09-23 11:19:10,1001243950
134,4456,17,2365,834,2223,0,2001-09-23 11:24:10,1001244250
135,3650,12,1577,673,1790,0,2001-09-23 11:29:10,1001244550
136,5652,13,2408,799,2143,0,2001-09-23 11:34:10,1001244850
137,2835,13,1338,431,1235,1,2001-09-23 11:39:10,1001245150
138,4472,12,2537,1035,1043,0,2001-09-23 11:44:10,1001245450
139,3401,12,1663,827,1032,0,2001-09-23 11:49:10,1001245750
140,2109,12,1112,401,722,0,2001-09-23 11:54:10,1001246050
141,2131,13,1064,565,1088,0,2001-09-23 11:59:10,1001246350
142,4133,13,2207,1003,1249,0,2001-09-23 12:04:10,1001246650
143,4692,12,2508,1148,1284,0,2001-09-23 12:09:10,1001246950
144,4010,12,1993,1007,1118,0,2001-09-23 12:14:10,1001247250
145,3242,13,1857,418,1023,0,2001-09-23 12:19:10,1001247550
146,1884,12,859,390,884,0,2001-09-23 12:24:10,1001247850
147,4430,12,1716,777,1216,0,2001-09-23 12:29:10,1001248150
148,1565,12,746,300,696,0,2001-09-23 12:34:10,1001248450
149,2309,11,1157,511,1047,0,2001-09-23 12:39:10,1001248750
150,2774,13,1544,488,1103,0,2001-09-23 12:44:10,1001249050
151,3060,13,1777,540,1120,1,2001-09-23 12:49:10,1001249350
152,4191,14,2125,572,1408,0,2001-09-23 12:54:10,1001249650
153,2756,11,1020,557,955,0,2001-09-23 12:59:10,1001249950
154,34260,15,14393,3940,4543,81,2001-09-23 13:04:10,1001250250
155,3120,14,1695,630,1012,0,2001-09-23 13:09:10,1001250550
156,2304,13,1029,450,1015,0,2001-09-23 13:14:10,1001250850
157,5347,16,2834,749,1777,0,2001-09-23 13:19:10,1001251150
158,3550,16,1794,782,1382,0,2001-09-23 13:24:10,1001251450
159,1975,15,902,494,754,0,2001-09-23 13:29:10,1001251750
160,2009,13,976,375,884,0,2001-09-23 13:34:10,1001252050
161,4071,14,2057,916,1308,0,2001-09-23 13:39:10,1001252350
162,2523,12,1205,364,969,0,2001-09-23 13:44:10,1001252650
163,3420,13,2098,374,929,0,2001-09-23 13:49:10,1001252950
164,3714,15,1483,717,1212,1,2001-09-23 13:54:10,1001253250
165,4149,14,1899,1089,1038,0,2001-09-23 13:59:10,1001253550
166,5791,17,2475,1067,1727,0,2001-09-23 14:04:10,1001253850
