,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,dups,edit_distance_avg,edit_distance_dict_0_,edit_distance_dict_10_,edit_distance_dict_1_,edit_distance_dict_2_,edit_distance_dict_3_,edit_distance_dict_4_,edit_distance_dict_5_,edit_distance_dict_6_,edit_distance_dict_7_,edit_distance_dict_8_,edit_distance_dict_9_,edit_distance_max,edit_distance_unique_dict_0_,edit_distance_unique_dict_10_,edit_distance_unique_dict_1_,edit_distance_unique_dict_2_,edit_distance_unique_dict_3_,edit_distance_unique_dict_4_,edit_distance_unique_dict_5_,edit_distance_unique_dict_6_,edit_distance_unique_dict_7_,edit_distance_unique_dict_8_,edit_distance_unique_dict_9_,flaps,imp_wd_dpath,imp_wd_spath,nadas,news,number_rare_ases,origin_0_,origin_1_,origin_2_,origin_changes,rare_ases_avg,rare_ases_max,timestamp,unique_as_path_avg,unique_as_path_max,class
0,73,78,839,7,12,16,1.8403041825,47,0,80,66,33,16,19,1,0,1,0,8,47,0,80,66,33,16,19,1,0,1,0,4,203,24,16,556,0,347,0,34,3,0.0,0,2001-07-19 00:10:16,7,9,0
1,60,326,629,5,12,10,1.7453027140000001,36,0,275,49,63,21,27,2,5,1,0,8,36,0,275,49,63,21,27,2,5,1,0,4,432,13,20,132,0,275,0,30,2,0.0,0,2001-07-19 00:15:16,5,9,0
2,52,66,499,6,14,62,1.6112956811,106,0,72,48,40,17,4,3,5,2,2,11,106,0,72,48,40,17,4,3,5,2,2,13,163,31,32,181,0,170,0,19,6,0.0,0,2001-07-19 00:20:16,4,9,0
3,65,129,519,6,12,19,1.6560693642,41,0,146,87,43,23,4,2,0,0,0,6,41,0,146,87,43,23,4,2,0,0,0,21,256,1,49,160,38,167,0,35,2,0.0732177264,3,2001-07-19 00:25:16,5,8,0
4,205,184,2713,5,15,49,1.9901234568000001,94,4,404,428,151,64,47,10,0,5,7,11,94,4,404,428,151,64,47,10,0,5,7,18,1101,23,24,1468,210,804,9,37,5,0.0774050866,5,2001-07-19 00:30:16,4,13,0
5,248,272,1399,5,19,69,1.7975567190000001,130,1,477,310,77,106,20,1,8,8,8,10,130,1,477,310,77,106,20,1,8,8,8,15,978,41,43,230,50,515,1,34,4,0.0357398142,4,2001-07-19 00:35:16,5,14,0
6,188,193,1147,4,15,50,2.5880452342,122,17,175,69,87,54,38,23,7,8,6,14,122,17,175,69,87,54,38,23,7,8,6,14,419,39,97,506,54,351,0,101,6,0.047079337400000004,3,2001-07-19 00:40:16,4,10,0
7,294,383,1153,5,15,35,2.9921787709,122,6,160,161,109,108,115,50,33,16,12,12,122,6,160,161,109,108,115,50,33,16,12,27,569,34,230,195,43,430,0,125,15,0.0372940156,4,2001-07-19 00:45:16,5,11,0
8,91,101,465,9,13,15,2.5297805643,73,5,49,75,55,17,16,1,3,19,0,11,73,5,49,75,55,17,16,1,3,19,0,26,199,25,54,140,32,189,0,56,13,0.0688172043,2,2001-07-19 00:50:16,6,11,0
9,77,64,1420,11,11,39,1.9160583941999998,70,2,46,85,25,29,6,9,2,0,0,10,70,2,46,85,25,29,6,9,2,0,0,16,186,14,19,1141,57,279,0,47,8,0.040140845099999996,2,2001-07-19 00:55:16,5,10,0
10,680,638,2042,5,14,55,2.1124865447,478,2,80,415,636,173,59,6,8,1,0,10,478,2,80,415,636,173,59,6,8,1,0,392,1351,20,40,167,79,430,1,54,13,0.0386875612,4,2001-07-19 01:00:16,5,10,0
11,272,634,1425,7,12,43,2.4095652174,195,0,98,267,400,84,63,28,5,9,0,13,195,0,98,267,400,84,63,28,5,9,0,16,892,91,108,203,37,470,3,61,7,0.025910364100000003,2,2001-07-19 01:05:16,7,10,0
12,101,107,576,6,15,20,2.6906906907,69,0,42,80,42,34,26,19,0,14,3,13,69,0,42,80,42,34,26,19,0,14,3,19,207,28,59,207,19,200,0,68,5,0.0329861111,4,2001-07-19 01:10:16,6,11,0
13,95,205,833,3,13,33,2.0169491525,78,0,238,45,79,15,44,11,8,13,0,8,78,0,238,45,79,15,44,11,8,13,0,26,415,16,41,288,28,249,1,41,1,0.0336134454,3,2001-07-19 01:15:16,3,9,0
14,111,187,1114,6,12,16,1.3790149893,541,5,90,82,76,60,24,23,22,5,2,13,541,5,90,82,76,60,24,23,22,5,2,451,357,58,52,53,27,332,0,71,9,0.0242369838,2,2001-07-19 01:20:16,6,10,0
