,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,dups,edit_distance_avg,edit_distance_dict_0_,edit_distance_dict_10_,edit_distance_dict_1_,edit_distance_dict_2_,edit_distance_dict_3_,edit_distance_dict_4_,edit_distance_dict_5_,edit_distance_dict_6_,edit_distance_dict_7_,edit_distance_dict_8_,edit_distance_dict_9_,edit_distance_max,edit_distance_unique_dict_0_,edit_distance_unique_dict_10_,edit_distance_unique_dict_1_,edit_distance_unique_dict_2_,edit_distance_unique_dict_3_,edit_distance_unique_dict_4_,edit_distance_unique_dict_5_,edit_distance_unique_dict_6_,edit_distance_unique_dict_7_,edit_distance_unique_dict_8_,edit_distance_unique_dict_9_,flaps,imp_wd_dpath,imp_wd_spath,nadas,news,number_rare_ases,origin_0_,origin_1_,origin_2_,origin_changes,rare_ases_avg,rare_ases_max,timestamp,unique_as_path_avg,unique_as_path_max,class
0,44,45,2502,6,13,15,2.2012195122,37,1,40,36,14,15,7,7,2,3,0,11,37,1,40,36,14,15,7,7,2,3,0,6,104,14,25,2317,0,554,1,55,1,0.0,0,2001-07-15 00:09:23,5,11,0
1,1744,2430,31839,4,15,115,2.6099337748,261,5,46,2437,897,377,428,62,5,1,11,10,261,5,46,2437,897,377,428,62,5,1,11,16,4241,27,131,27186,0,7895,42,698,17,0.0,0,2001-07-15 00:14:23,4,9,0
2,252,28360,36962,5,15,3750,2.0074746396000003,4049,0,2280,20155,5360,463,1338,37,15,12,5,9,4049,0,2280,20155,5360,463,1338,37,15,12,5,24,29623,247,70,2928,85,8522,45,685,51,0.0022988506,3,2001-07-15 00:19:23,5,11,0
3,102,211,845,4,14,58,2.0879345603,96,2,119,106,69,64,12,12,1,4,4,10,96,2,119,106,69,64,12,12,1,4,4,16,297,16,102,279,47,321,2,25,6,0.055555555599999994,3,2001-07-15 00:24:23,4,12,0
4,152,64,1110,4,13,65,1.3293991416,181,0,373,304,54,11,2,7,0,0,0,6,181,0,373,304,54,11,2,7,0,0,0,10,700,102,55,174,19,325,9,36,5,0.0171171171,2,2001-07-15 00:29:23,4,9,0
5,67,108,366,11,13,11,2.1875,37,1,83,66,41,37,9,13,0,0,0,11,37,1,83,66,41,37,9,13,0,0,0,11,194,12,60,60,17,203,0,28,5,0.046448087400000004,4,2001-07-15 00:34:23,6,9,0
6,55,113,463,5,11,23,1.7363896848,54,0,157,68,16,28,5,19,2,0,0,7,54,0,157,68,16,28,5,19,2,0,0,16,252,11,47,92,8,179,0,43,1,0.0172786177,3,2001-07-15 00:39:23,5,9,0
7,100,108,752,6,15,10,1.9486486486,76,0,142,61,22,11,23,23,6,4,1,11,76,0,142,61,22,11,23,23,6,4,1,28,225,26,81,93,52,286,0,41,4,0.0691489362,3,2001-07-15 00:44:23,6,11,0
8,78,73,265,4,13,6,1.8017621144999998,41,0,79,53,22,15,10,3,3,0,1,9,41,0,79,53,22,15,10,3,3,0,1,30,163,5,23,30,8,155,0,36,4,0.0301886792,2,2001-07-15 00:49:23,3,9,0
9,55,76,267,7,13,11,1.9459459459000001,46,0,71,46,30,7,7,0,8,3,4,9,46,0,71,46,30,7,7,0,8,3,4,26,148,7,30,41,1,153,0,42,3,0.0037453184000000002,1,2001-07-15 00:54:23,4,9,0
10,544,435,1500,5,15,11,1.9292929293,66,0,428,347,127,26,81,9,5,0,0,7,66,0,428,347,127,26,81,9,5,0,0,34,787,17,240,329,14,274,0,93,3,0.0093333333,2,2001-07-15 00:59:23,5,10,0
11,256,607,1410,4,15,9,1.4001901141,108,2,684,159,32,23,25,7,5,2,5,10,108,2,684,159,32,23,25,7,5,2,5,27,903,71,42,343,18,278,0,34,12,0.0127659574,2,2001-07-15 01:04:23,4,11,0
12,77,95,859,9,12,12,2.4911838791,32,0,158,66,28,21,44,35,7,2,4,9,32,0,158,66,28,21,44,35,7,2,4,18,299,1,67,451,36,284,0,35,4,0.0419091967,3,2001-07-15 01:09:23,9,10,0
13,1292,980,7012,3,14,699,1.4498912497999998,2821,4,466,1137,756,386,376,27,2,0,2,10,2821,4,466,1137,756,386,376,27,2,0,2,37,3113,1810,318,903,35,1969,10,100,10,0.0049914432,2,2001-07-15 01:14:23,3,11,0
14,991,817,5184,5,14,508,1.5218664584000001,2006,4,878,865,707,368,250,25,7,3,9,10,2006,4,878,865,707,368,250,25,7,3,9,183,3081,1289,61,48,6,1440,0,87,1,0.0011574074,2,2001-07-15 01:19:23,5,10,0
15,752,1662,9579,5,17,230,1.2959371343000001,2913,2,334,1650,578,252,201,35,5,2,5,11,2913,2,334,1650,578,252,201,35,5,2,5,194,2891,2480,186,3594,14,1198,0,71,4,0.0014615304,2,2001-07-15 01:24:23,5,13,0
