,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,dups,edit_distance_avg,edit_distance_dict_0_,edit_distance_dict_10_,edit_distance_dict_11_,edit_distance_dict_12_,edit_distance_dict_13_,edit_distance_dict_14_,edit_distance_dict_15_,edit_distance_dict_16_,edit_distance_dict_17_,edit_distance_dict_18_,edit_distance_dict_19_,edit_distance_dict_1_,edit_distance_dict_2_,edit_distance_dict_3_,edit_distance_dict_4_,edit_distance_dict_5_,edit_distance_dict_6_,edit_distance_dict_7_,edit_distance_dict_8_,edit_distance_dict_9_,edit_distance_max,edit_distance_unique_dict_0_,edit_distance_unique_dict_10_,edit_distance_unique_dict_11_,edit_distance_unique_dict_12_,edit_distance_unique_dict_13_,edit_distance_unique_dict_14_,edit_distance_unique_dict_15_,edit_distance_unique_dict_16_,edit_distance_unique_dict_17_,edit_distance_unique_dict_18_,edit_distance_unique_dict_19_,edit_distance_unique_dict_1_,edit_distance_unique_dict_2_,edit_distance_unique_dict_3_,edit_distance_unique_dict_4_,edit_distance_unique_dict_5_,edit_distance_unique_dict_6_,edit_distance_unique_dict_7_,edit_distance_unique_dict_8_,edit_distance_unique_dict_9_,flaps,imp_wd_dpath,imp_wd_spath,nadas,news,number_rare_ases,origin_0_,origin_1_,origin_2_,origin_changes,rare_ases_avg,rare_ases_max,timestamp,unique_as_path_avg,unique_as_path_max,class
16,201,239,858,4,13,25,2.025862069,106,0,0,0,0,0,0,0,0,0,0,230,144,79,69,41,18,7,1,1,9,106,0,0,0,0,0,0,0,0,0,0,230,144,79,69,41,18,7,1,1,36,521,39,75,156,44,376,3,79,25,0.0512820513,3,2001-07-20 01:30:28,4,9,0
17,267,385,1437,5,16,59,2.0384279476,269,3,0,0,0,3,0,0,0,0,0,286,237,116,102,84,11,16,14,4,14,269,3,0,0,0,3,0,0,0,0,0,286,237,116,102,84,11,16,14,4,96,717,88,185,276,60,618,5,80,9,0.0417536534,3,2001-07-20 01:35:28,5,11,0
18,513,467,2235,8,22,108,2.7691815857,272,0,10,10,0,0,0,6,0,10,0,320,287,196,150,148,103,31,21,0,18,272,0,10,10,0,0,0,6,0,10,0,320,287,196,150,148,103,31,21,0,73,1082,66,235,414,71,726,7,174,39,0.0317673378,3,2001-07-20 01:40:28,5,11,0
19,205,316,1237,4,15,79,1.8085977482,234,0,0,0,0,0,0,0,0,0,0,290,190,134,42,37,22,19,4,5,9,234,0,0,0,0,0,0,0,0,0,0,290,190,134,42,37,22,19,4,5,51,609,67,171,143,31,478,0,140,38,0.0250606306,2,2001-07-20 01:45:28,4,10,0
20,1068,500,2720,6,22,95,2.688559322,577,0,48,26,15,0,0,1,7,8,1,335,351,534,173,114,126,20,1,23,19,577,0,48,26,15,0,0,1,7,8,1,335,351,534,173,114,126,20,1,23,440,1676,27,122,324,25,629,0,114,68,0.0091911765,2,2001-07-20 01:50:28,6,10,0
21,700,856,3270,5,22,212,1.8367346939,925,0,2,8,0,0,0,0,0,0,0,380,563,502,208,125,33,38,2,7,12,925,0,2,8,0,0,0,0,0,0,0,380,563,502,208,125,33,38,2,7,618,1658,64,241,427,66,788,0,149,7,0.0201834862,3,2001-07-20 01:55:28,4,10,0
22,439,937,2706,6,22,150,2.0942726812,278,1,2,4,8,0,0,0,0,0,0,585,406,433,137,65,22,19,3,10,13,278,1,2,4,8,0,0,0,0,0,0,585,406,433,137,65,22,19,3,10,64,1161,43,555,564,65,726,0,151,16,0.0240206948,2,2001-07-20 02:00:28,6,10,0
23,162,219,1061,4,13,27,2.0828571429,176,5,0,1,0,0,0,0,0,0,0,163,123,94,53,52,11,12,7,3,12,176,5,0,1,0,0,0,0,0,0,0,163,123,94,53,52,11,12,7,3,54,419,79,121,332,104,459,3,52,40,0.0980207352,3,2001-07-20 02:05:28,4,11,0
24,279,316,1236,6,15,58,2.0309777348,223,8,0,0,2,0,0,0,0,0,0,347,160,89,39,120,21,19,2,3,13,223,8,0,0,2,0,0,0,0,0,0,347,160,89,39,120,21,19,2,3,88,627,72,188,187,50,532,8,72,17,0.0404530744,3,2001-07-20 02:10:28,5,11,0
25,758,1072,3587,6,16,161,1.9093226511,352,3,1,6,0,0,0,3,0,0,0,971,592,534,141,101,39,2,1,0,16,352,3,1,6,0,0,0,3,0,0,0,971,592,534,141,101,39,2,1,0,106,2216,67,196,785,70,738,0,125,33,0.019514915,3,2001-07-20 02:15:28,6,11,0
