,announcements,as_path_max,imp_wd_dpath,imp_wd_spath,origin_0_,origin_1_,timestamp,timestamp2
0,6970,15,2096,1696,1711,24,2001-09-22 00:12:40,1001117560
1,2031,14,680,393,1011,2,2001-09-22 00:17:40,1001117860
2,4921,16,1780,685,1515,0,2001-09-22 00:22:40,1001118160
3,5295,15,1669,848,1463,0,2001-09-22 00:27:40,1001118460
4,7622,23,4239,1174,2391,0,2001-09-22 00:32:40,1001118760
5,3606,14,1252,1241,1205,0,2001-09-22 00:37:40,1001119060
6,2390,22,757,604,1070,0,2001-09-22 00:42:40,1001119360
7,2880,16,1378,434,1325,0,2001-09-22 00:47:40,1001119660
8,2374,15,973,472,999,0,2001-09-22 00:52:40,1001119960
9,2628,14,1225,409,1074,0,2001-09-22 00:57:40,1001120260
10,2996,17,1056,410,1328,13,2001-09-22 01:02:40,1001120560
11,3845,23,1744,583,1595,0,2001-09-22 01:07:40,1001120860
12,4065,14,1815,1121,1231,0,2001-09-22 01:12:40,1001121160
13,9316,15,3375,4013,1649,0,2001-09-22 01:17:40,1001121460
14,5466,12,2825,1529,1411,1,2001-09-22 01:22:40,1001121760
15,4789,16,1185,2266,1324,24,2001-09-22 01:27:40,1001122060
16,4500,18,1994,943,1348,0,2001-09-22 01:32:40,1001122360
17,2895,16,953,968,1083,0,2001-09-22 01:37:40,1001122660
18,4727,20,2071,1187,1650,0,2001-09-22 01:42:40,1001122960
19,4308,14,1639,1118,1515,0,2001-09-22 01:47:40,1001123260
20,3597,23,1936,756,1213,0,2001-09-22 01:52:40,1001123560
21,5018,15,2754,729,1606,0,2001-09-22 01:57:40,1001123860
22,4051,20,2424,772,1465,0,2001-09-22 02:02:40,1001124160
23,2046,16,1178,326,950,0,2001-09-22 02:07:40,1001124460
24,3163,17,1762,588,1145,0,2001-09-22 02:12:40,1001124760
25,3949,18,2363,463,1450,0,2001-09-22 02:17:40,1001125060
26,2301,11,1104,373,1118,0,2001-09-22 02:22:40,1001125360
27,2086,12,1064,406,1076,0,2001-09-22 02:27:40,1001125660
28,5065,14,3358,658,1667,1,2001-09-22 02:32:40,1001125960
29,3935,14,1774,1147,1329,0,2001-09-22 02:37:40,1001126260
30,3063,14,1302,851,1140,0,2001-09-22 02:42:40,1001126560
31,3677,14,1423,1088,1657,12,2001-09-22 02:47:40,1001126860
32,3524,11,2010,747,1228,0,2001-09-22 02:52:40,1001127160
33,5701,15,2322,795,1469,2,2001-09-22 02:57:40,1001127460
34,2089,13,928,381,919,0,2001-09-22 03:02:40,1001127760
35,6436,17,2916,1421,2039,2,2001-09-22 03:07:40,1001128060
36,5445,23,3200,1061,1821,1,2001-09-22 03:12:40,1001128360
37,3655,20,1906,769,1625,0,2001-09-22 03:17:40,1001128660
38,3018,13,1275,480,1319,0,2001-09-22 03:22:40,1001128960
39,4702,13,2385,801,1698,0,2001-09-22 03:27:40,1001129260
40,4882,14,2727,1251,1759,0,2001-09-22 03:32:40,1001129560
41,5953,16,3101,1726,1948,41,2001-09-22 03:37:40,1001129860
42,5728,17,1748,1504,1957,24,2001-09-22 03:42:40,1001130160
43,6353,14,2513,1343,2025,0,2001-09-22 03:47:40,1001130460
44,4067,14,2169,868,1550,0,2001-09-22 03:52:40,1001130760
45,5342,17,2237,892,1482,0,2001-09-22 03:57:40,1001131060
46,3090,14,1403,657,1329,0,2001-09-22 04:02:40,1001131360
47,2733,13,1375,704,1199,0,2001-09-22 04:07:40,1001131660
48,2112,12,910,683,1105,0,2001-09-22 04:12:40,1001131960
49,3990,16,1867,894,1480,0,2001-09-22 04:17:40,1001132260
50,4220,16,1908,714,1463,0,2001-09-22 04:22:40,1001132560
51,3885,14,2175,815,1444,0,2001-09-22 04:27:40,1001132860
52,2124,15,1042,448,1051,0,2001-09-22 04:32:40,1001133160
53,3929,13,2130,736,1510,0,2001-09-22 04:37:40,1001133460
54,4138,15,1453,753,1210,1,2001-09-22 04:42:40,1001133760
55,2445,16,1231,710,861,0,2001-09-22 04:47:40,1001134060
56,2047,13,880,734,1040,0,2001-09-22 04:52:40,1001134360
57,3050,16,1343,765,1297,0,2001-09-22 04:57:40,1001134660
58,2320,13,1036,610,1175,0,2001-09-22 05:02:40,1001134960
59,5134,14,2298,1486,1946,0,2001-09-22 05:07:40,1001135260
60,3840,14,1812,679,1261,0,2001-09-22 05:12:40,1001135560
61,6447,14,2781,1558,1898,0,2001-09-22 05:17:40,1001135860
62,3651,14,1763,1004,1492,0,2001-09-22 05:22:40,1001136160
63,3512,14,1348,828,1257,0,2001-09-22 05:27:40,1001136460
64,3977,15,1681,1376,1364,0,2001-09-22 05:32:40,1001136760
65,2878,18,1162,694,1024,0,2001-09-22 05:37:40,1001137060
66,4220,14,1844,1402,1471,0,2001-09-22 05:42:40,1001137360
