dataset_nimda_513_5_rrc04.csv_recall,dataset_nimda_513_5_rrc04.csv_f1,dataset_nimda_513_5_rrc04.csv_precision,all_files_precision,all_files_recall,all_files_f1
"[0.8011695906432749, 0.7953216374269005, 0.7953216374269005, 0.8011695906432749, 0.8070175438596491, 0.8304093567251462, 0.8421052631578947, 0.8596491228070176, 0.8596491228070176, 0.8713450292397661]","[0.5239005736137667, 0.6153846153846154, 0.6650366748166259, 0.7116883116883117, 0.7320954907161803, 0.7593582887700536, 0.770053475935829, 0.7839999999999999, 0.7839999999999999, 0.7946666666666666]","[0.38920454545454547, 0.5018450184501845, 0.5714285714285714, 0.6401869158878505, 0.6699029126213593, 0.6995073891625616, 0.7093596059113301, 0.7205882352941176, 0.7205882352941176, 0.7303921568627451]",0.8620689655172413,0.03531073446327684,0.06784260515603792
"[0.6046511627906976, 0.6976744186046512, 0.7906976744186046, 0.8837209302325582, 0.8837209302325582, 0.8837209302325582, 0.9069767441860465, 0.9302325581395349, 0.9302325581395349, 0.9302325581395349]","[0.7428571428571429, 0.8000000000000002, 0.8607594936708861, 0.8735632183908046, 0.853932584269663, 0.8444444444444444, 0.8478260869565216, 0.8602150537634408, 0.8602150537634408, 0.8602150537634408]","[0.9629629629629629, 0.9375, 0.9444444444444444, 0.8636363636363636, 0.8260869565217391, 0.8085106382978723, 0.7959183673469388, 0.8, 0.8, 0.8]",0.9438775510204082,0.2612994350282486,0.4092920353982297
"[0.8894783377541998, 0.9177718832891246, 0.9319186560565871, 0.9398762157382847, 0.9513704686118479, 0.9593280282935456, 0.9681697612732095, 0.9787798408488063, 0.9832007073386384, 0.9840848806366048]","[0.8793706293706294, 0.8971477960242005, 0.9125541125541126, 0.9279790484504584, 0.9393278044522043, 0.9475982532751092, 0.9563318777292578, 0.9668122270742359, 0.9724529951902054, 0.9746059544658493]","[0.8694900605012964, 0.8774302620456467, 0.8939779474130619, 0.9163793103448276, 0.9275862068965517, 0.9361518550474547, 0.9447799827437446, 0.9551337359792925, 0.9619377162629758, 0.9653078924544666]",0.9054054054054054,0.7570621468926554,0.8246153846153841
"[0.986784140969163, 0.986784140969163, 0.986784140969163, 0.9823788546255506, 0.9779735682819384, 0.973568281938326, 0.973568281938326, 0.9779735682819384, 0.9779735682819384, 0.9779735682819384]","[0.8280961182994454, 0.8565965583173997, 0.8715953307392997, 0.8745098039215685, 0.8844621513944224, 0.8893360160965794, 0.8911290322580644, 0.8969696969696969, 0.9006085192697769, 0.9079754601226994]","[0.7133757961783439, 0.7567567567567568, 0.7804878048780488, 0.7879858657243817, 0.8072727272727273, 0.8185185185185185, 0.8215613382899628, 0.8283582089552238, 0.8345864661654135, 0.8473282442748091]",1.0,0.2584745762711864,0.4107744107744104
"[0.9973474801061007, 0.9902740937223696, 0.995579133510168, 0.9946949602122016, 0.995579133510168, 0.9929266136162688, 0.995579133510168, 0.9920424403183024, 0.995579133510168, 0.9902740937223696]","[0.8747576580069795, 0.9747606614447346, 0.9591141396933559, 0.9748700173310225, 0.9681857265692174, 0.9769464984775988, 0.9723661485319517, 0.976926425772747, 0.9732065687121867, 0.9798775153105861]","[0.7790055248618785, 0.9597257926306769, 0.9252259654889071, 0.9558198810535259, 0.9422594142259414, 0.961472602739726, 0.950210970464135, 0.9622641509433962, 0.9518174133558749, 0.9696969696969697]",0.9861111111111112,0.501412429378531,0.6647940074906361
"[0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8571428571428571, 0.8857142857142857, 0.8857142857142857]","[0.7142857142857143, 0.75, 0.7792207792207793, 0.8108108108108107, 0.8219178082191781, 0.8450704225352113, 0.8571428571428571, 0.8571428571428571, 0.8732394366197184, 0.8732394366197184]","[0.6122448979591837, 0.6666666666666666, 0.7142857142857143, 0.7692307692307693, 0.7894736842105263, 0.8333333333333334, 0.8571428571428571, 0.8571428571428571, 0.8611111111111112, 0.8611111111111112]",0.9951219512195122,0.288135593220339,0.4468784227820369
"[0.935672514619883, 0.935672514619883, 0.935672514619883, 0.9415204678362573, 0.9415204678362573, 0.9415204678362573, 0.935672514619883, 0.935672514619883, 0.935672514619883, 0.9415204678362573]","[0.8443271767810028, 0.8602150537634409, 0.8648648648648649, 0.8679245283018868, 0.8750000000000001, 0.8726287262872628, 0.8695652173913043, 0.8695652173913043, 0.8719346049046321, 0.8750000000000001]","[0.7692307692307693, 0.7960199004975125, 0.8040201005025126, 0.805, 0.817258883248731, 0.8131313131313131, 0.8121827411167513, 0.8121827411167513, 0.8163265306122449, 0.817258883248731]",0.9558823529411765,0.18361581920903955,0.30805687203791443
"[0.8947368421052632, 0.9210526315789473, 0.9342105263157895, 0.9342105263157895, 0.9342105263157895, 0.9342105263157895, 0.9342105263157895, 0.9342105263157895, 0.9342105263157895, 0.9342105263157895]","[0.912751677852349, 0.9090909090909091, 0.8875000000000001, 0.8819875776397516, 0.8819875776397516, 0.8819875776397516, 0.8819875776397516, 0.8819875776397516, 0.8875000000000001, 0.8875000000000001]","[0.9315068493150684, 0.8974358974358975, 0.8452380952380952, 0.8352941176470589, 0.8352941176470589, 0.8352941176470589, 0.8352941176470589, 0.8352941176470589, 0.8452380952380952, 0.8452380952380952]",0.9283582089552239,0.4392655367231638,0.596356663470757
"[0.9605263157894737, 0.9605263157894737, 0.9605263157894737, 0.9605263157894737, 0.9605263157894737, 0.9605263157894737, 0.9605263157894737, 0.9605263157894737, 0.9605263157894737, 0.9605263157894737]","[0.874251497005988, 0.874251497005988, 0.874251497005988, 0.869047619047619, 0.869047619047619, 0.869047619047619, 0.869047619047619, 0.869047619047619, 0.874251497005988, 0.874251497005988]","[0.8021978021978022, 0.8021978021978022, 0.8021978021978022, 0.7934782608695652, 0.7934782608695652, 0.7934782608695652, 0.7934782608695652, 0.7934782608695652, 0.8021978021978022, 0.8021978021978022]",0.9380804953560371,0.4279661016949153,0.587778855480116
"[0.9885057471264368, 0.9832007073386384, 0.9849690539345711, 0.982316534040672, 0.9858532272325375, 0.9805481874447391, 0.9876215738284704, 0.9787798408488063, 0.9929266136162688, 0.9672855879752431]","[0.9266473269788644, 0.947996589940324, 0.9517300299017514, 0.9610726643598616, 0.9587274290627688, 0.9664488017429193, 0.9608602150537634, 0.9723320158102767, 0.9594190516873131, 0.9715808170515097]","[0.8720748829953198, 0.9152263374485596, 0.9206611570247933, 0.9407281964436918, 0.9330543933054394, 0.9527491408934707, 0.9355108877721943, 0.9659685863874345, 0.928099173553719, 0.975914362176628]",0.9847560975609756,0.4562146892655367,0.6235521235521231
