,accuracy,epoch,lag,precision_0,recall_0,f1_0
dataset_malaysian-telecom_25091_1_rrc04.csv,0.8476388888888889,10.0,20.0,0.13344051446945338,0.8972972972972973,0.2323303009097271
dataset_malaysian-telecom_25091_5_rrc04.csv,0.9340277777777778,10.0,20.0,0.2542372881355932,0.8108108108108109,0.3870967741935484
dataset_malaysian-telecom_25091_1_rrc04.csv,0.025972222222222226,74.0,20.0,0.025701583773270358,1.0,0.05011512935121225
dataset_malaysian-telecom_25091_5_rrc04.csv,0.08541666666666667,74.0,20.0,0.027326440177252585,1.0,0.05319913731128685
dataset_malaysian-telecom_25091_1_rrc04.csv,0.025694444444444443,20.0,20.0,0.025694444444444443,1.0,0.05010155721056195
dataset_malaysian-telecom_25091_5_rrc04.csv,0.06388888888888887,20.0,20.0,0.026714801444043326,1.0,0.05203938115330521
dataset_malaysian-telecom_25091_1_rrc04.csv,0.3775,46.0,20.0,0.039640025712449116,1.0,0.07625721352019785
dataset_malaysian-telecom_25091_5_rrc04.csv,0.7916666666666666,46.0,20.0,0.10979228486646883,1.0,0.19786096256684493
dataset_malaysian-telecom_25091_1_rrc04.csv,0.7605555555555555,11.0,20.0,0.09307244843997883,0.9513513513513514,0.1695568400770713
dataset_malaysian-telecom_25091_5_rrc04.csv,0.9097222222222222,11.0,20.0,0.2,0.8378378378378378,0.3229166666666667
dataset_malaysian-telecom_25091_1_rrc04.csv,0.026944444444444444,65.0,20.0,0.025726602697816715,1.0,0.05016268980477224
dataset_malaysian-telecom_25091_5_rrc04.csv,0.17777777777777778,65.0,20.0,0.030303030303030307,1.0,0.05882352941176471
dataset_malaysian-telecom_25091_1_rrc04.csv,0.026944444444444444,50.0,20.0,0.025726602697816715,1.0,0.05016268980477224
dataset_malaysian-telecom_25091_5_rrc04.csv,0.21388888888888888,50.0,20.0,0.03165098374679213,1.0,0.061359867330016575
dataset_malaysian-telecom_25091_1_rrc04.csv,0.5968055555555556,6.0,20.0,0.0564621409921671,0.9351351351351352,0.10649430594028933
dataset_malaysian-telecom_25091_5_rrc04.csv,0.8361111111111111,6.0,20.0,0.11583011583011585,0.8108108108108109,0.20270270270270271
dataset_malaysian-telecom_25091_1_rrc04.csv,0.025694444444444443,44.0,20.0,0.025694444444444443,1.0,0.05010155721056195
dataset_malaysian-telecom_25091_5_rrc04.csv,0.025694444444444443,44.0,20.0,0.025694444444444443,1.0,0.05010155721056195
dataset_malaysian-telecom_25091_1_rrc04.csv,0.025694444444444443,66.0,20.0,0.025694444444444443,1.0,0.05010155721056195
dataset_malaysian-telecom_25091_5_rrc04.csv,0.057638888888888885,66.0,20.0,0.02654232424677188,1.0,0.0517120894479385
dataset_malaysian-telecom_25091_1_rrc04.csv,0.028333333333333325,69.0,20.0,0.025762428631109877,1.0,0.050230790116752654
dataset_malaysian-telecom_25091_5_rrc04.csv,0.2520833333333333,69.0,20.0,0.03321364452423698,1.0,0.06429192006950478
dataset_malaysian-telecom_25091_1_rrc04.csv,0.04375,99.0,20.0,0.02616690240452617,1.0,0.050999310820124065
dataset_malaysian-telecom_25091_5_rrc04.csv,0.4972222222222222,99.0,20.0,0.04862023653088042,1.0,0.09273182957393483
dataset_malaysian-telecom_25091_1_rrc04.csv,0.02666666666666667,78.0,20.0,0.025719449464757405,1.0,0.05014909189482245
dataset_malaysian-telecom_25091_5_rrc04.csv,0.1736111111111111,78.0,20.0,0.030154849225753868,1.0,0.05854430379746835
dataset_malaysian-telecom_25091_1_rrc04.csv,0.02666666666666667,85.0,20.0,0.025719449464757405,1.0,0.05014909189482245
dataset_malaysian-telecom_25091_5_rrc04.csv,0.12916666666666668,85.0,20.0,0.02865995352439969,1.0,0.05572289156626506
dataset_malaysian-telecom_25091_1_rrc04.csv,0.4963888888888889,2.0,20.0,0.04423841059602649,0.9027027027027028,0.08434343434343435
dataset_malaysian-telecom_25091_5_rrc04.csv,0.7631944444444444,2.0,20.0,0.07303370786516854,0.7027027027027027,0.13231552162849872
dataset_malaysian-telecom_25091_1_rrc04.csv,0.026527777777777782,79.0,20.0,0.02571587433972755,1.0,0.05014229570402493
dataset_malaysian-telecom_25091_5_rrc04.csv,0.12361111111111113,79.0,20.0,0.028483448806774437,1.0,0.055389221556886234
dataset_malaysian-telecom_25091_1_rrc04.csv,0.029166666666666667,75.0,20.0,0.02578397212543554,1.0,0.050271739130434784
dataset_malaysian-telecom_25091_5_rrc04.csv,0.22291666666666668,75.0,20.0,0.03200692041522491,1.0,0.06202849958088851
dataset_malaysian-telecom_25091_1_rrc04.csv,0.02625,67.0,20.0,0.02570872707059477,1.0,0.050128708847039696
dataset_malaysian-telecom_25091_5_rrc04.csv,0.10138888888888888,67.0,20.0,0.027798647633358382,1.0,0.05409356725146199
dataset_malaysian-telecom_25091_1_rrc04.csv,0.025694444444444443,34.0,20.0,0.025694444444444443,1.0,0.05010155721056195
dataset_malaysian-telecom_25091_5_rrc04.csv,0.02708333333333333,34.0,20.0,0.02573018080667594,1.0,0.050169491525423736
dataset_malaysian-telecom_25091_1_rrc04.csv,0.02583333333333333,77.0,20.0,0.025698013613001804,1.0,0.05010834236186349
dataset_malaysian-telecom_25091_5_rrc04.csv,0.10138888888888888,77.0,20.0,0.027798647633358382,1.0,0.05409356725146199
dataset_malaysian-telecom_25091_1_rrc04.csv,0.6693055555555556,13.0,20.0,0.0707584050039093,0.9783783783783784,0.13197229310973385
dataset_malaysian-telecom_25091_5_rrc04.csv,0.8798611111111111,13.0,20.0,0.16,0.8648648648648649,0.27004219409282704
dataset_malaysian-telecom_25091_1_rrc04.csv,0.025694444444444443,30.0,20.0,0.025694444444444443,1.0,0.05010155721056195
dataset_malaysian-telecom_25091_5_rrc04.csv,0.04305555555555556,30.0,20.0,0.026148409893992933,1.0,0.050964187327823686
dataset_malaysian-telecom_25091_1_rrc04.csv,0.11888888888888888,33.0,20.0,0.028335120232807477,1.0,0.05510872803098004
dataset_malaysian-telecom_25091_5_rrc04.csv,0.7305555555555555,33.0,20.0,0.08705882352941176,1.0,0.16017316017316013
