,accuracy,epoch,lag,precision_0,recall_0,f1_0
dataset_aws-leak_15547_1_rrc04.csv,0.6680555555555555,27.0,20.0,0.028466856445709638,0.9859154929577464,0.05533596837944664
dataset_aws-leak_15547_5_rrc04.csv,0.10416666666666667,27.0,20.0,0.011494252873563218,1.0,0.022727272727272724
dataset_aws-leak_34781_1_rrc04.csv,0.9841666666666666,27.0,20.0,0.3812154696132597,0.9718309859154929,0.5476190476190477
dataset_aws-leak_34781_5_rrc04.csv,0.9659722222222222,27.0,20.0,0.21666666666666667,0.8666666666666667,0.3466666666666666
dataset_aws-leak_15547_1_rrc04.csv,0.8690277777777777,17.0,20.0,0.06746031746031746,0.9577464788732394,0.12604263206672842
dataset_aws-leak_15547_5_rrc04.csv,0.6986111111111111,17.0,20.0,0.03131991051454139,0.9333333333333332,0.060606060606060615
dataset_aws-leak_34781_1_rrc04.csv,0.9813888888888888,17.0,20.0,0.3417085427135678,0.9577464788732394,0.5037037037037037
dataset_aws-leak_34781_5_rrc04.csv,0.9708333333333332,17.0,20.0,0.2127659574468085,0.6666666666666666,0.3225806451612903
dataset_aws-leak_15547_1_rrc04.csv,0.9686111111111112,15.0,20.0,0.2280701754385965,0.9154929577464788,0.3651685393258427
dataset_aws-leak_15547_5_rrc04.csv,0.9381944444444444,15.0,20.0,0.10638297872340426,0.6666666666666666,0.18348623853211007
dataset_aws-leak_34781_1_rrc04.csv,0.9858333333333332,15.0,20.0,0.40372670807453415,0.9154929577464788,0.5603448275862069
dataset_aws-leak_34781_5_rrc04.csv,0.9826388888888888,15.0,20.0,0.3076923076923077,0.5333333333333333,0.3902439024390244
dataset_aws-leak_15547_1_rrc04.csv,0.2627777777777778,80.0,20.0,0.013199479457148168,1.0,0.026055045871559632
dataset_aws-leak_15547_5_rrc04.csv,0.025694444444444443,80.0,20.0,0.010578279266572637,1.0,0.0209351011863224
dataset_aws-leak_34781_1_rrc04.csv,0.9840277777777776,80.0,20.0,0.3804347826086957,0.9859154929577464,0.5490196078431373
dataset_aws-leak_34781_5_rrc04.csv,0.9590277777777778,80.0,20.0,0.20270270270270271,1.0,0.3370786516853933
dataset_aws-leak_15547_1_rrc04.csv,0.0525,52.0,20.0,0.010300304656898305,1.0,0.02039058012636416
dataset_aws-leak_15547_5_rrc04.csv,0.022222222222222227,52.0,20.0,0.010541110330288123,1.0,0.02086230876216968
dataset_aws-leak_34781_1_rrc04.csv,0.9158333333333334,52.0,20.0,0.10487444608567208,1.0,0.18983957219251332
dataset_aws-leak_34781_5_rrc04.csv,0.9243055555555556,52.0,20.0,0.12096774193548387,1.0,0.2158273381294964
dataset_aws-leak_15547_1_rrc04.csv,0.4630555555555556,59.0,20.0,0.01803403606807213,1.0,0.035429141716566866
dataset_aws-leak_15547_5_rrc04.csv,0.03125,59.0,20.0,0.010638297872340424,1.0,0.021052631578947368
dataset_aws-leak_34781_1_rrc04.csv,0.9861111111111112,59.0,20.0,0.4131736526946108,0.9718309859154929,0.5798319327731092
dataset_aws-leak_34781_5_rrc04.csv,0.9611111111111112,59.0,20.0,0.2028985507246377,0.9333333333333332,0.33333333333333337
dataset_aws-leak_15547_1_rrc04.csv,0.9734722222222222,7.0,20.0,0.2391304347826087,0.7746478873239436,0.3654485049833887
dataset_aws-leak_15547_5_rrc04.csv,0.9472222222222222,7.0,20.0,0.015873015873015872,0.06666666666666668,0.02564102564102564
dataset_aws-leak_34781_1_rrc04.csv,0.9938888888888888,7.0,20.0,0.651685393258427,0.8169014084507042,0.725
dataset_aws-leak_34781_5_rrc04.csv,0.975,7.0,20.0,0.043478260869565216,0.06666666666666668,0.052631578947368425
dataset_aws-leak_15547_1_rrc04.csv,0.08638888888888889,33.0,20.0,0.010678297488344113,1.0,0.021130952380952382
dataset_aws-leak_15547_5_rrc04.csv,0.025694444444444443,33.0,20.0,0.010578279266572637,1.0,0.0209351011863224
dataset_aws-leak_34781_1_rrc04.csv,0.9775,33.0,20.0,0.30303030303030304,0.9859154929577464,0.4635761589403973
dataset_aws-leak_34781_5_rrc04.csv,0.9576388888888888,33.0,20.0,0.1891891891891892,0.9333333333333332,0.3146067415730337
dataset_aws-leak_15547_1_rrc04.csv,0.9901388888888888,1.0,20.0,0.0,0.0,0.0
dataset_aws-leak_15547_5_rrc04.csv,0.9895833333333334,1.0,20.0,0.0,0.0,0.0
dataset_aws-leak_34781_1_rrc04.csv,0.9901388888888888,1.0,20.0,0.0,0.0,0.0
dataset_aws-leak_34781_5_rrc04.csv,0.9895833333333334,1.0,20.0,0.0,0.0,0.0
dataset_aws-leak_15547_1_rrc04.csv,0.06236111111111111,99.0,20.0,0.010407505130460277,1.0,0.02060060931379661
dataset_aws-leak_15547_5_rrc04.csv,0.015277777777777776,99.0,20.0,0.0104675505931612,1.0,0.02071823204419889
dataset_aws-leak_34781_1_rrc04.csv,0.9575,99.0,20.0,0.18666666666666668,0.9859154929577464,0.31390134529147984
dataset_aws-leak_34781_5_rrc04.csv,0.9277777777777778,99.0,20.0,0.12605042016806722,1.0,0.22388059701492535
dataset_aws-leak_15547_1_rrc04.csv,0.9920833333333332,9.0,20.0,0.5744680851063829,0.7605633802816901,0.6545454545454545
dataset_aws-leak_15547_5_rrc04.csv,0.9736111111111112,9.0,20.0,0.0,0.0,0.0
dataset_aws-leak_34781_1_rrc04.csv,0.9948611111111112,9.0,20.0,0.7073170731707317,0.8169014084507042,0.7581699346405228
dataset_aws-leak_34781_5_rrc04.csv,0.9770833333333332,9.0,20.0,0.05,0.06666666666666668,0.05714285714285715
dataset_aws-leak_15547_1_rrc04.csv,0.6831944444444444,42.0,20.0,0.029787234042553193,0.9859154929577464,0.05782734407269724
dataset_aws-leak_15547_5_rrc04.csv,0.061805555555555565,42.0,20.0,0.010980966325036605,1.0,0.02172338884866039
dataset_aws-leak_34781_1_rrc04.csv,0.9866666666666668,42.0,20.0,0.4233128834355828,0.9718309859154929,0.5897435897435898
dataset_aws-leak_34781_5_rrc04.csv,0.9652777777777778,42.0,20.0,0.2222222222222222,0.9333333333333332,0.35897435897435903
dataset_aws-leak_15547_1_rrc04.csv,0.6733333333333333,67.0,20.0,0.02891367203634862,0.9859154929577464,0.05617977528089888
dataset_aws-leak_15547_5_rrc04.csv,0.04513888888888889,67.0,20.0,0.01079136690647482,1.0,0.02135231316725979
dataset_aws-leak_34781_1_rrc04.csv,0.9876388888888888,67.0,20.0,0.4423076923076923,0.9718309859154929,0.6079295154185023
dataset_aws-leak_34781_5_rrc04.csv,0.9645833333333332,67.0,20.0,0.21875,0.9333333333333332,0.35443037974683544
dataset_aws-leak_15547_1_rrc04.csv,0.09875,79.0,20.0,0.010823170731707316,1.0,0.021414567938470817
dataset_aws-leak_15547_5_rrc04.csv,0.022222222222222227,79.0,20.0,0.010541110330288123,1.0,0.02086230876216968
dataset_aws-leak_34781_1_rrc04.csv,0.9711111111111111,79.0,20.0,0.2527075812274368,0.9859154929577464,0.4022988505747126
dataset_aws-leak_34781_5_rrc04.csv,0.9534722222222224,79.0,20.0,0.18292682926829268,1.0,0.30927835051546393
dataset_aws-leak_15547_1_rrc04.csv,0.3848611111111111,25.0,20.0,0.015777777777777783,1.0,0.031065412382410857
dataset_aws-leak_15547_5_rrc04.csv,0.05625,25.0,20.0,0.010917030567685587,1.0,0.02159827213822894
dataset_aws-leak_34781_1_rrc04.csv,0.9768055555555556,25.0,20.0,0.2948717948717949,0.9718309859154929,0.4524590163934426
dataset_aws-leak_34781_5_rrc04.csv,0.9625,25.0,20.0,0.2,0.8666666666666667,0.325
dataset_aws-leak_15547_1_rrc04.csv,0.6876388888888889,39.0,20.0,0.030198446937014668,0.9859154929577464,0.05860192549183759
dataset_aws-leak_15547_5_rrc04.csv,0.05069444444444445,39.0,20.0,0.01085383502170767,1.0,0.02147458840372226
dataset_aws-leak_34781_1_rrc04.csv,0.9861111111111112,39.0,20.0,0.4131736526946108,0.9718309859154929,0.5798319327731092
dataset_aws-leak_34781_5_rrc04.csv,0.9645833333333332,39.0,20.0,0.21875,0.9333333333333332,0.35443037974683544
dataset_aws-leak_15547_1_rrc04.csv,0.09430555555555556,89.0,20.0,0.010770631067961164,1.0,0.021311721446795738
dataset_aws-leak_15547_5_rrc04.csv,0.018055555555555557,89.0,20.0,0.010496850944716585,1.0,0.02077562326869806
dataset_aws-leak_34781_1_rrc04.csv,0.9738888888888888,89.0,20.0,0.2723735408560311,0.9859154929577464,0.4268292682926829
dataset_aws-leak_34781_5_rrc04.csv,0.9548611111111112,89.0,20.0,0.1875,1.0,0.3157894736842105
dataset_aws-leak_15547_1_rrc04.csv,0.9905555555555556,8.0,20.0,0.5142857142857142,0.7605633802816901,0.6136363636363636
dataset_aws-leak_15547_5_rrc04.csv,0.9701388888888888,8.0,20.0,0.0,0.0,0.0
dataset_aws-leak_34781_1_rrc04.csv,0.9948611111111112,8.0,20.0,0.7073170731707317,0.8169014084507042,0.7581699346405228
dataset_aws-leak_34781_5_rrc04.csv,0.9763888888888888,8.0,20.0,0.047619047619047616,0.06666666666666668,0.05555555555555555
dataset_aws-leak_15547_1_rrc04.csv,0.9901388888888888,2.0,20.0,0.0,0.0,0.0
dataset_aws-leak_15547_5_rrc04.csv,0.9895833333333334,2.0,20.0,0.0,0.0,0.0
dataset_aws-leak_34781_1_rrc04.csv,0.9901388888888888,2.0,20.0,0.0,0.0,0.0
dataset_aws-leak_34781_5_rrc04.csv,0.9895833333333334,2.0,20.0,0.0,0.0,0.0
dataset_aws-leak_15547_1_rrc04.csv,0.2613888888888889,61.0,20.0,0.01317498608276118,1.0,0.026007326007326
dataset_aws-leak_15547_5_rrc04.csv,0.026388888888888892,61.0,20.0,0.01058574453069866,1.0,0.02094972067039106
dataset_aws-leak_34781_1_rrc04.csv,0.98375,61.0,20.0,0.3763440860215054,0.9859154929577464,0.5447470817120622
dataset_aws-leak_34781_5_rrc04.csv,0.9604166666666668,61.0,20.0,0.20833333333333331,1.0,0.3448275862068966
dataset_aws-leak_15547_1_rrc04.csv,0.9697222222222224,10.0,20.0,0.22053231939163495,0.8169014084507042,0.34730538922155685
dataset_aws-leak_15547_5_rrc04.csv,0.9451388888888888,10.0,20.0,0.042857142857142864,0.2,0.07058823529411765
dataset_aws-leak_34781_1_rrc04.csv,0.9943055555555556,10.0,20.0,0.6630434782608695,0.8591549295774648,0.7484662576687117
dataset_aws-leak_34781_5_rrc04.csv,0.9777777777777776,10.0,20.0,0.13043478260869565,0.2,0.15789473684210528
dataset_aws-leak_15547_1_rrc04.csv,0.5202777777777777,37.0,20.0,0.02014184397163121,1.0,0.039488320355951054
dataset_aws-leak_15547_5_rrc04.csv,0.04166666666666666,37.0,20.0,0.010752688172043013,1.0,0.021276595744680854
dataset_aws-leak_34781_1_rrc04.csv,0.9841666666666666,37.0,20.0,0.3812154696132597,0.9718309859154929,0.5476190476190477
dataset_aws-leak_34781_5_rrc04.csv,0.9638888888888888,37.0,20.0,0.2153846153846154,0.9333333333333332,0.3500000000000001
dataset_aws-leak_15547_1_rrc04.csv,0.08513888888888889,50.0,20.0,0.010663863021928508,1.0,0.0211026898499034
dataset_aws-leak_15547_5_rrc04.csv,0.02291666666666666,50.0,20.0,0.010548523206751054,1.0,0.020876826722338204
dataset_aws-leak_34781_1_rrc04.csv,0.97375,50.0,20.0,0.2713178294573643,0.9859154929577464,0.42553191489361697
dataset_aws-leak_34781_5_rrc04.csv,0.9583333333333334,50.0,20.0,0.2,1.0,0.33333333333333337
dataset_aws-leak_15547_1_rrc04.csv,0.5309722222222222,98.0,20.0,0.020591647331786544,1.0,0.040352372833191236
dataset_aws-leak_15547_5_rrc04.csv,0.029166666666666667,98.0,20.0,0.010615711252653929,1.0,0.021008403361344536
dataset_aws-leak_34781_1_rrc04.csv,0.9856944444444444,98.0,20.0,0.4058823529411765,0.9718309859154929,0.5726141078838175
dataset_aws-leak_34781_5_rrc04.csv,0.9611111111111112,98.0,20.0,0.2028985507246377,0.9333333333333332,0.33333333333333337
dataset_aws-leak_15547_1_rrc04.csv,0.6727777777777778,45.0,20.0,0.0288659793814433,0.9859154929577464,0.0560897435897436
dataset_aws-leak_15547_5_rrc04.csv,0.056944444444444436,45.0,20.0,0.010924981791697014,1.0,0.021613832853025938
dataset_aws-leak_34781_1_rrc04.csv,0.9865277777777778,45.0,20.0,0.4207317073170732,0.9718309859154929,0.5872340425531914
dataset_aws-leak_34781_5_rrc04.csv,0.9645833333333332,45.0,20.0,0.21875,0.9333333333333332,0.35443037974683544
dataset_aws-leak_15547_1_rrc04.csv,0.26166666666666666,93.0,20.0,0.013179877482829032,1.0,0.026016855991205567
dataset_aws-leak_15547_5_rrc04.csv,0.02430555555555556,93.0,20.0,0.01056338028169014,1.0,0.02090592334494773
dataset_aws-leak_34781_1_rrc04.csv,0.9811111111111112,93.0,20.0,0.3414634146341464,0.9859154929577464,0.5072463768115942
dataset_aws-leak_34781_5_rrc04.csv,0.95625,93.0,20.0,0.19230769230769232,1.0,0.3225806451612904
dataset_aws-leak_15547_1_rrc04.csv,0.10694444444444444,44.0,20.0,0.01092139670819874,1.0,0.02160681679853926
dataset_aws-leak_15547_5_rrc04.csv,0.025,44.0,20.0,0.010570824524312895,1.0,0.02092050209205021
dataset_aws-leak_34781_1_rrc04.csv,0.9769444444444444,44.0,20.0,0.2978723404255319,0.9859154929577464,0.457516339869281
