,announcements,as_path_max,dups,imp_wd,nlri_ann,origin_0,origin_1,timestamp,timestamp2,wd_dups,withdrawals
0,524,12,49,163,113,195,0,2001-09-17 00:09:32,1000685372,21,168
1,631,13,28,301,176,275,0,2001-09-17 00:14:32,1000685672,7,90
2,453,10,41,187,119,173,0,2001-09-17 00:19:32,1000685972,3,100
3,764,10,96,223,182,267,0,2001-09-17 00:24:32,1000686272,76,199
4,977,14,41,597,272,380,0,2001-09-17 00:29:32,1000686572,8,152
5,588,15,59,304,130,240,0,2001-09-17 00:34:32,1000686872,6,71
6,587,13,33,391,149,230,0,2001-09-17 00:39:32,1000687172,9,116
7,581,18,35,362,171,283,0,2001-09-17 00:44:32,1000687472,6,93
8,934,19,30,504,267,347,0,2001-09-17 00:49:32,1000687772,46,182
9,947,13,27,471,285,320,0,2001-09-17 00:54:32,1000688072,12,94
10,893,14,15,409,245,262,0,2001-09-17 00:59:32,1000688372,25,232
11,719,15,121,392,218,258,0,2001-09-17 01:04:32,1000688672,4,95
12,1346,12,55,767,336,387,0,2001-09-17 01:09:32,1000688972,31,132
13,962,10,76,503,269,251,0,2001-09-17 01:14:32,1000689272,72,470
14,296,12,29,177,89,169,0,2001-09-17 01:19:32,1000689572,4,54
15,559,17,35,280,166,171,0,2001-09-17 01:24:32,1000689872,1,34
16,836,14,32,367,218,269,0,2001-09-17 01:29:32,1000690172,1,89
17,507,15,28,321,155,226,0,2001-09-17 01:34:32,1000690472,34,171
18,873,14,39,412,350,367,0,2001-09-17 01:39:32,1000690772,38,221
19,638,13,65,361,179,254,0,2001-09-17 01:44:32,1000691072,24,172
20,795,12,30,351,179,279,0,2001-09-17 01:49:32,1000691372,16,108
21,502,13,21,291,159,197,0,2001-09-17 01:54:32,1000691672,15,109
22,4593,13,18,2356,2221,516,0,2001-09-17 01:59:32,1000691972,7,72
23,468,11,35,222,155,236,0,2001-09-17 02:04:32,1000692272,13,122
24,328,11,19,191,127,180,0,2001-09-17 02:09:32,1000692572,4,39
25,441,10,37,277,122,192,0,2001-09-17 02:14:32,1000692872,7,58
26,538,12,27,251,212,235,0,2001-09-17 02:19:32,1000693172,3,95
27,671,13,37,323,271,280,0,2001-09-17 02:24:32,1000693472,15,78
28,422,14,36,221,125,249,0,2001-09-17 02:29:32,1000693772,13,60
29,917,14,66,512,282,399,0,2001-09-17 02:34:32,1000694072,12,101
30,519,14,20,317,176,278,0,2001-09-17 02:39:32,1000694372,9,90
31,483,14,16,358,113,258,0,2001-09-17 02:44:32,1000694672,9,71
32,598,14,46,367,237,313,0,2001-09-17 02:49:32,1000694972,11,95
33,1023,14,86,716,255,465,0,2001-09-17 02:54:32,1000695272,12,152
34,480,12,54,301,154,270,0,2001-09-17 02:59:32,1000695572,4,69
35,1077,14,39,497,251,337,0,2001-09-17 03:04:32,1000695872,10,157
36,826,14,52,602,193,314,0,2001-09-17 03:09:32,1000696172,20,179
37,682,12,30,426,177,287,0,2001-09-17 03:14:32,1000696472,3,112
38,715,12,46,345,385,267,0,2001-09-17 03:19:32,1000696772,4,95
39,1086,13,173,634,308,383,0,2001-09-17 03:24:32,1000697072,12,197
40,948,10,71,583,198,336,0,2001-09-17 03:29:32,1000697372,21,143
41,526,12,41,406,295,251,0,2001-09-17 03:34:32,1000697672,12,59
42,471,15,29,313,110,236,0,2001-09-17 03:39:32,1000697972,5,105
43,383,18,21,260,101,220,2,2001-09-17 03:44:32,1000698272,5,100
44,805,13,54,508,174,415,0,2001-09-17 03:49:32,1000698572,7,108
45,574,12,44,400,177,284,0,2001-09-17 03:54:32,1000698872,7,126
46,826,12,39,468,290,322,0,2001-09-17 03:59:32,1000699172,9,140
47,859,12,36,545,334,313,0,2001-09-17 04:04:32,1000699472,20,170
48,755,14,98,402,186,224,0,2001-09-17 04:09:32,1000699772,12,139
49,806,14,41,526,175,365,0,2001-09-17 04:14:32,1000700072,3,147
50,569,14,50,273,163,236,0,2001-09-17 04:19:32,1000700372,3,134
