,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_dict_9,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,edit_distance_unique_dict_9,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
0,157,63,583,5,17,0,212,0.9327272727272728,220,210,0,86,14,15,4,0,0,0,1,9,220,210,0,86,14,15,4,0,0,0,1,4,326,322,4,8,32,341,0,320,0,0.0,0,2015-06-10 00:05:00,1433894700,5,8,1,60
1,135,155,678,6,15,0,137,1.4216867469879515,153,297,0,152,19,10,5,0,6,19,3,9,153,297,0,152,19,10,5,0,6,19,3,13,482,479,3,32,14,367,0,299,0,0.0,0,2015-06-10 00:10:00,1433895000,6,8,0,48
2,114,56,709,3,11,0,224,0.8760683760683761,248,351,0,76,14,4,4,3,0,2,0,8,248,351,0,76,14,4,4,3,0,2,0,1,449,426,23,28,7,332,0,336,0,0.0,0,2015-06-10 00:15:00,1433895300,3,7,0,41
3,52,64,422,8,14,0,81,1.2444987775061125,94,195,0,80,29,1,4,4,0,1,0,11,94,195,0,80,29,1,4,4,0,1,0,8,306,301,5,14,13,288,47,252,0,0.1113744075829384,3,2015-06-10 00:20:00,1433895600,8,9,0,49
4,71,85,393,5,14,0,85,1.370757180156658,95,169,1,79,18,5,1,6,7,0,0,12,95,169,1,79,18,5,1,6,7,0,0,8,252,250,2,38,9,263,69,236,0,0.17557251908396945,4,2015-06-10 00:25:00,1433895900,5,10,0,47
5,82,78,586,4,14,0,213,1.1557522123893806,226,208,0,55,39,9,1,19,6,1,0,13,226,208,0,55,39,9,1,19,6,1,0,9,331,327,4,12,21,404,93,287,0,0.15870307167235495,3,2015-06-10 00:30:00,1433896200,4,8,0,87
6,64,57,408,6,15,0,67,1.2379746835443035,95,197,0,62,24,10,2,0,2,1,0,13,95,197,0,62,24,10,2,0,2,1,0,4,275,251,24,49,13,244,48,236,0,0.1176470588235294,3,2015-06-10 00:35:00,1433896500,6,7,0,33
7,189,151,542,3,12,0,64,1.8026070763500928,77,256,0,68,40,42,43,7,2,1,1,9,77,256,0,68,40,42,43,7,2,1,1,8,442,437,5,23,5,273,38,279,0,0.07011070110701106,3,2015-06-10 00:40:00,1433896800,3,9,0,28
8,43,98,288,5,13,0,39,1.737410071942446,41,101,0,63,61,5,1,1,2,2,0,12,41,101,0,63,61,5,1,1,2,2,0,0,223,221,2,16,10,198,35,173,0,0.12152777777777778,4,2015-06-10 00:45:00,1433897100,5,7,0,8
9,461,62,1254,4,16,0,280,1.0582995951417005,340,737,4,64,36,34,6,1,6,0,0,14,340,737,4,64,36,34,6,1,6,0,0,2,939,881,58,14,19,743,59,392,0,0.04704944178628389,3,2015-06-10 00:50:00,1433897400,4,7,0,48
10,411,256,1282,7,17,0,180,2.494901960784314,225,580,4,197,35,73,11,4,6,8,0,14,225,580,4,197,35,73,11,4,6,8,0,4,1058,1017,41,33,6,709,66,471,0,0.0514820592823713,3,2015-06-10 00:55:00,1433897700,6,8,0,305
11,193,188,596,5,11,0,38,1.5651438240270727,49,421,8,53,23,16,6,0,2,3,1,14,49,421,8,53,23,16,6,0,2,3,1,6,507,502,5,40,5,301,45,279,0,0.07550335570469799,3,2015-06-10 01:00:00,1433898000,5,7,0,53
12,166,230,560,4,10,0,45,1.5369369369369368,54,287,0,118,62,29,3,1,1,0,0,7,54,287,0,118,62,29,3,1,1,0,0,3,478,473,5,29,5,274,21,250,0,0.0375,2,2015-06-10 01:05:00,1433898300,4,7,0,21
13,125,90,368,5,19,0,51,1.4180327868852458,65,187,0,83,11,3,1,9,3,2,1,16,65,187,0,83,11,3,1,9,3,2,1,4,283,273,10,28,2,231,39,217,0,0.10597826086956523,3,2015-06-10 01:10:00,1433898600,4,8,0,67
14,130,124,498,6,12,0,93,1.131578947368421,163,186,0,101,25,14,1,2,1,0,0,16,163,186,0,101,25,14,1,2,1,0,0,5,350,285,65,46,4,246,23,224,0,0.046184738955823285,4,2015-06-10 01:15:00,1433898900,6,7,0,51
15,279,346,990,6,14,0,60,1.2299898682877406,67,754,0,108,25,24,0,0,4,4,0,13,67,754,0,108,25,24,0,0,4,4,0,4,850,847,3,73,3,634,30,309,0,0.030303030303030307,2,2015-06-10 01:20:00,1433899200,6,8,0,33
16,57,48,270,6,12,0,74,1.181818181818182,83,106,0,34,14,9,2,0,3,2,0,8,83,106,0,34,14,9,2,0,3,2,0,5,160,156,4,14,17,189,15,184,0,0.05555555555555555,2,2015-06-10 01:25:00,1433899500,6,9,0,24
17,147,103,422,6,10,0,34,1.2270531400966185,46,276,0,59,19,13,1,0,0,0,0,5,46,276,0,59,19,13,1,0,0,0,0,3,355,346,9,22,8,209,36,216,0,0.08530805687203792,3,2015-06-10 01:30:00,1433899800,6,8,0,22
18,77,97,492,6,17,0,67,1.146938775510204,133,239,0,89,12,5,3,4,1,1,0,12,133,239,0,89,12,5,3,4,1,1,0,10,402,346,56,11,2,257,38,312,0,0.07723577235772358,3,2015-06-10 01:35:00,1433900100,6,8,0,19
19,96,53,299,7,16,0,40,1.5833333333333333,51,139,1,58,19,6,3,6,0,1,0,14,51,139,1,58,19,6,3,6,0,1,0,7,229,225,4,12,11,166,29,215,0,0.09698996655518397,2,2015-06-10 01:40:00,1433900400,7,7,0,66
20,219,269,923,3,22,0,204,1.133408071748879,252,443,4,133,33,11,6,5,0,0,0,13,252,443,4,133,33,11,6,5,0,0,0,35,624,611,13,29,31,354,36,351,0,0.0390032502708559,2,2015-06-10 01:45:00,1433900700,3,7,0,62
21,108,84,319,4,9,0,38,1.4465408805031446,50,173,4,51,26,5,7,2,0,0,0,10,50,173,4,51,26,5,7,2,0,0,0,6,253,248,5,21,1,177,23,190,0,0.07210031347962383,3,2015-06-10 01:50:00,1433901000,4,7,0,63
22,605,512,1610,6,20,0,329,3.954317897371715,383,440,0,240,35,24,2,2,2,4,0,12,383,440,0,240,35,24,2,2,2,4,0,50,1190,1186,4,29,12,733,99,515,0,0.06149068322981367,3,2015-06-10 01:55:00,1433901300,6,7,0,107
23,259,79,677,4,17,0,73,1.6759259259259258,141,301,4,74,68,34,4,2,3,0,0,12,141,301,4,74,68,34,4,2,3,0,0,60,493,486,7,22,29,346,54,375,0,0.07976366322008863,3,2015-06-10 02:00:00,1433901600,4,8,0,99
24,79,128,410,5,11,0,38,1.3787128712871286,110,171,0,44,58,4,4,6,4,3,0,8,110,171,0,44,58,4,4,6,4,3,0,60,240,230,10,66,6,208,17,258,0,0.04146341463414634,2,2015-06-10 02:05:00,1433901900,5,7,0,100
25,158,208,687,3,15,0,34,1.902941176470588,80,292,0,152,85,38,9,7,0,0,0,12,80,292,0,152,85,38,9,7,0,0,0,35,560,551,9,51,7,359,31,334,0,0.045123726346433767,3,2015-06-10 02:10:00,1433902200,3,8,0,71
26,282,73,768,5,17,0,230,1.3404825737265416,269,287,0,111,38,5,2,2,5,0,0,13,269,287,0,111,38,5,2,2,5,0,0,32,462,456,6,22,22,573,24,348,0,0.03125,3,2015-06-10 02:15:00,1433902500,5,10,0,60
27,705,982,2797,8,23,0,123,3.820466786355476,141,719,179,926,209,93,12,16,127,10,18,17,141,719,179,926,209,93,12,16,127,10,18,14,2274,2271,3,374,12,1824,66,796,0,0.02359671076153021,3,2015-06-10 02:20:00,1433902800,6,8,0,197
28,1505,477,2552,5,25,0,245,3.895874263261297,272,829,24,242,189,147,56,268,74,40,5,16,272,829,24,242,189,147,56,268,74,40,5,8,2228,2210,18,64,7,1435,36,850,0,0.014106583072100312,3,2015-06-10 02:25:00,1433903100,4,9,0,164
29,225,99,642,6,12,0,145,1.2278481012658229,156,333,0,74,34,4,16,11,1,3,0,8,156,333,0,74,34,4,16,11,1,3,0,2,464,455,9,21,10,452,23,314,0,0.03582554517133956,2,2015-06-10 02:30:00,1433903400,6,8,0,55
30,135,185,773,3,14,0,106,1.468586387434555,174,389,0,87,40,5,6,60,1,0,0,11,174,389,0,87,40,5,6,60,1,0,0,16,618,566,52,24,9,545,30,286,0,0.038809831824062085,2,2015-06-10 02:35:00,1433903700,3,7,0,44
31,263,375,1442,5,16,0,193,1.7852675469075747,234,763,10,191,63,54,5,70,11,5,16,15,234,763,10,191,63,54,5,70,11,5,16,22,1137,1118,19,87,3,1070,35,468,0,0.02427184466019417,2,2015-06-10 02:40:00,1433904000,5,8,0,41
32,511,402,1368,5,18,0,258,1.487894350696992,279,353,2,639,37,31,7,6,5,0,4,10,279,353,2,639,37,31,7,6,5,0,4,19,1066,1064,2,20,5,779,120,567,0,0.08771929824561403,4,2015-06-10 02:45:00,1433904300,5,9,0,116
33,85,194,977,3,13,0,459,1.7160493827160497,594,132,2,80,32,6,10,18,4,0,0,16,594,132,2,80,32,6,10,18,4,0,0,94,400,359,41,19,5,802,40,305,0,0.040941658137154564,2,2015-06-10 02:50:00,1433904600,3,9,0,53
34,74,713,1187,5,13,0,172,3.536708860759494,233,310,12,323,64,7,15,11,46,5,2,17,233,310,12,323,64,7,15,11,46,5,2,9,928,877,51,76,2,1030,42,431,0,0.03538331929233361,4,2015-06-10 02:55:00,1433904900,5,7,0,16
35,162,119,621,5,13,0,139,1.4290322580645158,163,271,1,75,67,6,9,19,4,4,0,11,163,271,1,75,67,6,9,19,4,4,0,6,457,441,16,18,1,420,39,324,0,0.06280193236714976,3,2015-06-10 03:00:00,1433905200,5,7,0,38
36,120,177,756,4,13,0,140,1.437751004016064,161,348,2,133,52,2,20,27,2,0,0,10,161,348,2,133,52,2,20,27,2,0,0,8,592,579,13,7,9,458,21,302,0,0.027777777777777776,3,2015-06-10 03:05:00,1433905500,4,8,0,79
37,178,100,1067,7,12,0,275,0.9737089201877934,281,638,1,91,27,14,9,3,1,0,0,10,281,638,1,91,27,14,9,3,1,0,0,5,698,697,1,87,2,580,44,296,0,0.041237113402061855,3,2015-06-10 03:10:00,1433905800,7,7,0,61
38,74,55,307,11,12,0,48,1.6319218241042346,104,91,10,50,30,1,10,11,0,0,0,10,104,91,10,50,30,1,10,11,0,0,0,2,239,185,54,18,0,158,9,177,0,0.02931596091205212,2,2015-06-10 03:15:00,1433906100,5,8,0,34
39,348,469,1791,3,12,0,643,0.8772421524663677,656,814,0,247,44,3,14,0,5,1,0,8,656,814,0,247,44,3,14,0,5,1,0,9,1101,1097,4,31,7,1190,80,415,0,0.0446677833612507,2,2015-06-10 03:20:00,1433906400,3,7,0,47
40,268,140,895,5,18,0,220,1.1459034792368126,268,355,0,202,42,4,8,7,2,3,0,8,268,355,0,202,42,4,8,7,2,3,0,9,620,581,39,42,4,643,18,616,0,0.02011173184357542,2,2015-06-10 03:25:00,1433906700,5,8,0,46
41,215,114,3044,13,22,0,267,1.1044678055190538,326,2372,0,219,61,32,6,20,1,4,0,20,326,2372,0,219,61,32,6,20,1,4,0,8,2743,2693,50,26,0,2765,713,1228,0,0.23423127463863336,3,2015-06-10 03:30:00,1433907000,5,8,0,60
42,216,66,640,5,12,0,158,1.0471698113207548,196,291,0,111,21,7,6,0,2,0,2,9,196,291,0,111,21,7,6,0,2,0,2,36,419,417,2,23,4,474,0,277,0,0.0,0,2015-06-10 03:35:00,1433907300,5,7,0,64
43,272,289,1003,4,13,0,101,1.3313313313313313,116,578,1,235,40,5,13,10,1,0,0,10,116,578,1,235,40,5,13,10,1,0,0,14,859,858,1,25,4,560,0,365,0,0.0,0,2015-06-10 03:40:00,1433907600,4,7,0,59
44,223,228,928,4,15,0,203,1.4004352557127313,210,427,0,161,74,6,7,3,15,10,6,9,210,427,0,161,74,6,7,3,15,10,6,4,656,654,2,56,9,553,0,417,0,0.0,0,2015-06-10 03:45:00,1433907900,4,7,0,49
45,155,173,711,6,13,0,44,2.007645259938838,55,356,2,81,54,5,23,72,3,2,1,10,55,356,2,81,54,5,23,72,3,2,1,2,572,563,9,36,57,399,0,345,0,0.0,0,2015-06-10 03:50:00,1433908200,3,8,0,15
46,133,192,798,4,18,0,46,1.4131652661064429,123,336,0,176,15,56,4,0,0,4,0,8,123,336,0,176,15,56,4,0,0,4,0,2,630,555,75,36,84,454,0,261,0,0.0,0,2015-06-10 03:55:00,1433908500,4,6,0,90
47,107,104,598,5,14,0,59,1.7826825127334465,64,237,0,189,47,28,5,6,0,5,5,12,64,237,0,189,47,28,5,6,0,5,5,2,497,494,3,31,9,331,0,311,0,0.0,0,2015-06-10 04:00:00,1433908800,4,7,0,36
48,75,81,413,4,12,0,93,1.1679012345679012,183,98,0,73,29,6,4,5,0,4,0,12,183,98,0,73,29,6,4,5,0,4,0,14,282,213,69,16,8,269,0,220,0,0.0,0,2015-06-10 04:05:00,1433909100,4,8,0,18
49,247,190,794,4,13,0,100,1.5714285714285714,113,320,1,261,53,12,13,14,0,3,0,11,113,320,1,261,53,12,13,14,0,3,0,9,658,656,2,24,3,391,10,325,0,0.012594458438287154,2,2015-06-10 04:10:00,1433909400,4,9,0,35
50,173,129,612,7,14,0,63,1.7166392092257,83,314,0,104,51,15,1,20,8,0,0,12,83,314,0,104,51,15,1,20,8,0,0,16,479,475,4,49,5,298,30,355,0,0.04901960784313725,2,2015-06-10 04:15:00,1433909700,7,7,0,92
51,909,985,4177,6,13,0,911,1.1049101796407186,939,2124,0,938,135,14,7,13,1,4,0,8,939,2124,0,938,135,14,7,13,1,4,0,10,3200,3182,18,54,2,2420,231,1475,0,0.05530284893464209,2,2015-06-10 04:20:00,1433910000,6,7,0,70
