,ann_to_longer,ann_to_shorter,announcements,as_path_avg,as_path_max,class,dups,edit_distance_avg,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_10,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_dict_7,edit_distance_dict_8,edit_distance_max,edit_distance_unique_dict_0,edit_distance_unique_dict_1,edit_distance_unique_dict_10,edit_distance_unique_dict_2,edit_distance_unique_dict_3,edit_distance_unique_dict_4,edit_distance_unique_dict_5,edit_distance_unique_dict_6,edit_distance_unique_dict_7,edit_distance_unique_dict_8,flaps,imp_wd,imp_wd_dpath,imp_wd_spath,nadas,news,nlri_ann,number_rare_ases,origin_0,origin_1,origin_2,origin_changes,rare_ases_avg,rare_ases_max,timestamp,timestamp2,unique_as_path_avg,unique_as_path_max,wd_dups,withdrawals
23,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2001-10-04 22:08:18,1002233298,0,0,0,0
24,0,0,2,4,3,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,2,0,0,0,0.0,0,2001-10-04 22:13:18,1002233598,4,3,0,1
25,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2001-10-04 22:18:18,1002233898,0,0,0,24
26,0,0,1,4,4,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0,2001-10-04 22:23:18,1002234198,8,4,0,0
27,0,0,42,7,7,0,0,0.0,42,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,39,0,0,0,3,0,42,0,19,0,1,0,0.0,0,2001-10-04 22:28:18,1002234498,5,5,0,21
28,1,4,7,3,4,0,1,1.8333333333333333,1,2,0,0,3,0,0,0,0,0,3,1,2,0,0,3,0,0,0,0,0,0,5,5,0,0,1,6,0,5,0,0,0,0.0,0,2001-10-04 22:33:18,1002234798,3,4,0,0
29,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2001-10-04 22:38:18,1002235098,0,0,0,1
30,0,0,10,5,5,0,0,0.0,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,1,0,1,3,1,7,0,9,0,0,0,0.0,0,2001-10-04 22:43:18,1002235398,4,4,0,14
31,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2001-10-04 22:48:18,1002235698,0,0,1,1
32,0,0,18,3,4,0,2,0.0,18,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,10,5,0,5,1,0,17,0,6,0,0,0,0.0,0,2001-10-04 22:53:18,1002235998,3,4,0,11
33,0,0,2,11,9,0,0,0.0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0.0,0,2001-10-04 22:58:18,1002236298,7,5,0,2
34,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2001-10-04 23:03:18,1002236598,0,0,0,0
35,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2001-10-04 23:08:18,1002236898,0,0,0,0
36,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2001-10-04 23:13:18,1002237198,0,0,0,0
37,0,0,2,7,6,0,0,0.0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0.0,0,2001-10-04 23:18:18,1002237498,6,4,0,2
38,0,0,41,3,8,0,0,0.0,41,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,38,0,0,0,3,0,41,0,19,0,1,0,0.0,0,2001-10-04 23:23:18,1002237798,3,5,0,43
39,0,0,4,5,9,0,1,0.0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,3,0,0,0,0.0,0,2001-10-04 23:28:18,1002238098,5,5,0,2
40,0,0,1,2,2,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0.0,0,2001-10-04 23:33:18,1002238398,4,2,0,1
41,0,0,14,6,6,0,1,0.0,14,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,13,0,3,0,0,0,0.0,0,2001-10-04 23:38:18,1002238698,2,6,0,13
42,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2001-10-04 23:43:18,1002238998,0,0,0,0
43,0,0,5,5,5,0,0,0.0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,5,0,3,0,0,0,0.0,0,2001-10-04 23:48:18,1002239298,4,4,0,5
44,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2001-10-04 23:53:18,1002239598,0,0,0,0
