,announcements,as_path_max,dups,imp_wd,nlri_ann,origin_0,origin_1,timestamp,timestamp2,wd_dups,withdrawals
78,904,15,51,466.0,289,295,0,2001-07-17 06:39:52,995351992,9,260
79,1155,17,41,646.0,302,351,0,2001-07-17 06:44:52,995352292,22,259
80,1613,19,105,1128.0,276,475,0,2001-07-17 06:49:52,995352592,11,344
81,1581,14,21,1169.0,383,404,0,2001-07-17 06:54:52,995352892,18,365
82,1807,15,24,863.0,998,429,0,2001-07-17 06:59:52,995353192,8,526
83,2481,15,88,1472.0,728,675,0,2001-07-17 07:04:52,995353492,41,455
84,2429,15,64,1332.0,828,600,1,2001-07-17 07:09:52,995353792,35,842
85,3561,16,207,1831.0,1714,830,0,2001-07-17 07:14:52,995354092,13,375
86,3192,15,154,2516.0,1524,689,0,2001-07-17 07:19:52,995354392,167,508
87,3175,15,118,1807.0,825,682,0,2001-07-17 07:24:52,995354692,15,713
88,1721,17,69,1098.0,567,422,0,2001-07-17 07:29:52,995354992,23,501
89,1008,14,70,623.0,307,421,0,2001-07-17 07:34:52,995355292,69,403
90,1572,15,18,725.0,609,388,0,2001-07-17 07:39:52,995355592,55,492
91,972,15,19,749.0,262,318,0,2001-07-17 07:44:52,995355892,36,215
92,1445,22,52,978.0,431,397,0,2001-07-17 07:49:52,995356192,42,335
93,4306,13,34,3375.0,942,955,2,2001-07-17 07:54:52,995356492,17,767
94,1655,14,96,739.0,505,559,0,2001-07-17 07:59:52,995356792,19,339
95,1340,13,82,819.0,406,530,0,2001-07-17 08:04:52,995357092,48,257
96,2309,19,174,1248.0,1496,760,0,2001-07-17 08:09:52,995357392,29,430
97,3949,13,303,2560.0,2032,967,1,2001-07-17 08:14:52,995357692,52,395
98,4128,16,171,2995.0,1395,1129,0,2001-07-17 08:19:52,995357992,83,732
99,2803,13,108,1759.0,642,656,0,2001-07-17 08:24:52,995358292,95,673
100,1120,14,33,718.0,367,401,0,2001-07-17 08:29:52,995358592,27,453
101,2838,11,63,1631.0,999,579,1,2001-07-17 08:34:52,995358892,67,645
102,1319,14,33,799.0,416,432,0,2001-07-17 08:39:52,995359192,7,312
103,1340,13,87,865.0,390,423,0,2001-07-17 08:44:52,995359492,35,298
104,2079,16,114,1392.0,948,460,6,2001-07-17 08:49:52,995359792,74,263
105,1207,14,41,765.0,460,500,0,2001-07-17 08:54:52,995360092,35,318
106,2335,21,80,1285.0,534,618,0,2001-07-17 08:59:52,995360392,106,588
107,871,15,141,357.0,374,361,2,2001-07-17 09:04:52,995360692,18,250
108,2373,22,51,1567.0,1250,560,7,2001-07-17 09:09:52,995360992,88,375
109,3754,13,225,2378.0,1194,695,0,2001-07-17 09:14:52,995361292,90,628
110,1580,15,137,1066.0,646,513,0,2001-07-17 09:19:52,995361592,41,199
111,3711,21,180,2035.0,1150,1091,0,2001-07-17 09:24:52,995361892,116,666
112,3212,16,99,2202.0,673,858,0,2001-07-17 09:29:52,995362192,71,717
113,3216,17,46,1311.0,2087,931,0,2001-07-17 09:34:52,995362492,40,504
114,6364,23,162,1289.0,5428,1812,0,2001-07-17 09:39:52,995362792,63,529
115,9332,16,1628,2230.0,8741,3606,1,2001-07-17 09:44:52,995363092,27,224
116,49372,22,4430,4710.0,46732,13475,33,2001-07-17 09:49:52,995363392,49,783
117,33789,16,1674,3618.0,32418,10867,10,2001-07-17 09:54:52,995363692,7,340
118,2315,20,90,1890.0,1363,683,4,2001-07-17 09:59:52,995363992,16,192
119,2950,20,40,2376.0,1317,687,2,2001-07-17 10:04:52,995364292,124,723
120,2614,14,128,1788.0,1482,711,1,2001-07-17 10:09:52,995364592,109,878
121,2235,18,131,847.0,1358,663,0,2001-07-17 10:14:52,995364892,223,445
122,1279,11,91,941.0,539,332,0,2001-07-17 10:19:52,995365192,13,299
123,3465,11,27,2528.0,540,589,0,2001-07-17 10:24:52,995365492,13,1003
124,2572,22,92,1689.0,621,490,0,2001-07-17 10:29:52,995365792,189,1220
125,1618,14,40,883.0,443,536,0,2001-07-17 10:34:52,995366092,20,145
